#sID	sQuestName	iQType	sQTip	iOpenTime	iCloseTime	sOConditions	sFinshQType	iGetManager	iQuestIngManager	iFinshQuestManager	iGiftID1	iRepeat
20000018	轉生後破關	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
20000019	第一次，打雞神，血量30%	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
20000020	第二次，打雞神，血量30%	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
20000021	第三次，打贏雞神	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
20000022	觸發黑狼	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
20000023	紀紋馴狼	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
20000024	鱷魚吃雞肉	1	任務	0	0	(7,100257,1)	(2,100257,1)	0	0	910004001	0	0
20000025	鱷魚吃兔肉	1	任務	0	0	(7,100278,1)	(2,100278,1)	0	0	910004002	0	0
20000026	鱷魚吃雁子肉	1	任務	0	0	(7,100260,1)	(2,100260,1)	0	0	910004003	0	0
20000027	鱷魚吃山豬肉	1	任務	0	0	(7,100258,1)	(2,100258,1)	0	0	910004004	0	0
20000028	鱷魚吃貂肉	1	任務	0	0	(7,100263,1)	(2,100263,1)	0	0	910004005	0	0
20000029	鱷魚吃兀鷹肉	1	任務	0	0	(7,100264,1)	(2,100264,1)	0	0	910004006	0	0
20000030	鱷魚吃熊掌	1	任務	0	0	(7,100261,1)	(2,100261,1)	0	0	910004007	0	0
20000031	鱷魚吃虎鞭	1	任務	0	0	(7,100267,1)	(2,100267,1)	0	0	910004008	0	0
20000032	鱷魚吃巨兔肉	1	任務	0	0	(7,100282,1)	(2,100282,1)	0	0	910004009	0	0
20000033	佬二不開心	1	一次性對話	0	0	0	0	0	0	100095021	0	0
20000034	發現李三手抖症	1	一次性對話	0	0	0	0	0	0	100149001	0	0
20000035	治療里三手抖症	1	任務	0	0	(7,680008,1)	(2,680008,1)	0	0	100149002	0	0
20000036	送雪狼衣給阿忠	1	任務	0	0	(7,660022,1)	(2,660022,1)	0	0	22261025	0	0
20000037	收集小黃書任務	1	任務	0	0	(7,220202,1)*(7,220203,1)*(7,220204,1)*(7,220205,1)*(7,220206,1)*(7,220207,1)*(7,220208,1)*(7,220209,1)	(2,220202,1)*(2,220203,1)*(2,220204,1)*(2,220205,1)*(2,220206,1)*(2,220207,1)*(2,220208,1)*(2,220209,1)	0	0	990013011	0	0
20000038	和燕宇切磋	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
20000039	打鬼特攻隊	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
20000040	大地圖打贏狼	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
20000041	小猴子入隊	1	標記	0	0	0	(1,0,0)	0	0	0	0	0
22080201	四大高手跳平台	1	天王線最後一戰_記錄用	0	0	0	(1,0,0)	0	0	0	0	0
900192001	紀錄廚藝大賽冠軍(養成用)	1	記錄用	0	0	0	(1,0,0)	0	0	0	0	0
F10101	俠客事件(杭州)-贈禮荊棘篇	1	荊棘篇(贈禮-春宮圖冊)-還沒做	0	0	(7,220201,1)*(10,F10102,0)*(10,F10103,0)*(10,F10104,0)*(10,F10105,0)*(10,F10106,0)*(10,F10107,0)*(10,F10108,0)*(10,F10109,0)*(10,F10110,0)	(2,220201,1)	0	0	1010101	0	0
F10102	俠客事件(杭州)-贈禮荊棘篇	1	荊棘篇(贈禮-蓮花劍)	0	0	(7,600016,1)*(10,F10101,0)*(10,F10103,0)*(10,F10104,0)*(10,F10105,0)*(10,F10106,0)*(10,F10107,0)*(10,F10108,0)*(10,F10109,0)*(10,F10110,0)	(2,600016,1)	0	0	1010201	100202	0
F10103	俠客事件(杭州)-贈禮荊棘篇	1	荊棘篇(贈禮-巨闕劍)	0	0	(7,600020,1)*(10,F10101,0)*(10,F10102,0)*(10,F10104,0)*(10,F10105,0)*(10,F10106,0)*(10,F10107,0)*(10,F10108,0)*(10,F10109,0)*(10,F10110,0)	(2,600020,1)	0	0	1010301	100202	0
F10104	俠客事件(杭州)-贈禮荊棘篇	1	荊棘篇(贈禮-青溟劍)	0	0	(7,600021,1)*(10,F10101,0)*(10,F10102,0)*(10,F10103,0)*(10,F10105,0)*(10,F10106,0)*(10,F10107,0)*(10,F10108,0)*(10,F10109,0)*(10,F10110,0)	(2,600021,1)	0	0	1010401	100202	0
F10105	俠客事件(杭州)-贈禮荊棘篇	1	荊棘篇(贈禮-龍淵劍)	0	0	(7,600022,1)*(10,F10101,0)*(10,F10102,0)*(10,F10103,0)*(10,F10104,0)*(10,F10106,0)*(10,F10107,0)*(10,F10108,0)*(10,F10109,0)*(10,F10110,0)	(2,600022,1)	0	0	1010501	100202	0
F10106	俠客事件(杭州)-贈禮荊棘篇	1	荊棘篇(贈禮-太虛劍)	0	0	(7,600023,1)*(10,F10101,0)*(10,F10102,0)*(10,F10103,0)*(10,F10104,0)*(10,F10105,0)*(10,F10107,0)*(10,F10108,0)*(10,F10109,0)*(10,F10110,0)	(2,600023,1)	0	0	1010601	100202	0
F10107	俠客事件(杭州)-贈禮荊棘篇	1	荊棘篇(贈禮-傲天神劍)	0	0	(7,600024,1)*(10,F10101,0)*(10,F10102,0)*(10,F10103,0)*(10,F10104,0)*(10,F10105,0)*(10,F10106,0)*(10,F10108,0)*(10,F10109,0)*(10,F10110,0)	(2,600024,1)	0	0	1010701	100202	0
F10108	俠客事件(杭州)-贈禮荊棘篇	1	荊棘篇(贈禮-神術)	0	0	(7,600117,1)*(10,F10101,0)*(10,F10102,0)*(10,F10103,0)*(10,F10104,0)*(10,F10105,0)*(10,F10106,0)*(10,F10107,0)*(10,F10109,0)*(10,F10110,0)	(2,600117,1)	0	0	1010801	100202	0
F10109	俠客事件(杭州)-贈禮荊棘篇	1	荊棘篇(贈禮-噬日刀)	0	0	(7,600118,1)*(10,F10101,0)*(10,F10102,0)*(10,F10103,0)*(10,F10104,0)*(10,F10105,0)*(10,F10106,0)*(10,F10107,0)*(10,F10108,0)*(10,F10110,0)	(2,600118,1)	0	0	1010901	100202	0
F10110	俠客事件(杭州)-贈禮荊棘篇	1	荊棘篇(贈禮-太皇)	0	0	(7,600121,1)*(10,F10101,0)*(10,F10102,0)*(10,F10103,0)*(10,F10104,0)*(10,F10105,0)*(10,F10106,0)*(10,F10107,0)*(10,F10108,0)*(10,F10109,0)	(2,600121,1)	0	0	1011001	100202	0
F10111	俠客事件(杭州)-贈禮荊棘篇	1	荊棘篇-進入戰鬥；動畫編號紀錄(戰鬥編號800002)	0	0	0	(1,0,0)	0	0	1011101	0	0
F10112	俠客事件(杭州)-贈禮荊棘篇	1	荊棘篇-荊棘打贏時AI對話	0	0	0	(1,0,0)	0	0	1011201	0	0
F10113	俠客事件(杭州)-贈禮荊棘篇	1	荊棘篇-荊棘打輸時AI對話	0	0	0	(1,0,0)	0	0	1011301	0	0
F10150	俠客事件(杭州)-與荊棘巧遇	1	與荊棘交談	0	0	0	(1,0,0)	0	0	1015001	100201	0
F10151	俠客事件(杭州)-與荊棘巧遇	1	與荊棘交談(接續)-記錄動畫編號	0	0	0	(1,0,0)	0	0	1015101	0	0
F10156	俠客事件(杭州)-日常對話	1	與荊棘贈禮完後要講的對話	0	0	0	(1,0,0)	0	0	1015601	0	0
F10301	俠客事件(杭州)-贈禮沈湘芸篇	1	沈湘芸篇(贈禮-黃山煙雲傘)	0	0	(7,232001,1)*(10,F10302,0)*(10,F10303,0)*(10,F10304,0)*(10,F10305,0)	(2,232001,1)	0	0	1030101	100003	0
F10302	俠客事件(杭州)-贈禮沈湘芸篇	1	沈湘芸篇(贈禮-綠山水畫傘)	0	0	(7,232002,1)*(10,F10301,0)*(10,F10303,0)*(10,F10304,0)*(10,F10305,0)	(2,232002,1)	0	0	1030201	100003	0
F10303	俠客事件(杭州)-贈禮沈湘芸篇	1	沈湘芸篇(贈禮-雞鳴傘)	0	0	(7,232003,1)*(10,F10301,0)*(10,F10302,0)*(10,F10304,0)*(10,F10305,0)	(2,232003,1)	0	0	1030301	100003	0
F10304	俠客事件(杭州)-贈禮沈湘芸篇	1	沈湘芸篇(贈禮-雙雀秋紅傘)	0	0	(7,232004,1)*(10,F10301,0)*(10,F10302,0)*(10,F10303,0)*(10,F10305,0)	(2,232004,1)	0	0	1030401	100003	0
F10305	俠客事件(杭州)-贈禮沈湘芸篇	1	沈湘芸篇(贈禮-唐寅真跡傘)	0	0	(7,232005,1)*(10,F10301,0)*(10,F10302,0)*(10,F10303,0)*(10,F10304,0)	(2,232005,1)	0	0	1030501	100003	0
F10350	俠客事件(杭州)-與沈湘芸巧遇	1	與沈湘芸交談	0	0	0	(1,0,0)	0	0	1035001	0	0
F10356	俠客事件(杭州)-日常對話	1	與沈湘芸贈禮完後要講的對話	0	0	0	(1,0,0)	0	0	1035601	0	0
F10401	俠客事件(杭州)-贈禮古實篇	1	古實篇(贈禮-龍泉青釉壺)	0	0	(7,200333,1)*(10,F10402,0)*(10,F10403,0)*(10,F10404,0)*(10,F10405,0)*(10,F10406,0)	(2,200333,1)	0	0	1040101	100004	0
F10402	俠客事件(杭州)-贈禮古實篇	1	古實篇(贈禮-玉蘭花六瓣壺)	0	0	(7,200337,1)*(10,F10401,0)*(10,F10403,0)*(10,F10404,0)*(10,F10405,0)*(10,F10406,0)	(2,200337,1)	0	0	1040201	100004	0
F10403	俠客事件(杭州)-贈禮古實篇	1	古實篇(贈禮-宜興紫砂壺)	0	0	(7,200341,1)*(10,F10401,0)*(10,F10402,0)*(10,F10404,0)*(10,F10405,0)*(10,F10406,0)	(2,200341,1)	0	0	1040301	100004	0
F10404	俠客事件(杭州)-贈禮古實篇	1	古實篇(贈禮-白果杯)	0	0	(7,200345,1)*(10,F10401,0)*(10,F10402,0)*(10,F10403,0)*(10,F10405,0)*(10,F10406,0)	(2,200345,1)	0	0	1040401	100004	0
F10405	俠客事件(杭州)-贈禮古實篇	1	古實篇(贈禮-甜白瓷茶壺)	0	0	(7,200348,1)*(10,F10401,0)*(10,F10402,0)*(10,F10403,0)*(10,F10404,0)*(10,F10406,0)	(2,200348,1)	0	0	1040501	100004	0
F10406	俠客事件(杭州)-贈禮古實篇	1	古實篇(贈禮-春宮圖冊)-還沒做	0	0	(7,220201,1)*(10,F10401,0)*(10,F10402,0)*(10,F10403,0)*(10,F10404,0)*(10,F10405,0)	(2,220201,1)	0	0	1040601	100004	0
F10450	俠客事件(杭州)-與古實巧遇	1	與古實交談	0	0	0	(1,0,0)	0	0	1045001	100205	0
F10451	俠客事件(杭州)-與古實巧遇	1	與古實交談(接續)-記錄動畫編號	0	0	0	(1,0,0)	0	0	1045101	0	0
F10456	俠客事件(杭州)-日常對話	1	與古實贈禮完後要講的對話	0	0	0	(1,0,0)	0	0	1045601	0	0
F10501	俠客事件(杭州)-贈禮方雲華篇	1	方雲華篇(贈禮-春宮圖冊)-還沒做	0	0	(7,220201,1)*(10,F10502,0)*(10,F10503,0)*(10,F10504,0)*(10,F10505,0)*(10,F10506,0)*(10,F10507,0)*(10,F10508,0)*(10,F10509,0)*(10,F10510,0)*(10,F10511,0)*(10,F10512,0)*(10,F10513,0)*(10,F10514,0)*(10,F10515,0)*(10,F10516,0)*(10,F10517,0)*(10,F10518,0)*(10,F10519,0)*(10,F10520,0)*(10,F10521,0)*(10,F10522,0)*(10,F10523,0)*(10,F10524,0)*(10,F10525,0)*(10,F10526,0)*(10,F10527,0)*(10,F10528,0)*(10,F10529,0)	(2,220201,1)	0	0	0	100005	0
F10502	俠客事件(杭州)-贈禮方雲華篇	1	方雲華篇(贈禮-蘭亭序)-書法50以上	0	0	(7,200002,1)*(5,5,50)*(10,F10501,0)*(10,F10503,0)*(10,F10504,0)*(10,F10505,0)*(10,F10506,0)*(10,F10507,0)*(10,F10508,0)*(10,F10509,0)*(10,F10510,0)*(10,F10511,0)*(10,F10512,0)*(10,F10513,0)*(10,F10514,0)*(10,F10515,0)*(10,F10516,0)*(10,F10517,0)*(10,F10518,0)*(10,F10519,0)*(10,F10520,0)*(10,F10521,0)*(10,F10522,0)*(10,F10523,0)*(10,F10524,0)*(10,F10525,0)*(10,F10526,0)*(10,F10527,0)*(10,F10528,0)*(10,F10529,0)	(2,200002,1)	0	0	1050201	100005	0
F10503	俠客事件(杭州)-贈禮方雲華篇	1	方雲華篇(贈禮-蘭亭序)-書法未達50	0	0	(7,200002,1)*(10,F10501,0)*(10,F10502,0)*(10,F10504,0)*(10,F10505,0)*(10,F10506,0)*(10,F10507,0)*(10,F10508,0)*(10,F10509,0)*(10,F10510,0)*(10,F10511,0)*(10,F10512,0)*(10,F10513,0)*(10,F10514,0)*(10,F10515,0)*(10,F10516,0)*(10,F10517,0)*(10,F10518,0)*(10,F10519,0)*(10,F10520,0)*(10,F10521,0)*(10,F10522,0)*(10,F10523,0)*(10,F10524,0)*(10,F10525,0)*(10,F10526,0)*(10,F10527,0)*(10,F10528,0)*(10,F10529,0)	(2,200002,1)	0	0	1050301	100203	0
F10504	俠客事件(杭州)-贈禮方雲華篇	1	方雲華篇(贈禮-快雪時晴帖)-書法50以上	0	0	(7,200003,1)*(5,5,50)*(10,F10501,0)*(10,F10502,0)*(10,F10503,0)*(10,F10505,0)*(10,F10506,0)*(10,F10507,0)*(10,F10508,0)*(10,F10509,0)*(10,F10510,0)*(10,F10511,0)*(10,F10512,0)*(10,F10513,0)*(10,F10514,0)*(10,F10515,0)*(10,F10516,0)*(10,F10517,0)*(10,F10518,0)*(10,F10519,0)*(10,F10520,0)*(10,F10521,0)*(10,F10522,0)*(10,F10523,0)*(10,F10524,0)*(10,F10525,0)*(10,F10526,0)*(10,F10527,0)*(10,F10528,0)*(10,F10529,0)	(2,200003,1)	0	0	1050401	100005	0
F10505	俠客事件(杭州)-贈禮方雲華篇	1	方雲華篇(贈禮-快雪時晴帖)-書法未達50	0	0	(7,200003,1)*(10,F10501,0)*(10,F10502,0)*(10,F10503,0)*(10,F10504,0)*(10,F10506,0)*(10,F10507,0)*(10,F10508,0)*(10,F10509,0)*(10,F10510,0)*(10,F10511,0)*(10,F10512,0)*(10,F10513,0)*(10,F10514,0)*(10,F10515,0)*(10,F10516,0)*(10,F10517,0)*(10,F10518,0)*(10,F10519,0)*(10,F10520,0)*(10,F10521,0)*(10,F10522,0)*(10,F10523,0)*(10,F10524,0)*(10,F10525,0)*(10,F10526,0)*(10,F10527,0)*(10,F10528,0)*(10,F10529,0)	(2,200003,1)	0	0	1050501	100203	0
F10506	俠客事件(杭州)-贈禮方雲華篇	1	方雲華篇(贈禮-遠宦帖)-書法50以上	0	0	(7,200004,1)*(5,5,50)*(10,F10501,0)*(10,F10502,0)*(10,F10503,0)*(10,F10504,0)*(10,F10505,0)*(10,F10507,0)*(10,F10508,0)*(10,F10509,0)*(10,F10510,0)*(10,F10511,0)*(10,F10512,0)*(10,F10513,0)*(10,F10514,0)*(10,F10515,0)*(10,F10516,0)*(10,F10517,0)*(10,F10518,0)*(10,F10519,0)*(10,F10520,0)*(10,F10521,0)*(10,F10522,0)*(10,F10523,0)*(10,F10524,0)*(10,F10525,0)*(10,F10526,0)*(10,F10527,0)*(10,F10528,0)*(10,F10529,0)	(2,200004,1)	0	0	1050601	100005	0
