#iID	sAreaID	sMustJoinStaff	sJoinStaff	iVictory	iFale	sReward	sReward	sTime	sBGM	sinside	sautosave
106002	M0006_10	(0,10001401,0)*(0,10001503,0)*(0,10004303,0)*(0,10001103,1)*(0,10001003,1)*(0,10013005,1)*(0,10013002,1)*(0,10013002,1)*(0,10013005,1)*(2,10031203,1)*(3,10013005,1)*(3,10013005,1)*(3,10013002,1)*(3,10013002,1)	(0,10001401,0)*(0,10001503,0)*(0,10004303,0)*(0,10001103,1)*(0,10001003,1)*(0,10013005,1)*(0,10013002,1)*(0,10013002,1)*(0,10013005,1)*(2,10031203,1)*(3,10013005,1)*(3,10013005,1)*(3,10013002,1)*(3,10013002,1)	(0,0,0)	(0,0,0)	506003	500013	-1	0	0	0
106003	M0006_11	(0,10001401,0)*(0,10001503,0)*(0,10003703,0)*(0,10001803,1)*(0,10013005,1)*(0,10013002,1)*(0,10013002,1)*(0,10013002,1)*(0,10000703,2)*(0,10000803,2)*(5,10001603,1)	(0,10001401,0)*(0,10001503,0)*(0,10003703,0)*(0,10001803,1)*(0,10013005,1)*(0,10013002,1)*(0,10013002,1)*(0,10013002,1)*(0,10000703,2)*(0,10000803,2)*(5,10001603,1)	(0,0,0)	(0,0,0)	506005	500013	-1	0	0	0
106004	M0006_13	(0,10001401,0)*(0,10003703,1)*(0,10001603,1)*(0,10001803,1)	(0,10001401,0)*(0,10003703,1)*(0,10001603,1)*(0,10001803,1)	(0,0,0)	(0,0,0)	506007	500013	-1	0	0	0
106005	M0006_13	(0,10001401,0)*(0,10000703,0)*(0,10000803,0)*(0,10003703,1)	(0,10001401,0)*(0,10000703,0)*(0,10000803,0)*(0,10003703,1)	(0,0,0)	(0,0,0)	506008	500013	-1	0	0	0
107001	M0007_04	(0,10001401,0)*(0,10000903,0)*(0,10003603,0)*(0,10004201,1)*(0,10004201,1)*(0,10004201,1)*(0,10004201,1)*(0,10003803,1)*(0,10003703,1)	(0,10001401,0)*(0,10000903,0)*(0,10003603,0)*(0,10004201,1)*(0,10004201,1)*(0,10004201,1)*(0,10004201,1)*(0,10003803,1)*(0,10003703,1)	(0,0,0)	(0,0,0)	860701	860702	-1	0	0	0
107002	M0007_05	(0,10001401,0)*(0,10004202,1)	(0,10001401,0)*(0,10004202,1)	(0,0,0)	(0,0,0)	0	0	-1	0	0	0
108001	M0008_01	(0,10001401,0)*(0,10009803,0)*(0,10029703,0)*(0,10010202,1)*(0,10010202,1)*(0,10010302,1)*(0,10010302,1)*(0,10010003,1)*(0,10010103,1)	0	(0,0,0)	(0,0,0)	800001	980004	-1	0	0	0
108002	M0008_01	(0,10001401,0)*(0,10009803,0)*(0,50000103,1)*(0,10011701,1)*(0,10011701,1)*(0,10011701,1)*(0,10011701,1)	0	(0,0,0)	(0,0,0)	800002	980004	-1	0	0	0
108003	M0008_01	(0,10001401,0)*(3,10009803,0)*(5,10029703,0)*(0,10006602,0)*(0,50000103,1)*(0,50000203,1)*(3,50000303,1)*(3,50000303,1)*(5,50000303,1)*(5,50000303,1)	0	(0,0,0)	(0,0,0)	800003	980004	-1	0	0	0
108004	M0008_01	(0,10001401,0)*(0,10010003,0)*(0,10006603,0)*(0,50000103,1)*(0,10011701,1)*(0,10011701,1)*(0,10011701,1)	0	(0,0,0)	(0,0,0)	800011	980005	-1	0	0	0
108005	M0008_01	(0,10001401,0)*(0,10010003,0)*(0,10006603,0)*(0,50000203,1)*(0,10011701,1)*(0,10011701,1)*(0,10011701,1)	0	(0,0,0)	(0,0,0)	800012	980005	-1	0	0	0
109001	M0009_04	(0,10001401,0)*(0,10001503,0)*(0,10011102,1)*(0,10011102,1)	(0,10001401,0)*(0,10001503,0)*(0,10011102,1)*(0,10011102,1)	(0,0,0)	(0,0,0)	509001	509002	-1	0	0	0
109002	M0009_06	(0,10001401,0)*(0,10001503,0)*(0,10011102,1)*(0,10011102,1)*(0,10011103,1)*(3,10011102,1)*(3,10011103,1)*(5,10011102,1)*(5,10011102,1)*(5,10011103,1)	(0,10001401,0)*(0,10001503,0)*(0,10011102,1)*(0,10011102,1)*(0,10011103,1)*(3,10011102,1)*(3,10011103,1)*(5,10011102,1)*(5,10011102,1)*(5,10011103,1)	(0,0,0)	(0,0,0)	509003	509004	-1	0	0	0
109003	M0009_05	(0,10001401,0)*(0,10001503,0)*(0,10011102,1)*(0,10011102,1)*(0,10011101,1)*(3,10011102,1)*(3,10011103,1)*(3,10011102,1)*(6,10011102,1)*(6,10011102,1)*(6,10011103,1)	(0,10001401,0)*(0,10001503,0)*(0,10011102,1)*(0,10011102,1)*(0,10011101,1)*(3,10011102,1)*(3,10011103,1)*(3,10011103,1)*(6,10011102,1)*(6,10011102,1)*(6,10011103,1)	(0,0,0)	(0,0,0)	509005	509006	-1	0	0	0
109004	M0009_07	(0,10001401,0)*(0,10001503,0)*(0,10010802,1)*(0,10011102,1)*(0,10011102,1)*(0,10011103,1)*(0,10011103,1)*(6,10011102,1)*(6,10011102,1)*(6,10011103,1)*(6,10011103,1)*(10,10011102,1)*(10,10011102,1)*(10,10011102,1)*(10,10011102,1)	(0,10001401,0)*(0,10001503,0)*(0,10010802,1)*(0,10011102,1)*(0,10011102,1)*(0,10011103,1)*(0,10011103,1)*(6,10011102,1)*(6,10011102,1)*(6,10011103,1)*(6,10011103,1)*(10,10011102,1)*(10,10011102,1)*(10,10011102,1)*(10,10011102,1)	(0,0,0)	(0,0,0)	509007	509008	-1	0	0	0
109005	M0009_11	(0,10001401,0)*(0,10001503,0)*(0,10010802,1)*(0,10010702,1)*(0,10011103,1)*(0,10011103,1)*(0,10011102,1)*(0,10011102,1)*(5,10011102,1)*(5,10011103,1)*(5,10011102,1)*(8,10011102,1)*(8,10011103,1)	(0,10001401,0)*(0,10001503,0)*(0,10010802,1)*(0,10010702,1)*(0,10011103,1)*(0,10011103,1)*(0,10011102,1)*(0,10011102,1)*(5,10011102,1)*(5,10011103,1)*(5,10011103,1)*(8,10011103,1)*(8,10011103,1)	(0,0,0)	(0,0,0)	509009	509010	-1	0	0	0
109006	M0009_09	(0,10001401,0)*(0,10001503,0)*(0,10022402,1)*(0,10022402,1)*(2,10011102,1)*(2,10011102,1)*(2,10011103,1)*(2,10011103,1)	(0,10001401,0)*(0,10001503,0)*(0,10022402,1)*(0,10022402,1)*(2,10011102,1)*(2,10011102,1)*(2,10011103,1)*(2,10011103,1)	(0,0,0)	(0,0,0)	509011	509012	-1	0	0	0
109007	M0009_10	(0,10001401,0)*(0,10001503,0)*(0,10010903,1)*(0,10011003,1)*(0,10011102,1)*(0,10011102,1)*(0,10011103,1)*(0,10011103,1)*(5,10011102,1)*(5,10011102,1)*(5,10011103,1)*(5,10011103,1)	0	(0,0,0)	(0,0,0)	509013	509014	-1	0	1	0
109008	M0009_08	(0,10001401,0)*(0,10001503,0)*(0,10010802,1)	(0,10001401,0)*(0,10001503,0)*(0,10010802,1)	(0,0,0)	(0,0,0)	509015	509016	-1	0	0	0
110001	M0010_03	(0,10001401,0)*(0,10009402,0)*(0,10010802,1)	(0,10001401,0)*(0,10009402,0)*(0,10010802,1)	(0,0,0)	(0,0,0)	0	0	-1	0	0	0
110002	M0010_02	(0,10001401,0)*(0,10001503,0)*(0,10013002,1)*(0,10001803,1)*(0,10013003,1)*(0,10013002,1)*(0,10001603,1)*(3,10013005,1)*(3,10013005,1)	0	(0,0,0)	(0,0,0)	510001	500013	-1	0	1	0
111001	M0011_01	(0,10000903,0)*(0,10000603,0)*(4,10001203,0)*(4,10001302,0)*(0,36007701,1)*(0,36007701,1)*(0,36007701,1)*(3,36007701,1)*(3,36007701,1)*(3,36007701,1)*(5,36007701,1)*(5,36007701,1)*(5,36007701,1)	(0,10000903,0)*(0,10000603,0)*(4,10001203,0)*(4,10001302,0)*(0,36007701,1)*(0,36007701,1)*(0,36007701,1)*(3,36007701,1)*(3,36007701,1)*(3,36007701,1)*(5,36007701,1)*(5,36007701,1)*(5,36007701,1)	(0,0,0)	(0,0,0)	511001	500005	-1	0	0	0
111002	M0011_02	(0,10000903,0)*(0,10000603,0)*(0,10001203,0)*(0,10001302,0)*(0,36007801,1)*(0,36007801,1)*(0,36007801,1)*(3,36007801,1)*(3,36007801,1)*(3,36007801,1)	(0,10000903,0)*(0,10000603,0)*(0,10001203,0)*(0,10001302,0)*(0,36007801,1)*(0,36007801,1)*(0,36007801,1)*(3,36007801,1)*(3,36007801,1)*(3,36007801,1)	(0,0,0)	(0,0,0)	511003	500005	-1	0	0	0
111003	M0011_03	(0,10000903,0)*(0,10000603,0)*(0,10001203,0)*(0,10001302,0)*(0,36007801,1)*(0,36007801,1)*(0,36007801,1)*(0,36007801,1)*(0,36007801,1)*(0,36007801,1)	(0,10000903,0)*(0,10000603,0)*(0,10001203,0)*(0,10001302,0)*(0,36007801,1)*(0,36007801,1)*(0,36007801,1)*(0,36007801,1)*(0,36007801,1)*(0,36007801,1)	(0,0,0)	(0,0,0)	511005	500005	-1	0	0	0
111601	M0011_03	(0,10001401,0)*(0,10001503,0)*(0,10014304,1)	0	(0,0,0)	(0,0,0)	511007	500013	-1	0	0	0
111701	M0011_01	(0,10001401,0)*(0,10001604,0)*(0,10009103,0)*(0,10003303,0)*(0,10001804,1)*(0,91000104,1)*(0,91000102,1)*(0,91000102,1)*(0,91000104,1)*(0,91000102,1)*(0,91000102,1)	(0,10001401,0)*(0,10001604,0)*(0,10009103,0)*(0,10003303,0)*(0,10001804,1)*(0,91000104,1)*(0,91000102,1)*(0,91000102,1)*(0,91000104,1)*(0,91000102,1)*(0,91000102,1)	(0,0,0)	(0,0,0)	990071	990070	-1	Story_0003	0	1
111901	M0011_04	(0,10001401,0)*(0,10001604,1)	(0,10001401,0)*(0,10001604,1)	(0,0,0)	(0,0,0)	500070	500072	-1	Story_0005	0	1
111902	M0011_04	(0,10001401,0)*(0,10001604,1)	(0,10001401,0)*(0,10001604,1)	(0,0,0)	(0,0,0)	500071	500072	-1	Story_0005	0	1
111903	M0011_04	(0,10001401,0)*(0,10001604,1)	(0,10001401,0)*(0,10001604,1)	(0,0,0)	(0,0,0)	500073	500075	-1	Story_0005	0	1
111904	M0011_04	(0,10001401,0)*(0,10001604,1)	(0,10001401,0)*(0,10001604,1)	(0,0,0)	(0,0,0)	500074	500075	-1	Story_0005	0	1
112001	M0012_01	(0,10001401,0)*(0,10012002,1)*(0,10007802,2)*(0,10029702,3)	(0,10001401,0)*(0,10012002,1)*(0,10007802,2)*(0,10029702,3)	(0,0,0)	(0,0,0)	590011	599999	-1	0	0	0
112002	M0012_01	(0,10001401,0)*(0,10009602,1)*(0,10005702,2)*(0,10005602,3)	(0,10001401,0)*(0,10009602,1)*(0,10005702,2)*(0,10005602,3)	(0,0,0)	(0,0,0)	590012	599999	-1	0	0	0
112003	M0012_01	(0,10001401,0)*(0,10009402,1)*(0,10008102,2)*(0,10008502,3)	(0,10001401,0)*(0,10009402,1)*(0,10008102,2)*(0,10008502,3)	(0,0,0)	(0,0,0)	590013	599999	-1	0	0	0
112004	M0012_01	(0,10001401,0)*(0,10007202,1)*(0,10004302,2)	(0,10001401,0)*(0,10007202,1)*(0,10004302,2)	(0,0,0)	(0,0,0)	590014	599999	-1	0	0	0
112005	M0012_01	(0,10001401,0)*(0,10007502,3)*(0,10008902,3)	(0,10001401,0)*(0,10007502,3)*(0,10008902,3)	(0,0,0)	(0,0,0)	590015	599999	-1	0	0	0
112006	M0012_01	(0,10001401,0)*(0,10029903,1)*(0,10006103,2)	(0,10001401,0)*(0,10029903,1)*(0,10006103,2)	(0,0,0)	(0,0,0)	590016	599999	-1	0	0	0
112007	M0012_01	(0,10001401,0)*(0,10009803,1)	(0,10001401,0)*(0,10009803,1)	(0,0,0)	(0,0,0)	590017	599999	-1	0	0	0
112008	M0012_01	(0,10001401,0)*(0,10003703,1)	(0,10001401,0)*(0,10003703,1)	(0,0,0)	(0,0,0)	590018	599999	-1	0	0	0
112009	M0012_01	(0,10001401,0)*(0,10009203,1)	(0,10001401,0)*(0,10009203,1)	(0,0,0)	(0,0,0)	590019	599999	-1	0	0	0
112010	M0012_01	(0,10001401,0)*(0,10003803,1)	(0,10001401,0)*(0,10003803,1)	(0,0,0)	(0,0,0)	590020	590021	-1	0	0	0
115001	M0015_01	(0,10001401,0)*(0,10005802,0)*(0,10009702,1)*(0,10009702,1)*(0,10009702,1)*(0,10009702,1)	(0,10001401,0)*(0,10005802,0)*(0,10009702,1)*(0,10009702,1)*(0,10009702,1)*(0,10009702,1)	(0,0,0)	(0,0,0)	215003	215002	-1	0	0	0
115002	M0015_01	(0,10001401,0)*(0,10005802,0)*(0,10009702,1)*(0,10009702,1)*(0,10009602,1)*(0,10012602,1)*(0,10012702,1)	(0,10001401,0)*(0,10005802,0)*(0,10009702,1)*(0,10009702,1)*(0,10009602,1)*(0,10012602,1)*(0,10012702,1)	(0,0,0)	(0,0,0)	215004	215002	-1	0	0	0
115003	M0015_01	(0,10001401,0)*(0,10009602,0)*(0,10009702,0)*(0,10009702,0)*(0,10006802,1)*(0,10006802,1)*(0,10006802,1)*(0,10006902,1)*(0,10006902,1)	(0,10001401,0)*(0,10009602,0)*(0,10009702,0)*(0,10009702,0)*(0,10006802,1)*(0,10006802,1)*(0,10006802,1)*(0,10006902,1)*(0,10006902,1)	(0,0,0)	(0,0,0)	215005	215002	-1	0	0	0
115004	M0015_03	(0,10001401,0)*(0,10009602,0)*(0,10005802,1)*(0,10006802,1)*(0,10006802,1)*(0,10006902,1)*(0,10006902,1)	(0,10001401,0)*(0,10009602,0)*(0,10005802,1)*(0,10006802,1)*(0,10006802,1)*(0,10006902,1)*(0,10006902,1)	(0,0,0)	(0,0,0)	215011	215002	-1	0	1	0
115005	M0015_03	(0,10001401,0)*(0,10009602,0)*(0,10001103,0)*(0,10006702,0)*(0,10005802,1)*(0,10006802,1)*(0,10006802,1)*(0,10006802,1)*(0,10006902,1)*(0,10006902,1)	(0,10001401,0)*(0,10009602,0)*(0,10001103,0)*(0,10006702,0)*(0,10005802,1)*(0,10006802,1)*(0,10006802,1)*(0,10006802,1)*(0,10006902,1)*(0,10006902,1)	(0,0,0)	(0,0,0)	215012	215002	-1	0	1	0
115006	M0015_02	(0,10001401,0)*(0,10006802,1)*(0,10006902,1)*(0,10006702,1)	(0,10001401,0)*(0,10006802,1)*(0,10006902,1)*(0,10006702,1)	(0,0,0)	(0,0,0)	215008	215002	-1	0	0	0
115007	M0015_03	(0,10001401,0)*(0,10005802,0)*(0,10006702,1)*(0,10009602,1)*(0,10001103,1)	(0,10001401,0)*(0,10005802,0)*(0,10006702,1)*(0,10009602,1)*(0,10001103,1)	(0,0,0)	(0,0,0)	215009	215002	-1	0	1	0
116001	M0016_03	(0,10001401,0)*(0,10007203,0)*(0,10009403,0)*(0,10008503,0)*(0,10003703,0)*(0,10001603,1)	(0,10001401,0)*(0,10007203,0)*(0,10009403,0)*(0,10008503,0)*(0,10003703,0)*(0,10001603,1)	(0,0,0)	(0,0,0)	516001	516002	-1	0	0	0
116002	M0016_03	(0,10001401,0)*(3,10001603,0)*(0,10007203,1)*(0,10009403,1)*(0,10008503,1)*(0,10003703,1)	(0,10001401,0)*(3,10001603,0)*(0,10007203,1)*(0,10009403,1)*(0,10008503,1)*(0,10003703,1)	(0,0,0)	(0,0,0)	516003	516004	-1	0	0	0
116003	M0016_02	(0,10001401,0)*(0,10001503,0)*(0,10008003,1)*(0,10008103,1)*(0,10008803,1)*(0,10008903,1)	0	(0,0,0)	(0,0,0)	516006	500013	-1	0	1	0
116004	M0016_04	(0,10001401,0)*(0,10001503,0)*(0,10008503,1)*(0,10008403,1)*(0,10007203,1)*(0,10007103,1)	0	(0,0,0)	(0,0,0)	516008	500013	-1	0	1	0
116005	M0016_02	(0,10001401,0)*(0,10006103,0)*(0,10008003,1)*(0,10008103,1)*(0,10008803,1)*(0,10008903,1)	0	(0,0,0)	(0,0,0)	516006	920356	-1	0	1	0
116006	M0016_04	(0,10001401,0)*(0,10006103,0)*(0,10008503,1)*(0,10008403,1)*(0,10007203,1)*(0,10007103,1)	0	(0,0,0)	(0,0,0)	516008	920356	-1	0	1	0
118001	M0018_02	(0,10001401,0)*(0,10029902,0)*(0,10001003,1)	(0,10001401,0)*(0,10029902,0)*(0,10001003,1)	(0,0,0)	(0,0,0)	518004	518005	-1	0	0	0
118002	M0018_03	(0,10001401,0)*(0,10029902,0)*(0,10001003,1)*(0,10013002,1)*(0,10013002,1)*(0,10013003,1)	(0,10001401,0)*(0,10029902,0)*(0,10001003,1)*(0,10013002,1)*(0,10013002,1)*(0,10013003,1)	(0,0,0)	(0,0,0)	518006	518007	-1	0	0	0
119001	M0019_21	(0,10001401,0)*(0,10029903,0)*(0,10009803,0)*(0,50000303,1)*(0,50000303,1)*(0,50000303,1)	0	(0,0,0)	(0,0,0)	800004	800004	-1	0	0	0
119002	M0019_21	(0,10001401,0)*(0,10010003,0)*(0,10010103,0)*(0,10011602,1)*(0,10011602,1)*(0,10011602,1)*(0,10011602,1)	0	(0,0,0)	(0,0,0)	800017	800016	-1	0	0	0
119601	M0019_28	(0,10001401,0)*(0,10008602,1)*(0,10008602,1)*(0,10008602,1)*(0,10008602,1)*(0,10008602,1)*(0,10008602,1)*(0,10008602,1)*(0,10008602,1)	(0,10001401,0)*(0,10008602,1)*(0,10008602,1)*(0,10008602,1)*(0,10008602,1)*(0,10008602,1)*(0,10008602,1)*(0,10008602,1)*(0,10008602,1)	(0,0,0)	(0,0,0)	519608	519609	-1	0	0	0
120001	M0020_07	(0,10001203,0)*(0,10001302,0)*(0,10013001,1)*(0,10013001,1)*(0,10013001,1)*(0,10013001,1)*(2,10013002,1)*(2,10013002,1)*(3,10013005,1)*(3,10031103,1)*(5,10031003,1)*(5,10013005,1)*(5,10013005,1)*(7,10013004,1)	(0,10001203,0)*(0,10001302,0)*(0,10013001,1)*(0,10013001,1)*(0,10013001,1)*(0,10013001,1)*(2,10013002,1)*(2,10013002,1)*(3,10013005,1)*(3,10031103,1)*(5,10031003,1)*(5,10013005,1)*(5,10013005,1)*(7,10013004,1)	(0,0,0)	(0,0,0)	520001	500005	-1	0	1	0
120002	M0020_08	(0,10001203,0)*(0,10003803,1)	(0,10001203,0)*(0,10003803,1)	(0,0,0)*(1,10,0)	(0,0,0)	520004	520005	-1	0	0	0
120003	M0020_08	(0,10001203,0)*(0,10001103,0)*(3,10031003,0)*(5,10000703,0)*(7,10001302,0)*(9,10000303,0)*(0,10008403,1)*(0,10007103,1)*(2,10008003,1)*(2,10008803,1)*(4,10007403,1)*(4,10009903,1)*(6,10003803,1)*(8,10004403,1)	(0,10001203,0)*(0,10001103,0)*(3,10031003,0)*(5,10000703,0)*(7,10001302,0)*(9,10000303,0)*(0,10008403,1)*(0,10007103,1)*(2,10008003,1)*(2,10008803,1)*(4,10007403,1)*(4,10009903,1)*(6,10003803,1)*(8,10004403,1)	(0,0,0)	(0,0,0)*(1,16,0)	520006	520007	-1	0	0	0
120401	M0020_10	(0,10001401,0)*(0,10001504,0)*(0,10013006,1)*(0,10012804,1)*(0,10013006,1)	0	(0,0,0)	(0,0,0)	520407	500013	-1	Helou_04_Ma	0	1
120402	M0020_11	(0,10001401,0)*(0,10001504,0)*(0,10001106,1)*(0,10031004,1)	0	(0,0,0)	(0,0,0)	520403	500013	-1	Story_0005	0	1
120403	M0020_11	(0,10001401,0)*(0,10001505,0)*(0,10001804,1)*(0,10001604,1)	0	(0,0,0)	(0,0,0)	520405	500013	-1	Helou_08_Ma	0	1
