#SkillNo	SkillName	NeedToSelectTarget	SkillType	TargetType	TargetArea	Range	AOE	MinDamage	MaxDamage	UseAp	CD	UseSkillAfterMove	condition	SkillEffectID	sSkillIcon
100014017	月冥诀	0	1	1	0	0	0	200	300	600	2	1	500192,500022,500023	100014017	s05010
100014018	飞龙在天	1	0	2	0	2	0	600	700	300	0	1	500052,500014	100014018	s01003
100014019	龙战于野	1	0	2	1	3	0	700	800	450	2	1	500001,500052	100014019	s02010
100014020	亢龙有悔	1	0	2	1	3	0	800	1000	700	3	1	500000,500015	100014020	s01053
100014021	度一切苦厄	1	0	2	0	2	0	450	550	250	0	1	500027,500001	100014021	s01045
100014022	无苦寂灭道	1	0	2	0	2	1	500	600	600	3	1	500000	100014022	s01044
100014023	无无明印	0	1	1	0	0	0	400	500	900	4	1	500012,500025	100014023	s05010
100014024	阳意去阴	1	0	2	0	2	0	550	600	450	0	1	500013	100014024	s01006
100014025	一言九鼎	1	0	2	0	2	0	300	400	900	3	1	500002,500135	100014025	s01059
100014026	烛龙泣天	1	0	2	0	1	0	310	410	150	0	1	500052,500006	100014026	s03003
100014027	阴风啸岳	0	0	2	0	0	1	310	410	300	2	1	500049,500009	100014027	s03005
100014028	九阴追魂破	1	0	2	0	1	0	450	550	600	3	1	900102,500013	100014028	s03002
100014029	飞流三千尺	1	0	2	0	3	0	340	400	150	0	1	500052	100014029	s01029
100014030	银河落九天	1	0	2	0	2	1	450	500	450	2	1	500051,500013	100014030	s01034
100014031	飞虹劲	0	1	1	0	0	0	700	800	450	2	1	500017,500014	100014031	s05003
100014032	剑气纵横	1	0	2	1	4	0	500	600	600	0	1	500013,500027,500052	100014032	s01042
100014033	六脉十杀	0	0	2	0	0	2	750	900	900	3	1	500013,500004,500027	100014033	s01035
100014034	月射寒江	1	0	2	0	1	0	250	350	150	0	1	500160	100014034	s01049
100014035	天若有情	1	0	2	1	3	0	400	500	300	2	1	500015	100014035	s01019
100014036	情深义重	1	1	1	0	1	0	800	1000	750	4	1	500055	100014036	s05001
100014037	烟雨迷蒙	1	0	2	0	1	0	200	300	150	0	1	500013	100014037	s01041
100014038	潇湘水云	1	0	2	1	3	0	320	380	300	2	1	500013	100014038	s02002
100014039	儒剑式	1	0	2	0	1	0	350	450	300	0	1	500020	100014039	s01060
100014040	道剑式	1	0	2	0	1	0	500	600	600	3	1	900013	100014040	s02007
100014041	墨剑式	0	0	2	0	1	1	300	400	600	3	1	500013	100014041	s01034
100014042	荡剑式	1	0	2	0	2	0	290	390	300	0	1	500013	100014042	s02006
100014043	撩剑式	1	0	2	0	2	1	390	490	450	3	1	500013,500132	100014043	s01042
100014044	乱剑式	1	0	2	3	1	0	490	590	600	4	1	500013,500012	100014044	s01052
100014045	青龙啸天	1	0	2	0	1	0	350	450	225	0	1	500018	100014045	s02003
100014046	凤翼天翔	0	0	2	0	1	1	350	400	525	3	1	500013	100014046	s02007
100014047	不动如山	0	1	1	0	0	0	300	400	300	2	1	500042,500192	100014047	s05002
100014048	族庖月更刀	1	0	2	0	1	0	300	400	225	0	1	500052,500018	100014048	s01054
100014049	良庖岁更刀	1	0	2	0	1	0	400	500	400	2	1	500052,500132	100014049	s01021
100014050	游刃必有余	1	0	2	0	1	0	600	700	500	3	1	500052,500039	100014050	s01047
100014051	冥鲲斩	1	0	2	0	1	0	300	330	150	0	1	500004	100014051	s01026
100014052	一游刃	1	0	2	1	2	0	350	450	300	2	1	500008	100014052	s01062
100014053	剥极而复	1	0	2	1	2	0	350	400	350	0	1	500008	100014053	s01038
100014054	复无极也	1	0	2	1	2	0	450	600	600	3	1	500015	100014054	s01063
100014055	最无极	0	1	1	0	0	0	200	300	400	2	1	600022	100014055	s05008
100014056	雷霆陨落	1	0	2	0	1	0	400	500	250	0	1	500027,500051	100014056	s01026
100014057	霹雳疾斩	1	0	2	0	2	0	450	550	450	2	1	900012,500035	100014057	s01021
100014058	三千雷动	1	0	2	0	2	1	700	800	600	4	1	500001,500039	100014058	s01038
100014059	风随白云飞	1	0	2	3	2	0	150	200	150	0	1	500001,500022	100014059	s01013
100014060	梦中云莱境	1	0	2	0	2	1	300	350	300	2	1	500000,500025	100014060	s01014
100014061	一醉逍遥	1	0	2	0	2	0	500	600	300	0	1	900128,500195	100014061	s01012
100014062	醉卧乾坤	0	0	2	0	1	1	450	550	550	2	1	500020,500195	100014062	s01024
100014063	醉蝶	0	1	1	0	0	0	300	400	450	2	1	500015,500195	100014063	s05004
100014064	棒打恶犬	1	0	2	0	2	0	500	600	250	0	1	500008	100014064	s01014
100014065	黄狗撒尿	1	0	2	3	1	0	450	550	600	2	1	500051,500001	100014065	s01013
100014066	天下无狗	1	0	2	0	1	1	500	600	900	4	1	500014,600054	100014066	s01012
100014067	星雨漫天	1	0	2	0	3	1	300	400	150	0	1	900026	100014067	s01042
100014068	星火燎原	1	0	2	0	3	1	300	400	600	2	1	500007,500017	100014068	s01043
100014069	披星戴月	0	0	2	0	0	3	300	400	900	4	1	500004,500051	100014069	s01028
100014070	雷火灰烬	1	0	2	0	3	1	300	400	350	0	1	500009,500007	100014070	s01023
100014071	霹雳九天	0	0	2	0	0	2	600	800	900	4	1	500008,500039	100014071	s02009
100014072	飞星掷	1	0	2	0	4	0	400	450	300	0	1	500132	100080001	s01015
100014073	夺魂陷	1	0	2	0	3	1	350	400	600	2	1	500003,500006	100081002	s03004
100014074	暴雨梨花	1	0	2	0	3	1	420	460	900	3	1	500013,900102	100080002	s02004
100014132	寒梅映雪	1	0	2	1	3	0	300	350	300	0	1	900014,500013	100014132	s01044
100014133	飞燕凌波	0	1	1	0	1	1	200	300	450	2	1	900020	100014133	s05006
100014134	空山鸣涧	0	1	1	0	1	1	500	600	750	4	1	900021	100014134	s04007
100014138	昭君出塞	1	0	2	1	3	0	350	400	450	0	1	500000,500013	100014135	s01044
100014139	西施捧心	0	0	2	0	0	2	350	400	600	2	1	900015,500013	100014136	s02009
100014140	貂蝉拜月	0	1	1	0	0	2	800	1000	900	4	1	900017	100014137	s04001
100014135	无忧无虑	0	0	2	0	0	2	300	350	600	0	1	900016,500013	100014138	s01059
100014136	菩提清心	0	1	1	0	0	2	400	600	900	2	1	900018	100014139	s04002
100014137	傲笑红尘	0	0	2	0	0	3	400	500	1500	4	1	900019,500013	100014140	s02009
100014141	德洞天经	1	0	2	1	2	0	350	450	300	0	1	500007,500132	100014141	s01059
100014142	帝不言政	1	0	2	1	2	0	200	300	600	3	1	500002,500001	100014142	s01053
100014144	出奇不意	1	0	2	0	1	0	300	400	150	0	1	500053,900102	100014144	s01010
100014145	虎鹤双形	1	0	2	0	2	0	400	500	300	2	1	500053,500000	100014145	s01036
100014146	如影随形	1	0	2	0	1	0	600	700	600	4	1	500017,500007	100014146	s01011
100014147	捕风捉影	1	0	2	0	2	0	300	350	250	0	1	500053,500003	100014147	s01033
100014148	风中劲草	1	0	2	0	1	1	400	500	400	2	1	500053,500000	100014148	s01034
100014149	暴雨狂风	1	0	2	0	1	1	500	600	600	3	1	500053,500039	100014149	s01020
100014150	迅刀	1	0	2	0	4	0	200	300	200	0	1	500052,500014	100014151	s01042
100014151	出刀	1	0	2	0	5	0	600	700	600	2	1	900129	100014151	s01015
100014152	铁拳无敌	0	0	2	0	0	1	1600	2000	1000	3	1	500027,500047,500013	100999001	s01001
100014153	清霜泪	1	0	2	0	4	0	220	350	250	0	1	500052,500000	100014153	s00090
100014154	冰肌玉骨	1	0	2	0	3	0	350	410	300	2	1	500011,500051	100014154	s01040
100014157	虎噬山林	1	0	2	1	2	0	400	500	300	2	1	500004,500001	100014156	s01010
100014156	龙腾江海	1	0	2	0	2	0	300	350	200	0	1	500053,500017	100014157	s01055
100014159	一点红	1	0	2	0	2	0	280	320	150	0	1	500052,500013	100014159	s01006
100014160	八仙指路	1	0	2	0	2	0	420	480	250	2	1	500052,500132	100014160	s01028
100014162	吸风饮露	1	0	2	0	2	0	270	330	250	0	1	900010	100014162	s00094
100014163	御风而行	1	0	2	3	1	0	270	330	250	0	1	500007,500014	100014163	s00093
100014165	桃之夭夭	1	0	2	0	2	0	270	330	150	0	1	500027,500003	100014165	s00089
100014166	春风拂面	1	1	1	1	2	0	600	900	600	0	1	500058,900011	100014166	s04008
100014169	无风起浪	1	0	2	1	2	0	350	450	350	0	1	500027	100014169	s00106
100014170	回马枪	1	0	2	0	2	0	600	700	500	2	1	500039,500013	100014170	s00105
100014171	枪定中原	1	0	2	0	1	1	450	550	700	4	1	500132,500004,500013	100014171	s00107
100014175	人鬼殊途	1	0	2	0	2	0	300	400	250	0	1	500053,500009	100014175	s00079
100014176	地魂无虚	1	0	2	0	1	0	450	550	400	2	1	500027,500002	100014176	s00098
100014177	天魂渺渺	1	0	2	0	1	1	550	650	600	3	1	500053,900102	100014177	s00097
100014178	风云变色	1	0	2	0	1	0	350	400	225	0	1	500017,500019	100014178	s00088
100014179	电掣风驰	1	0	2	1	3	0	350	420	525	2	1	500004,500132	100014179	s00086
100014180	八方风雨	0	0	2	0	0	2	400	500	750	3	1	500004,500028,500007	100014180	s00087
100014181	寒松霜竹金错刀	1	0	2	0	1	0	300	350	225	0	1	500052,500132	100014181	s00102
100014182	梅花鸜鹆宣和笔	1	0	2	3	1	0	350	450	450	2	1	500007,500025	100014182	s00104
100014183	摩诘诗画见画诗	0	0	2	0	0	1	200	350	750	3	1	500012,500042,500002	100014183	s01016
100014184	八方藏刀式	0	0	2	0	0	1	300	400	250	0	1	500011	100014184	s01062
100014185	缠身摘心刀	1	0	2	1	2	0	500	600	375	3	1	500001,500051	100014185	s00101
100014186	闭门铁扇刀	0	0	2	0	0	1	500	550	500	3	1	500126	100014186	s00100
100014187	猴三抓桃式	1	0	2	3	1	0	300	400	150	0	1	500052,500004	100014187	s00083
100014188	猴三扯桃式	1	0	2	1	2	0	350	450	300	2	1	500053,500027	100014188	s00082
100014189	猴三破桃式	1	0	2	0	1	0	700	800	600	3	1	500001,500039,500057	100014189	s00084
100014190	一刀起程	1	0	2	1	2	0	300	350	100	0	1	500014	100014190	s01029
100014191	走剑行刀	1	0	2	0	2	0	450	550	200	2	1	500004,500003	100014191	s01063
100014192	刀剑啸	1	0	2	1	2	0	450	500	600	3	1	500039,500035	100014192	s02008
100014193	追魂夺魄	1	0	2	1	4	0	350	400	400	0	1	500013,900102	100014195	s01041
100014194	无常索命	1	0	2	1	3	0	450	550	800	2	1	500028,500009	100014193	s02002
100014195	阎王落笔	0	0	2	0	0	2	500	600	1500	4	1	500051,900099	100014194	s01022
100014196	刀剑合	1	0	2	3	1	0	400	500	350	0	1	500018,500022	100014196	s00112
100014197	总诀刀	0	0	2	0	0	1	500	550	900	2	1	500012,500009	100014197	s00111
100014198	总诀剑	0	0	2	0	0	1	500	550	900	2	1	500013,500008	100014198	s01019
100014199	江上弄笛	1	0	2	3	1	0	450	550	400	0	1	500052,500024	100014199	s01049
100014200	飞燕穿柳	1	0	2	0	3	0	450	600	900	1	1	900110,500017	100014200	s00110
100014201	扫荡群魔	0	0	2	0	0	1	550	600	1500	1	1	900110,500014	100014201	s00113
100014202	毒钳啮刺	1	0	2	2	2	0	300	350	200	0	1	500021,500049	100014202	s00109
100014203	百足爪挠	1	0	2	2	3	0	400	450	400	3	1	500028,500039	100014203	s00117
100014204	热地蚰蜒	0	0	2	0	0	1	400	450	650	3	1	500051,900101	100014204	s00108
100014205	金蛇吐信	1	0	2	0	2	0	300	500	150	0	1	500132,900127	100014205	s00118
100014206	杯弓蛇影	1	0	2	3	1	0	400	500	300	2	1	500007,500009	100014206	s00120
100014207	金蛇狂舞	0	0	2	0	0	1	400	450	450	3	1	500013,500049	100014207	s00119
100014208	血飞花	1	0	2	0	4	0	250	350	200	0	1	900153,500003	100014208	s00114
100014209	乱红尘	0	0	2	0	0	2	350	400	400	3	1	900153,500007	100014209	s01037
100014210	满江红	1	0	2	1	4	0	300	350	550	3	1	900153,500013	100014210	s01031
100014211	抽丝剥茧	1	0	2	0	1	0	350	400	200	0	1	500052,500005	100014211	s00116
100014212	千丝万缕	1	0	2	3	1	0	400	450	400	2	1	900104,500049	100014212	s01017
100014213	命若悬丝	1	0	2	0	1	0	500	600	550	3	1	500002,500049	100014213	s01009
100014214	拒辙式	1	0	2	3	1	0	300	350	150	0	1	900109,500003	100014214	s01008
100014215	飞翅式	1	0	2	0	1	0	450	500	300	2	1	500014,500132	100014215	s00080
100014216	捕蝉式	1	0	2	0	2	0	500	550	400	4	1	900108,500002	100014216	s00096
100014217	生公说法	1	0	2	3	1	0	350	400	200	0	1	900105	100014217	s01050
100014218	苦海无边	0	0	2	0	0	1	300	350	400	3	1	900106	100014218	s00115
100014219	放下屠刀	0	0	2	0	0	1	300	350	700	3	1	900107	100014219	s01046
100014220	臭泥弹	1	0	2	0	3	0	200	300	300	0	1	500170,900172	100014153	s00103
100014221	秽垢爆弹	1	0	2	0	3	1	10	10	1000	4	1	900092,900172	100014153	s00103
100014222	三折肱	1	1	1	0	4	0	900	1200	250	0	1	900098,500041	100028001	s04004
100014223	百病身	1	0	2	2	3	0	50	50	500	2	1	900096	100014025	s01047
100014224	千金方	1	1	1	2	3	0	1000	2000	1000	4	1	900097,500043	100014025	s04006
100014225	阳意去阴	1	1	1	0	2	0	1100	1200	1500	0	1	500041	100014024	s04001
100014226	剑气纵横	1	0	2	1	4	0	430	520	500	0	1	500008,500052	100014032	s01042
100014301	庐山升鸡霸	0	0	2	0	0	1	250	350	100	0	1	500052,500027,500001	100014001	s02005
100014302	凤爪七连杀	1	0	2	0	1	1	200	400	150	0	1	500052,500004,500028	100108002	s00117
100014303	升龙拳	0	0	2	0	0	1	350	500	200	0	1	500052,500001,500201	100014001	s01053
100014304	旋风脚	0	0	2	0	0	2	450	600	350	0	1	500053,500000,500028	100422002	s01036
100014305	气功波	1	0	2	1	5	0	600	1000	1800	1	1	500202	100134002	s01025
100015001	武松拳打虎	1	0	2	0	1	0	1100	1200	160	0	1	500052	100015001	s01002
100015002	林冲策马鞭	1	0	2	3	1	0	1200	1300	240	2	1	500001,500000	100015002	s01011
100015003	宋江怒荡寇	1	0	2	0	3	0	1000	1100	320	3	1	500028,500035	100015003	s02010
100015004	武松拳打虎	1	0	2	0	1	0	598	628	64	0	1	500052	100015001	s01002
100015005	林冲策马鞭	1	0	2	3	1	1	678	778	104	3	1	500001	100015002	s01011
100015006	武松拳打虎	1	0	2	0	1	0	448	488	44	0	1	500052	100015001	s01002
100016001	一刀起程	1	0	2	1	2	0	1000	1300	100	0	1	500014	100016001	s01029
100016002	走剑行刀	1	0	2	0	2	0	1100	1400	200	2	1	500004,500003	100016002	s01063
100016003	刀剑啸	1	0	2	1	2	0	1400	1600	300	3	1	500039,500035	100016003	s02008
100016004	一刀起程	1	0	2	1	2	0	700	900	100	0	1	500014	100016001	s01029
100016005	走剑行刀	1	0	2	0	2	0	800	1100	200	3	1	500004	100016002	s01063
100016006	一刀起程	1	0	2	1	2	0	250	400	100	0	1	500014	100016001	s01029
100017001	阳关三迭	1	0	2	0	2	0	1200	1400	200	0	1	500000,500005	100017001	s02008
100017002	阳春白雪	1	0	2	0	2	0	1400	1600	400	2	1	500052,500001	100017002	s02007
100017003	阳歌天钧	0	0	2	0	0	3	1000	1200	800	3	1	500009,500008	100017003	s02003
100018001	毒龙探海	1	0	2	0	1	0	600	900	200	0	1	500006	100018001	s03002
100018002	断魂蚀骨	1	0	2	0	1	0	800	1100	300	2	1	500049,500008	100018002	s03004
100018003	化功毒掌	0	0	2	0	0	2	900	1300	400	4	1	500005,500001	100018003	s03005
100019001	八方藏刀式	0	0	2	0	0	1	500	600	100	0	1	500008	100019001	s01062
100019002	缠身摘心刀	1	0	2	1	2	0	700	800	250	2	1	500001,500051	100019002	s01038
100019003	闭门铁扇刀	0	0	2	0	0	1	800	900	400	4	1	500126	100019003	s01043
100021001	族庖月更刀	1	0	2	0	1	0	500	600	100	0	1	500052,500003	100021001	s01021
100021002	良庖岁更刀	1	0	2	0	1	0	600	800	200	2	1	500052,500132	100021002	s01038
100021003	游刃必有余	1	0	2	0	1	0	800	1000	300	3	1	500052,500039	100021003	s01054
100022001	青龙摆尾	1	0	2	1	2	0	170	210	30	0	1	0	100022001	s01053
100022002	流星赶月	1	0	2	1	2	0	210	240	50	2	1	0	100022002	s01038
100023001	惊天槌	1	0	2	3	1	0	150	170	30	0	1	0	100023001	s01018
100023002	动地槌	0	0	2	0	0	1	170	200	50	2	1	500001	100023002	s02006
100024001	一指惊风	1	0	2	0	1	0	130	150	30	0	1	500052	100024001	s01006
100024002	一指骇浪	1	0	2	0	1	0	200	220	50	2	1	0	100024002	s01008
100025001	佛山铁线拳	1	0	2	0	1	0	140	160	30	0	1	0	100025001	s01007
100025002	佛山无影脚	1	0	2	0	2	0	170	210	50	2	1	500053	100025002	s01055
100025003	佛山无影脚	1	0	2	0	1	0	800	900	100	0	1	500001	100025002	s01055
100025004	佛山无影脚	1	0	2	0	1	0	900	1000	200	0	1	500001	100025002	s01055
100025005	佛山无影脚	1	0	2	0	1	0	1000	1200	300	0	1	500001	100025002	s01055
100026001	醉酒拨臂连环踢	0	0	2	0	0	1	900	1000	150	0	1	500053,500195	100026001	s01011
100026002	醉酒提壶力千钧	1	0	2	0	1	0	1100	1300	250	2	1	500015,500195	100026002	s01007
100026003	弹腰献酒醉当步	1	0	2	0	1	0	1400	1600	300	3	1	500017,500053,500195	100026003	s01010
100027001	星雨漫天	1	0	2	0	3	1	400	600	150	0	1	900026	100027001	s01043
100027002	星火燎原	1	0	2	0	3	1	700	900	200	3	1	500013,500004	100027002	s02004
100027003	披星戴月	0	0	2	0	0	2	1000	1200	400	4	1	500007,500051	100027003	s02009
100028001	点血截脉	1	0	2	0	4	0	300	400	100	0	1	500000,500004	100028001	s01047
100028003	千金方	0	1	1	0	0	2	1000	2000	400	3	1	500043,900097	100028002	s04005
100028002	三折肱	1	1	1	0	4	0	900	1200	250	1	1	900098,500041	100028001	s04004
100029001	搜魂	0	0	2	0	0	2	500	800	200	0	1	500013,900029	100029001	s01056
100029002	销魂	0	0	2	0	0	2	600	700	300	2	1	500013,900030	100029002	s01050
100029003	忘魂	1	0	2	1	3	0	800	1000	400	4	1	500002,500013,900031	100029003	s01027
100030001	桃之夭夭	1	0	2	1	2	0	800	1000	200	0	1	500027,500003	100030001	s00089
100030002	春风拂面	1	1	1	1	2	0	600	900	200	0	1	500037,500058	100030002	s04008
100031001	号令天下	1	0	2	1	3	0	700	1100	200	0	1	500028,500009	100031001	s01016
100031002	莫敢不从	1	0	2	0	2	0	1200	1600	400	2	1	500002,500008	100031002	s01051
100032001	梅花三弄	1	0	2	1	2	0	700	900	80	0	1	500007	100032001	s01001
100032002	漫天花语	1	1	1	0	2	0	1300	1600	300	2	1	500037,500043	100032002	s01002
100032003	百花齐绽	0	0	2	0	0	1	900	1100	220	2	1	500001,500132	100032003	s01007
100033001	千毒万蛊	1	0	2	0	1	0	800	1000	150	0	1	900153	100033001	s03004
100033002	金蛇缠身	1	0	2	0	2	1	900	1200	250	3	1	900153,500010	100033002	s03005
100034001	天剑诀	1	0	2	0	1	1	1600	1800	200	0	1	500028,500004	100034001	s02002
100034002	万剑诀	0	0	2	0	0	2	1800	2000	400	2	1	500004,900102	100034002	s01041
100034003	七剑诛	1	0	2	1	3	0	1200	1400	600	3	1	500013,500039	100034003	s01063
100035001	金针渡劫	1	1	1	0	2	0	700	1200	200	2	1	500041,500026	100035001	s04005
100035002	静莲蝶雨	0	1	1	0	0	3	1000	1600	400	3	1	500037,500042	100035002	s04008
100035003	点血截脉	1	0	2	0	2	0	300	400	100	0	1	500004	100013001	s01047
100036001	揽雀尾	1	0	2	0	1	0	500	700	150	0	1	500052	100036001	s01024
100036002	乱环诀	1	0	2	0	1	0	900	1100	250	3	1	500016,500021	100036002	s01032
100036003	怀中抱月	1	0	2	3	1	0	800	1000	400	4	1	500015,500019	100036003	s01048
100036004	揽雀尾	1	0	2	0	1	0	400	600	100	0	1	500052	100036001	s01024
100036005	乱环诀	1	0	2	0	1	0	600	800	200	3	1	500016	100036002	s01032
100036006	揽雀尾	1	0	2	0	1	0	300	500	80	0	1	500052	100036001	s01024
100037001	圆转太虚	1	0	2	0	1	0	1000	1200	200	0	1	500132	100037001	s01057
100037002	似有若无	1	0	2	3	1	0	1200	1400	300	2	1	500020,500021	100037003	s02002
100037003	太极化清	0	0	2	0	0	1	1000	1200	500	3	1	500042,500016	100037002	s01024
100037004	圆转太虚	1	0	2	0	1	0	520	650	100	0	1	500132	100037001	s01057
100037005	似有若无	1	0	2	3	1	0	650	850	200	3	1	500020	100037003	s02002
100037006	圆转太虚	1	0	2	0	1	0	470	520	100	0	1	500016	100037001	s01057
100038001	圆转太虚	1	0	2	1	2	0	1400	1600	200	0	1	500132,500021	100038001	s01057
100038002	似有若无	1	0	2	3	1	0	1500	1700	400	2	1	500020,500016	100038003	s02002
100038003	太极化清	0	0	2	0	0	1	1200	1300	600	3	1	500046,500012	100038002	s01024
100040001	圆转太虚	1	0	2	1	2	0	1100	1200	100	0	1	500132,500021	100040001	s01024
100040002	似有若无	1	0	2	3	1	0	1200	1300	200	2	1	500020,500016	100040002	s01017
100040003	太极化清	0	0	2	0	0	1	900	1000	300	3	1	500012,500019	100040003	s01031
100041001	圆转太虚	1	0	2	1	2	0	800	700	100	0	1	500132	100041001	s01024
100041002	似有若无	1	0	2	3	1	0	550	650	200	2	1	500020,500016	100041002	s01017
100041003	太极化清	0	0	2	0	0	1	650	700	300	3	1	500019	100041003	s01031
100042001	离中虚	1	0	2	0	1	0	350	400	100	0	1	0	100042001	s01062
100042002	干三连	1	0	2	0	1	0	400	500	150	2	1	500021	100042002	s01049
100042003	百炼成柔	1	0	2	0	1	0	900	1000	200	0	1	0	100037001	s01057
100042004	以柔克刚	1	0	2	0	1	0	1000	1100	300	2	1	500020	100037002	s02002
100042005	柔云剑圈	0	0	2	0	0	1	900	1000	500	3	1	500012	100037002	s01024
100043001	大日如来	1	0	2	0	2	0	800	1000	200	0	1	500009	100043001	s01014
100043002	四方结缘	0	0	2	0	0	1	900	1200	400	3	1	500022,910001	100043002	s01013
100043003	诸法皆空	0	0	2	0	0	1	1100	1400	600	4	1	500042,500020	100043003	s01012
100043004	大日如来	1	0	2	0	2	0	500	600	100	0	1	500009	100043001	s01014
