#iRID	sRewardData
160132	(5,8,2,200047)*(19,11713,0,200069)
160133	(5,8,2,200047)*(19,11714,0,200069)
160134	(5,8,2,200047)*(19,11715,0,200069)
160135	(5,8,2,200047)*(19,11716,0,200069)
160136	(5,8,2,200047)*(19,11717,0,200069)
160137	(5,8,2,200047)*(19,11718,0,200069)
160138	(5,8,2,200047)*(19,11719,0,200069)
160141	(5,6,2,200086)*(19,11502,0,200069)
160142	(5,6,2,200086)*(19,11503,0,200069)
160143	(5,6,2,200086)*(19,11504,0,200069)
160144	(5,6,2,200086)*(19,11505,0,200069)
160145	(5,6,2,200086)*(19,11506,0,200069)
160146	(5,6,2,200086)*(19,11507,0,200069)
160147	(5,6,2,200086)*(19,11508,0,200069)
160148	(5,6,2,200086)*(19,11509,0,200069)
160149	(5,6,2,200086)*(19,11510,0,200069)
160150	(5,6,2,200086)*(19,11511,0,200069)
160151	(5,6,2,200086)*(19,11512,0,200069)
160152	(5,6,2,200086)*(19,11513,0,200069)
160153	(5,6,2,200086)*(19,11514,0,200069)
160154	(5,6,2,200086)*(19,11515,0,200069)
160155	(5,6,2,200086)*(19,11516,0,200069)
160156	(5,6,2,200086)*(19,11517,0,200069)
160157	(5,6,2,200086)*(19,11518,0,200069)
160158	(5,6,2,200086)*(19,11519,0,200069)
160159	(5,6,2,200086)*(19,11520,0,200069)
160160	(5,6,2,200086)*(19,11521,0,200069)
160161	(5,6,2,200086)*(19,11522,0,200069)
212001	(20,20341011,0,0)
212002	(20,20341010,0,0)
212003	(20,20341009,0,0)
212004	(20,20341008,0,0)
212005	(20,20341007,0,0)
212006	(20,20341006,0,0)
212007	(20,20341005,0,0)
212008	(20,20341004,0,0)
212009	(20,20341003,0,0)
212010	(20,20341002,0,0)
212011	(20,21200011,0,0)
212012	(20,21200012,0,0)
212013	(20,21200013,0,0)
212014	(20,21200014,0,0)
212015	(20,21200015,0,0)
212016	(20,21200016,0,0)
212017	(20,21200017,0,0)
212018	(20,21200018,0,0)
212019	(20,21200019,0,0)
212020	(7,660007,1,200054)
212021	(7,690012,1,200054)
212022	(7,920007,1,200054)
212023	(7,920006,1,200054)
212024	(7,680003,1,200054)
212025	(38,4,0,911137)*(31,0,140,0)
212026	(20,21200024,0,0)
212027	(20,21200126,0,0)
212028	(20,21200025,0,0)
212029	(20,21200028,0,0)
212030	(20,21200029,0,0)
212031	(7,690004,1,200054)
212032	(21,0,4011011,0)
215001	(7,680001,1,200054)
215002	(31,0,159,0)
215003	(20,21500206,0,0)
215004	(20,21500208,0,0)*(18,50002,0,200091)
215005	(20,21500002,0,0)
215006	(14,0,50000,200067)*(7,680001,1,200054)*(6,100096,30,200005)
215007	(31,0,159,0)
215008	(20,21500103,0,0)
215009	(20,21500104,0,0)
215010	(7,680004,1,200054)*(6,100058,20,200005)*(6,100096,-50,200064)
215011	(20,21500004,0,0)
215012	(20,21500006,0,0)
250001	(7,230004,1,200054)
250001	(7,230004,1,200054)
250002	(7,200337,1,200054)
250002	(7,200337,1,200054)
300001	(7,990048,1,200054)
300002	(14,0,1000,200067)
300003	(20,21300013,0,0)
300004	(7,231007,1,200054)
300005	(7,990047,1,200054)
300006	(7,990049,1,200054)
300007	(7,990026,1,200054)
300008	(7,100365,1,200054)
300009	(20,21300005,0,0)
300010	(20,21300009,0,0)
300011	(20,21300017,0,0)
300012	(31,0,72,0)
300021	(1,4,3,200015)
300022	(19,10807,0,200069)
300023	(7,990066,5,200054)*(1,2,5,200013)
300024	(1,2,-5,200055)
300025	(1,2,-20,200055)
300026	(20,130122001,0,0)
300027	(7,670001,1,200054)
300028	(7,100501,1,200054)
300029	(7,990029,1,200054)
300030	(7,990111,1,200054)
300031	(7,990067,1,200054)
300032	(7,990068,1,200054)
300033	(4,8,10,200046)*(19,10808,0,200084)
300041	(7,990101,1,200054)
300042	(7,990102,1,200054)
300043	(7,990103,1,200054)
300044	(7,990104,1,200054)
300045	(7,990105,1,200054)
300046	(7,990106,1,200054)
300047	(7,990107,1,200054)
300048	(7,990108,1,200054)
300049	(7,600305,1,200054)
300050	(7,990019,1,200054)*(7,990020,1,200054)*(7,990021,1,200054)*(7,990022,1,200054)*(7,990023,1,200054)*(7,990024,1,200054)
300051	(7,990037,1,200054)
300052	(7,300010,1,200054)
300053	(7,300010,2,200054)
300054	(7,300010,3,200054)
300055	(7,300010,4,200054)
300056	(7,300010,5,200054)
300057	(7,100372,1,200054)*(7,990019,-1,200070)*(7,990020,-1,200070)*(7,990021,-1,200070)*(7,990022,-1,200070)*(7,990023,-1,200070)*(7,990024,-1,200070)
300058	(7,231007,6,200054)
300059	(7,220102,1,200054)
300060	(7,100607,1,200054)
300061	(7,300007,1,200054)*(6,100058,5,200005)
300062	(7,990069,1,200054)
300063	(7,100710,1,200054)*(6,100058,5,200005)
300064	(7,990070,1,200054)
300065	(1,2,-5,200055)
300066	(7,660014,1,200054)*(7,100366,1,200054)
300067	(7,300008,3,200054)
300068	(20,130413001,0,0)
300069	(19,10603,0,200069)*(6,100059,10,200005)*(7,930002,5,200054)*(18,21307,0,200091)
300070	(20,21300005,0,0)
300071	(20,21300005,0,0)
300081	(20,21300014,0,0)
300501	(20,131001003,0,0)
300502	(20,131001008,0,0)
300503	(5,0,50,0)*(5,1,50,0)*(5,4,50,0)*(5,5,50,0)
310001	(7,300014,1,200054)
310002	(7,210002,1,200054)*(19,11605,0,200069)
310003	(7,600202,1,200054)
310004	(7,220452,1,200054)
400001	(4,8,3,200046)
400002	(4,8,3,200046)
400003	(4,8,5,200046)*(19,10816,0,200069)
400004	(4,8,3,200046)*(7,100416,3,200054)*(19,10817,0,200069)
400005	(7,990058,1,200054)
400006	(14,0,1200,200067)
400007	(6,100085,5,200005)
400008	(7,200348,1,200054)
400009	(7,990032,1,200054)
400010	(7,990034,1,200054)
400011	(7,990059,1,200054)
400012	(7,990060,1,200054)
400013	(7,990061,1,200054)
400014	(7,220346,1,200054)
400015	(7,990033,1,200054)
400016	(7,300014,1,200054)
400017	(7,300013,1,200054)*(7,100170,5,200054)
400018	(20,21900005,0,0)
400019	(20,21900006,0,0)
400020	(20,21900007,0,0)
400021	(7,990062,1,200054)
400051	(20,190201001,0,0)
400052	(20,190202001,0,0)
410001	(6,100134,5,200005)
410002	(6,100134,5,200005)*(19,10812,0,200069)
410003	(6,100299,5,200005)
410004	(7,100416,1,200054)
500001	(20,21800008,0,0)
500002	(20,21800020,0,0)
500003	(20,21800022,0,0)
500004	(20,21800023,0,0)
500005	(37,0,0,0)
500006	(38,0,0,911133)
500007	(38,1,0,911134)
500008	(38,2,0,911135)
500009	(38,3,0,911136)
500010	(38,4,0,911137)
500011	(38,5,0,911138)
500012	(38,6,0,911139)
500013	(35,91,0,0)
500014	(18,60002,0,0)
500015	(18,60003,0,0)
500016	(18,60004,0,0)
500017	(18,60005,0,0)
500018	(18,60006,0,200091)
500019	(18,60007,0,0)
500020	(18,60008,0,200091)
500021	(18,60009,0,200091)
500022	(18,60010,0,0)
500023	(18,60011,0,200091)
500024	(18,60012,0,200091)
500025	(18,60013,0,200091)
500026	(18,60014,0,200091)
500027	(18,60015,0,200091)
500028	(18,60016,0,0)
500029	(18,60017,0,0)
500030	(18,60018,0,200091)
500031	(35,1,0,0)
500032	(35,9,0,0)
500033	(35,10,0,0)
500034	(35,11,0,0)
500035	(35,8,0,0)
500036	(18,60024,0,200091)
500037	(14,0,5000,911146)*(1,1,5,200012)
500038	(1,0,5,200011)*(1,3,5,200014)
500039	(41,M00051056,0,0)
500040	(7,100266,1,200054)*(7,100261,4,200054)
500041	(1,2,5,200013)
500042	(1,2,-5,200013)
500043	(1,5,-100,911147)
500044	(7,100105,3,200054)*(7,100257,4,200054)*(7,100258,3,200054)*(7,100278,2,200054)*(7,100262,1,200054)*(7,100269,1,200054)
500045	(20,20000008,0,0)
500046	(20,20000009,0,0)
500047	(20,20000011,0,0)
500048	(20,20000012,0,0)
500049	(18,60026,0,200091)
500050	(18,60027,0,200091)
500051	(18,60028,0,200091)
500052	(18,60029,0,200091)
500053	(20,20000014,0,0)
500054	(18,60030,0,200091)
500055	(20,20000015,0,0)
500056	(1,2,10,200013)*(1,3,10,200014)
500057	(1,3,20,200014)
500058	(1,2,-10,200013)*(14,0,10000,200067)
500059	(1,2,5,200013)*(1,3,10,200014)*(7,600114,1,200054)
500060	(39,1,0,0)
500061	(18,60025,0,200091)
500062	(40,1,10002903,210019)
500063	(7,990134,1,0)
500064	(20,23000011,0,0)
500065	(35,87,0,0)
500066	(20,23000014,0,0)
500067	(20,23000013,0,0)
500068	(35,89,0,0)
500069	(20,23000015,0,0)
500070	(20,21190002,0,0)
500071	(20,21190003,0,0)
500072	(35,88,0,0)
500073	(20,21190005,0,0)
500074	(20,21190006,0,0)
500075	(35,90,0,0)
500076	(20,23990003,0,0)
500077	(20,23990004,0,0)
500078	(20,23990000,0,0)
500079	(20,23990007,0,0)
500080	(20,23990008,0,0)
500081	(20,23990013,0,0)
500082	(20,23990014,0,0)
500083	(20,23990010,0,0)
500084	(20,23990017,0,0)
500085	(20,23990018,0,0)
500086	(38,2,0,911135)*(31,0,172,0)
500087	(16,70052,0,0)*(19,21118,0,200069)*(25,70052,1000000,0)*(7,990135,1,0)*(19,21245,0,200069)*(19,21246,0,200069)*(19,21247,0,200069)
500088	(7,600052,-1,200070)
500089	(16,70051,0,0)*(19,21126,0,200069)*(25,70051,1000000,0)*(19,21242,0,200069)*(19,21243,0,200069)*(19,21244,0,200069)
500090	(43,0,0,0)
500091	(16,10708,0,0)*(19,21271,0,200084)*(19,21272,0,200084)*(19,21273,0,200084)
500092	(16,10709,0,0)*(19,21274,0,200084)*(19,21275,0,200084)*(19,21276,0,200084)*(19,21277,0,200084)
501001	(1,2,-10,200055)*(7,200349,1,200054)
501002	(1,4,10,200015)
501003	(1,2,-5,200055)*(1,4,5,200015)*(7,200349,1,200054)
501004	(1,2,10,200013)*(1,3,10,200014)
501005	(20,20120005,0,0)*(1,0,5,200011)*(1,3,10,200014)*(14,0,10000,200067)
501006	(1,0,1,200011)
501007	(20,20000016,0,0)
501008	(14,0,-2000,200067)
501009	(20,20000017,0,0)*(1,2,-10,200055)*(7,100284,1,200054)
501010	(20,20000018,0,0)*(1,2,5,200013)
501011	(1,3,10,200014)
501012	(1,4,5,200015)
501013	(40,1,91000701,210019)
501014	(40,1,91000601,210019)
501015	(40,1,91001202,210019)
501016	(40,1,36003201,210019)
501017	(20,21010003,0,0)
501018	(40,1,91000402,210019)
501019	(7,100284,-1,0)*(20,20300001,0,0)
501020	(7,660022,1,200054)
501021	(17,60014,0,200083)*(42,60014,10,200104)*(19,20014,0,200084)
501022	(20,22261024,0,0)
501023	(20,990013010,0,0)
501024	(7,300017,6,200054)
501025	(7,220202,1,200054)*(7,220203,1,200054)*(7,220204,1,200054)*(7,220205,1,200054)*(7,220206,1,200054)*(7,220207,1,200054)*(7,220208,1,200054)*(7,220209,1,200054)
505001	(14,0,2000,911146)
505002	(1,2,10,200013)
505003	(20,20500011,0,0)
505004	(31,0,40,0)
505005	(14,0,20000,200067)
505006	(1,2,10,200013)*(7,300007,2,200054)
505007	(6,100015,10,0)
505008	(6,100060,10,0)
505009	(39,1,0,0)*(1,0,2,200011)
505010	(35,33,0,0)
505011	(7,100257,3,200054)
505012	(20,10510002,0,0)
506001	(20,20620002,0,0)
506002	(20,20620002,0,0)
506003	(20,20620003,0,0)
506004	(20,20620003,0,0)
506005	(6,100043,100,200005)*(1,3,30,200014)*(20,20620005,0,0)
506006	(20,20620005,0,0)
506007	(20,20620009,0,0)
506008	(20,20620010,0,0)
507601	(20,20730001,0,0)
507602	(7,990041,1,200054)*(7,100207,1,200054)*(7,210005,1,200054)
509001	(20,20900003,0,0)
509002	(31,0,87,0)
509003	(20,20900017,0,0)
509004	(31,0,87,0)
509005	(20,20900019,0,0)
509006	(31,0,87,0)
509007	(20,20900021,0,0)
509008	(31,0,87,0)
509009	(20,20900023,0,0)
509010	(31,0,87,0)
509011	(20,20900025,0,0)
509012	(31,0,87,0)
509013	(20,20900030,0,0)
509014	(40,0,10006603,0)*(31,0,87,0)
509015	(20,20900034,0,0)
509016	(31,0,87,0)
509017	(7,200326,1,200054)*(7,200313,1,200054)*(7,300013,1,200054)*(14,0,5000,200067)*(1,3,30,200014)*(31,0,87,0)
509018	(20,20900027,0,0)
509019	(20,20900010,0,0)
509020	(20,20900012,0,0)
509021	(6,100066,100,200005)*(40,1,10006603,210019)
509022	(40,0,10006603,0)
510001	(20,21060002,0,0)
510002	(7,600025,1,200054)*(6,100094,100,200005)*(1,3,30,200014)
510003	(18,60025,0,200091)
511001	(20,21100003,0,0)
511002	(20,21100003,0,0)
511003	(20,21100004,0,0)
511004	(20,21100004,0,0)
511005	(20,21100005,0,0)
511006	(20,21100005,0,0)
511007	(20,21160002,0,0)
511008	(20,21160002,0,0)
511009	(7,990041,1,200054)
515001	(6,100058,-99,200064)*(31,0,159,0)
515002	(6,100058,30,200005)*(31,0,159,0)
516001	(20,21600007,0,0)
516002	(20,21600008,0,0)
516003	(20,21600009,0,0)
516004	(6,100072,-40,200064)*(6,100037,-40,200064)*(6,100085,-40,200064)*(38,1,0,911134)*(31,0,168,0)
516005	(38,1,0,911134)*(31,0,168,0)
516006	(20,21600012,0,0)
516007	(38,1,0,911134)*(31,0,168,0)
516008	(20,21600014,0,0)
516009	(38,1,0,911134)*(31,0,168,0)
516010	(38,1,0,911134)*(1,3,30,200014)*(31,0,168,0)
516011	(6,100072,-40,200064)*(6,100037,-40,200064)*(6,100085,-40,200064)
516012	(7,600602,1,200054)
516013	(6,100016,70,200005)
516014	(6,100016,-40,200064)
516015	(6,100094,-40,200064)
516601	(6,100085,100,200005)*(6,100072,100,200005)
516801	(7,990125,2,200054)
517001	(19,11608,0,200069)
517002	(7,210005,1,200054)
518001	(31,0,149,0)
518002	(31,0,149,0)
518003	(31,0,149,0)
518004	(20,21800005,0,0)
518005	(20,21800007,0,0)
518006	(20,21800009,0,0)
518007	(20,21800011,0,0)
518008	(40,1,10029902,210019)
518009	(40,0,10029902,0)
518010	(6,100299,50,200005)*(1,3,30,200014)
519601	(20,21960001,0,0)
519602	(7,100060,1,200054)
519603	(7,100261,-5,200054)*(7,100266,-5,200054)*(7,100267,-5,200054)*(7,100270,-1,200054)
519604	(7,100261,5,200054)*(7,100266,5,200054)*(7,100267,5,200054)*(7,100270,1,200054)
519605	(7,300006,2,200054)*(7,100416,10,200054)*(20,21960002,0,0)
519606	(7,680007,1,200054)
519607	(14,0,100000,200067)
519608	(20,21960003,0,0)
519609	(20,21960004,0,0)
519610	(7,300013,1,200054)
519611	(7,220205,1,200054)
519612	(7,100416,10,200054)*(7,220204,1,200054)
520001	(20,22000010,0,0)
520002	(20,22000011,0,0)
520003	(33,0,0,0)
520004	(20,22000021,0,0)
520005	(20,22000022,0,0)
520006	(20,22000024,0,0)
520007	(20,22000025,0,0)
520401	(20,22040002,0,0)
520402	(20,22040002,0,0)
520403	(20,22040003,0,0)
520404	(20,22040003,0,0)
520405	(20,22040004,0,0)
520406	(20,22040004,0,0)
520407	(20,22040015,0,0)
520801	(20,22080002,0,0)
520802	(35,93,0,0)
520803	(35,12,0,0)
520804	(35,98,0,0)
520805	(35,3,0,0)
520806	(20,22080004,0,0)
522001	(30,2,10206,0)
522002	(1,6,-300,911140)
522003	(7,100102,1,200054)*(7,100105,20,200054)*(7,100106,20,200054)*(7,100265,20,200054)
522004	(7,100051,50,200054)
522005	(7,100278,20,200054)
522006	(7,100207,1,200054)*(14,0,-20000,200067)
522007	(14,0,50000,200067)
522008	(20,22261109,0,0)
523001	(20,22300010,0,0)
523002	(20,22300010,0,0)
523003	(31,0,60,0)
523004	(7,100013,10,200054)*(14,0,20000,911146)
526001	(20,22600003,0,0)
526002	(20,22600003,0,0)
526003	(20,22600004,0,0)
526004	(20,22600004,0,0)
526201	(20,22620011,0,0)
526202	(20,22620008,0,0)
526203	(20,22620008,0,0)
527001	(20,22700002,0,0)
527002	(20,22700002,0,0)
532001	(7,100013,1,0)*(1,0,5,200011)*(1,3,5,200014)*(1,2,1,200013)*(7,300005,2,200054)*(20,23200003,0,0)
532002	(1,0,5,200011)*(1,3,15,200014)*(1,2,1,200013)*(14,0,10000,200067)*(20,23200004,0,0)
532003	(1,0,1,200011)*(1,2,2,200013)*(31,0,15,0)
532004	(31,0,15,0)
532005	(1,3,20,200014)*(13,10003,1,210013)
532006	(1,2,10,200013)*(1,3,10,200014)*(13,10003,1,210013)
532007	(1,2,-10,200055)*(1,4,10,200015)*(13,10003,1,210013)
533001	(20,23300003,0,1)
534601	(20,23460002,0,0)
534602	(20,23460002,0,0)
534603	(7,300005,1,200054)
534604	(1,3,100,200014)*(20,23460006,0,0)
534605	(20,23460006,0,0)
590001	(1,3,100,200014)*(7,660007,1,200054)
590002	(1,3,100,200014)*(7,680003,1,200054)
590003	(1,3,100,200014)*(7,920002,1,200054)
590004	(1,3,100,200014)*(7,920004,1,200054)
590005	(1,3,100,200014)*(7,920001,1,200054)
590006	(1,3,100,200014)*(7,690012,1,200054)
590011	(1,0,5,200011)*(1,1,5,200012)*(1,3,5,200014)*(20,21200011,0,0)
590012	(1,0,5,200011)*(1,1,5,200012)*(1,3,5,200014)*(20,21200012,0,0)
590013	(1,0,5,200011)*(1,1,5,200012)*(1,3,5,200014)*(20,21200013,0,0)
590014	(1,0,5,200011)*(1,1,5,200012)*(1,3,5,200014)*(20,21200014,0,0)
590015	(1,0,5,200011)*(1,1,5,200012)*(1,3,5,200014)*(20,21200015,0,0)
590016	(1,0,5,200011)*(1,1,5,200012)*(1,3,5,200014)*(20,21200016,0,0)
590017	(1,0,5,200011)*(1,1,5,200012)*(1,3,5,200014)*(20,21200017,0,0)
590018	(1,0,5,200011)*(1,1,5,200012)*(1,3,5,200014)*(20,21200018,0,0)
590019	(1,0,5,200011)*(1,1,5,200012)*(1,3,5,200014)*(20,21200024,0,0)
590020	(1,0,5,200011)*(1,1,5,200012)*(1,3,5,200014)*(20,21200029,0,0)
590021	(1,0,5,200011)*(1,1,5,200012)*(1,3,5,200014)*(20,21200028,0,0)
599201	(20,29920002,0,0)
599202	(20,29920002,0,0)
599203	(6,100036,100,0)
599995	(1,0,2,200011)*(1,1,2,200012)
599996	(1,0,5,200011)*(1,1,5,200012)*(1,3,5,200014)
599997	(31,0,101,0)
599998	(31,0,72,0)
599999	(38,4,0,911137)*(31,0,140,0)
600001	(5,7,5,200031)*(19,11604,0,200069)
600002	(5,8,3,200047)
600004	(1,4,3,200015)
600005	(1,1,2,200012)
600006	(6,100060,10,200005)
600007	(7,220403,1,200054)*(32,0,600,200016)
600008	(5,1,5,200041)*(1,2,3,200013)*(1,3,2,200014)*(7,990002,1,200054)*(19,11001,0,200084)
600009	(1,3,5,200014)*(1,2,2,200013)
600010	(5,8,3,200047)*(1,4,2,200015)
600011	(4,6,5,200038)
600012	(5,1,3,200041)*(1,4,1,200015)
600013	(7,200001,1,200054)*(5,4,5,200044)
600015	(5,5,3,200045)*(7,200010,1,200054)
600016	(14,0,1000,200067)*(5,5,-3,200076)
600017	(1,4,2,200015)
600018	(6,100075,10,200005)
600019	(5,6,5,200086)
600020	(1,2,5,200013)
600021	(7,200011,1,200054)
600022	(7,990001,1,200054)
600023	(7,100054,1,200054)*(7,100051,200,200054)*(1,2,5,200013)*(6,100056,20,200005)*(4,1,5,200033)
600024	(1,2,5,200013)
600025	(7,990003,1,200054)
600026	(4,8,5,200046)*(1,3,1,200014)
600027	(14,0,400,200067)*(6,100015,10,200005)*(6,100134,10,200005)
600028	(32,4,3,200020)
600029	(20,20001008,0,0)
600030	(20,20001002,0,0)
600031	(18,10001,0,200091)
600032	(1,4,1,200015)
600033	(4,2,5,200034)
600034	(5,5,5,200045)
600035	(5,0,5,200040)*(19,10901,0,200069)
600036	(17,60006,0,200083)*(19,20006,0,200084)*(6,100135,10,200005)
600037	(1,1,3,200012)
600038	(1,2,5,200013)
600039	(1,2,5,200013)*(6,100060,10,200005)
600040	(1,2,-5,200055)*(6,100060,-10,200064)*(6,100089,20,200005)
600041	(1,2,-5,200055)
600042	(7,200010,1,200054)
600044	(1,3,5,200014)*(1,2,5,200013)
600045	(7,990057,1,200054)
600046	(6,100037,20,200005)
600047	(5,3,5,200043)
600048	(4,1,5,200033)
600049	(4,5,5,200037)
600050	(4,0,5,200032)
600051	(4,8,5,200046)
600052	(1,4,20,200015)
600053	(1,5,400,200097)*(1,6,200,200098)
600054	(27,0,50,200089)*(28,0,100,200090)
600055	(7,100011,10,200054)
600056	(22,0,2,200087)
600057	(39,2,0,0)*(1,5,10,200097)*(1,6,10,200098)
600058	(22,0,3,200087)
600059	(22,0,3,200087)
600060	(22,0,2,200087)
600061	(1,4,3,200015)
600062	(6,100072,20,200005)
600063	(6,100072,5,200005)
600064	(4,3,5,200035)
600065	(20,10091001,0,0)
600066	(17,60006,0,200083)*(19,20006,0,200084)*(6,100135,10,200005)
600201	(20,10213001,0,0)
600202	(20,10214001,0,0)
600203	(20,10216001,0,0)
600231	(6,100037,5,200005)
600232	(6,100043,5,200005)
600233	(6,100094,5,200005)
600234	(6,100081,5,200005)
600235	(6,100299,5,200005)
600236	(6,100096,5,200005)
600237	(6,100089,5,200005)
600238	(6,100085,5,200005)
600239	(6,100065,5,200005)
600240	(6,100072,5,200005)
600241	(6,100078,5,200005)
600242	(6,100060,5,200005)
600243	(6,100036,5,200005)
600244	(6,100037,5,200005)
600245	(6,100043,5,200005)*(6,100094,5,200005)*(6,100081,5,200005)*(6,100299,5,200005)*(6,100096,5,200005)*(6,100089,5,200005)*(6,100085,5,200005)*(6,100065,5,200005)*(6,100072,5,200005)*(6,100078,5,200005)*(6,100060,5,200005)*(6,100036,5,200005)*(6,100037,5,200005)
600251	(7,300014,1,200054)*(7,100371,1,200054)*(7,600405,1,200054)
600252	(7,300015,1,200054)
600253	(38,3,0,911136)*(7,210004,1,200054)*(31,0,30,0)
600254	(20,30101002,0,0)
600255	(20,30103001,0,0)
600261	(20,20001025,0,0)
600262	(20,20001026,0,0)
600263	(20,20001027,0,0)
600264	(20,20001028,0,0)
600265	(20,20001029,0,0)*(7,920012,1,200054)*(1,3,30,200014)
600266	(20,20001030,0,0)
600267	(20,20001024,0,0)
600268	(6,100036,5,200005)
600269	(6,100075,5,200005)
600271	(7,200328,1,200054)
600272	(7,200328,-1,0)
600273	(20,20001023,0,0)
600281	(7,100108,-1,0)*(7,100109,1,200054)
600301	(20,10527001,0,0)*(1,0,3,200011)*(1,3,5,200014)
600302	(20,10528001,0,0)*(1,0,1,200011)
600303	(20,10529001,0,0)
600304	(38,3,0,911136)*(31,0,30,0)
600305	(20,10543001,0,0)
600306	(20,10544001,0,0)
600307	(20,10548001,0,0)
600308	(20,10532001,0,0)
600311	(13,10004,1,210013)*(1,3,5,200014)
600312	(20,10096001,0,0)
600313	(6,100015,3,200005)*(6,100016,3,200005)*(1,0,3,200011)*(1,3,3,200014)
600314	(20,10537001,0,0)
600315	(20,10538001,0,0)
600316	(1,1,5,200012)*(14,0,10000,200067)
600317	(1,1,1,200012)
600318	(1,0,1,200011)*(1,3,3,200014)
600319	(1,0,1,200011)
600320	(7,100402,3,200054)*(7,100414,3,200054)*(7,100415,3,200054)*(1,1,5,200012)
600321	(1,1,1,200012)
600322	(1,1,5,200012)*(14,0,6000,200067)
600323	(1,1,1,200012)
600324	(1,0,5,200011)*(1,3,5,200014)*(14,0,4000,200067)
600325	(1,0,1,200011)
600326	(1,0,10,200011)*(1,1,10,200012)*(1,3,10,200014)
600327	(1,0,1,200011)
600328	(1,0,5,200011)*(1,3,5,200014)
600329	(1,0,1,200011)
600330	(7,600112,1,200054)
600331	(7,690009,1,200054)
600332	(7,690017,1,200054)
