#iID	sTip		sTimeBtn
60018	武当和天山派皆同意参加武林大会。		100164
60019	找到三把钥匙交给丐帮，以助他们潜入东厂的火药库，摧毁东厂预备的一大批火药。		100164
60020	第一把钥匙藏在杭州衙门周遭的机关宝箱，第二把在杭州城内的东厂侍卫身上。		100164
60021	最后一把钥匙在明月楼掌厨、化名成柳昂星的公孙坚身上。去找酒楼外流浪厨师解师傅与之抗衡。		100164
60022	替流浪厨师解师傅搜集食材，以制作药膳黄耆杜仲炖牛尾。需要黄耆、杜仲各三个。		100164
60023	<N#>顺利阻止了东厂破坏武林大会的阴谋，得到了正派诸人的尊敬。		100164
60024	纪玟要你给她熊胆、熊掌、虎鞭各五个，还有一张银虎皮，来证明你可以驾驭射雕弓。		100164
60025	铸剑山庄的货物被劫，劫匪似乎往成都东北方山麓离去。		100164
60026	<N#>答应了村民讨伐山贼，山贼据点似乎在成都北方。		100164
60027	<N#>抓到了劫镖的强盗，并且把货物物归原主，真是两全其美。		100164
60028	<N#>替铸剑山庄寻回了货物，至于那些村民后来如何，谁要管盗贼的死活呢？		100164
60029	<N#>把铸剑山庄的货物拿去卖了个好价钱，其他人会如何？都是他们咎由自取。		100164
60030	<N#>歼灭了黑风寨的余党，拯救了一个村庄免于暴力的威胁，但铸剑山庄的货物都损坏了。		100164
70001	<N#>决定与二师兄荆棘一起投奔天龙教，希望自己在天龙教能有一番作为。		100164
70002	<N#>拜见了天龙教主龙王，同时在夜叉带领下导览了天龙教。		100164
70003	与夜叉等人出发少林寺，与玄冥子安排的内应见面。		100164
70004	天龙教前教主天王似乎被关押在华山，众人决定前往华山派一探究竟。		100164
70005	炼制唯我独命丸需要毒龙教的七彩蛊王作引子。师叔三人决定出发毒龙教。		100164
70006	要捉捕七彩蛊王，需要成都百草门的神木王鼎。		100164
70007	到了百草门，却不见门主巩光杰，原来巩光杰前往修罗宫一带采草药时，让修罗宫主扣押了。		100164
70008	巩光杰宣誓永远臣服，并奉上了神木王鼎。下一步就是前往西域小镇，将怪医传闻一探究竟。		100164
70009	到邻近的大漠找个隐僻处放置神木王鼎。在迎风的东面，比较容易使神木王鼎发挥效用。		100164
70010	回到天龙教，让玄冥子能够心无旁鹜的炼制毒药。		100164
70011	玄冥子炼制唯我独命丸需要一段时间，在这段时间内可以在天龙教内到处晃晃。		100164
70012	玄冥子原来就是当年出卖自己父母之人。知道真相的是一个发疯的天龙教众，据说他在洛阳破庙出没。		100164
70013	<N#>发现自己一直被玄冥子所欺骗着。同时杀死自己母亲的人，竟然是谷月轩的父亲谷云飞。		100164
70014	控制毒龙教、百草门、唐门、天剑门、绝刀门、长虹镖局、江府、海鲨帮、天山派、铸剑山庄。		100164
72014	并前往杭州灵隐寺拜会陈公公，商量对付丐帮之策。最后别忘了去青城派让紫阳子听话。		100164
70015	公公要求天龙教替他们狙杀三波丐帮党众，这三波丐帮党众分别前往杭州、成都、洛阳去了。		100164
70016	武林中七成势力，都已经落入玄冥子的掌控之中了。下一个目标，就是师门逍遥谷了。		100164
70017	逍遥谷再也不存在武林中了。师叔侄三人动身返回天龙教，但是荆棘似乎出现了反叛之意。		100164
70018	在龙王紧急号召下，得知天龙教前教主天王已经重现江湖。玄冥子要<N#>前往天龙教后山共商大事。		100164
70019	<N#>与玄冥子将摩乎罗迦灭口，接下来，就是杀死龙王，夺得天龙教大权了。		100164
70020	唯我独命丸的解方或许记载在五毒宝典之上，而五毒宝典有很大的机率，会藏在怪医少女的故居。		100164
70021	只有身为毒龙教前教主、被关押在天龙教囚房中的蓝婷，有能力配制唯我独命丸的解药。		100164
80001	<N#>与谷月轩上少林寺助拳，与魔教护法夜叉等人展开激烈的对决，并顺利击退了魔教人等。		100164
80002	<N#>在少林寺后山遇见方云华与玄冥子勾结，并被方云华栽赃嫁祸，成为众之矢地。		100164
80003	<N#>被干达婆与紧那罗救出少林，决定帮助二人一同救出被天意城囚禁的天王。		100164
80004	风吹雪指出天王被囚禁在洛阳的地底迷阵当中，进入迷阵需要杀手毒、浪、狂身上的三把钥匙。		100164
80005	听说浪在成都出没，狂则在杭州灵隐寺。易容成江瑜的模样与狂见面，但是需要身形相当的人。		100164
80006	<N#>决定寻求史燕的帮忙，请她易容成江瑜的模样。到各大城镇中的驿站捎信给史燕。		100164
80007	<N#>决定寻求雷震天的帮忙，请他易容成江瑜的模样。到洛阳城市集寻找雷震天。		100164
80008	搜集到浪跟狂的钥匙后，到洛阳白马寺与紧那罗、干达婆会合，准备潜入天意城地道。		100164
80009	风吹雪提到，杭州的易容高手千面女郎栖身在港口旁的船舫之上，想会见她须解开诗签上的谜。		100164
80010	原来苏三就是当初的香儿侍女。苏三提到易容需要神奇面粉、蓝色染料与唐寅饰物。		100164
80011	成功易容成江瑜的模样，到灵隐寺与狂会面，套出狂的钥匙藏在洛阳城的破庙之中。		100164
80012	想要得到神秘面粉，就要给包子店老板传说中的杆面棍。据说杆面棍在明月楼中。		100164
80013	明月楼掌柜透漏因为大厨缺钱，杆面棍已经被拿去当铺变现了。		100164
80014	当铺伙计说杆面棍被衙门捕头史刚赎了去。		100164
80015	史刚要求<N#>替他捉拿逃犯，事成愿意将传说中的杆面棍双手奉上。在杭州城外多加搜索。		100164
80016	染布店老板提到蓝色染料缺货，必须搜集十个蓝晶矿给他，才有办法磨制染料。		100164
80017	协助唐伯虎追求华府的秋香。在华府底下的驿站、古玩店或船坞与化身家丁的唐伯虎会面。		100164
80018	<N#>与史燕约定在洛阳城北面的森林会合。		100164
80019	来到成都城，听闻许多男人失踪，怀疑是浪所为。寻找成都留下的唇印暗号，找到浪的巢穴。		100164
80020	得知父母是正邪不容的叛徒，使<N#>心乱如麻。到瀑布前静坐以理清混乱的思绪。		100164
80021	天王郁毒缠身，只有西域怪医的七彩蛊王能够救治。到大漠点燃信号弹，召还任天翔。		100164
80022	眼见怪医不愿出马，<N#>决定请西域小镇上的居民们帮忙说服怪医。		100164
80023	说服中原各派新一代少年英雄入盟天王阵营。搜集五张投名状后，回来禀报天王。		100164
80024	听闻何秋娟上武当刺杀卓人清失风被捉，决定与古实上武当一探究竟。		100164
80025	<N#>看见何秋娟等人往武当西南方的森林跑去了。		100164
80026	<N#>想找巩光杰合作，却听闻巩光杰上修罗宫一带采药草时，被阿修罗给捉住了。		100164
80027	上杭州城密谋劫狱，救出霹雳堂帮主秦斯龙。或许情报会落在城里锦衣卫的身上。		100164
80028	从锦衣卫口中得知，秦帮主被关押在杭州衙门的地牢之中。		100164
80029	潜入衙门地牢，风吹雪提议不如以蜡灌入钥匙孔内，再将成形的蜡拿至铁匠铺请铁匠依样打造。		100164
