#iItemID	sItemName	iItemKint	iTtemType	sIcon	sTip	iItemBuy	iItemSell	iItemStack	iMixStack	iItemUse	iUseTime	iAddType	iRecover1	iArg1	iValue1	iString	iRecover2	iArg2	iValue2	iString	iRecover3	iArg3	iValue3	iString	iString	iLocking	iAmsType	sNpcLike	sUseLimit	tip	sell
100105	蚯蚓	4	7	i00024	普通鱼饵，常常被用于溪流，河流中作钓，往往是鲤鱼，草鱼等鱼类的佳饵。	20 	5 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(100019,20)*(100021,-40)*(100035,-40)*(100055,-40)*(100056,-40)*(100057,-40)*(100058,-40)*(100059,-40)*(100060,-40)*(100061,-40)*(100062,-40)*(100082,-40)*(100008,-10)*(100015,-10)*(100016,-10)*(100017,-10)*(100026,-10)*(100027,-10)*(100028,-10)*(100029,-10)*(100030,-10)*(100031,-10)*(100036,-10)*(100037,-10)*(100043,-10)*(100054,-10)*(100065,-10)*(100066,-10)*(100072,-10)*(100075,-10)*(100078,-10)*(100081,-10)*(100085,-10)*(100089,-10)*(100091,-10)*(100092,-10)*(100094,-10)*(100096,-10)*(100098,-10)*(100134,-10)*(100135,-10)*(100297,-10)*(100299,-10)*(100419,10)*(990013,-10)	0	0	0
100106	红虫	4	7	i00025	鱼饵之一，可用来捕捉虹鱼。	200 	50 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100107	锄头	4	0	i00026	采药草的基本工具。	50 	15 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100108	空水缸	4	0	i00027	空的水缸。	30 	15 	0	999	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100109	装满水的缸	4	0	i00028	装满水的水缸。	0 	0 	0	999	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
100110	石头	4	0	i00475	普通的石头，很硬，请勿拿来砸人。	0 	0 	0	999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
100151	黄耆	5	0	i00029	中药材之一。味甘，性微温，治表虚自汗、气虚内伤、脾虚泄泻、浮肿及痈疽等。	80 	40 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10301	0	(100033,10)*(100035,10)	0	0	0
100152	人参	2	0	i00030	中药材。味甘微寒，主补五脏，安精神，定魂魄，止惊悸，开心益智。久服，轻身延年。	300 	150 	0	999	1	1	0	1	5	2	200097	1	6	2	200098	0	0	0	0	0	10302	0	(100033,10)*(100035,10)	0	0	0
100153	白朮	5	0	i00031	中药材。性味苦温辛烈，有燥湿、化浊、止痛之效。	120 	60 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10303	0	(100033,10)*(100035,10)	0	0	0
100154	黄精	5	0	i00032	这是一味中药。主要功效有补气养阴，健脾，润肺，益肾。	140 	70 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10304	0	(100033,10)*(100035,10)	0	0	0
100155	牛膝	5	0	i00033	中药材之一。补肝肾，强腰膝；治腰膝酸痛，肝肾亏虚，跌打瘀痛。	360 	180 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10305	0	(100033,10)*(100035,10)	0	0	0
100156	荠苨	5	0	i00034	中药材之一。和中，解毒。	180 	90 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10306	0	(100033,10)*(100035,10)	0	0	0
100157	独活	5	0	i00035	中药材之一。有风不动，无风反摇，又名独摇草。	200 	100 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10307	0	(100033,10)*(100035,10)	0	0	0
100158	当归	5	0	i00036	中药材之一。具有补气和血，调经止痛，润燥滑肠之功效。	120 	60 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10308	0	(100033,10)*(100035,10)	0	0	0
100159	芎藭	5	0	i00037	这是一味中药。行气开郁，祛除风燥湿，活血止痛，治风冷头痛旋晕，胁痛腹疼。	200 	100 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10309	0	(100033,10)*(100035,10)	0	0	0
100160	白芍	5	0	i00038	中药材之一。和血脉，泻肝火。	220 	110 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10310	0	(100033,10)*(100035,10)	0	0	0
100161	生地黄	5	0	i00039	中药材之一。入心肾，泻内火，清燥金。	240 	120 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10311	0	(100033,10)*(100035,10)	0	0	0
100162	延胡索	5	0	i00040	这是一味中药。功效甚多，可用于活血，行气，止痛。	260 	130 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10312	0	(100033,10)*(100035,10)	0	0	0
100163	红花	5	0	i00041	中药材之一。古名红兰花。破瘀血，活血，润燥，消肿，止痛。	200 	100 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10313	0	(100033,10)*(100035,10)	0	0	0
100164	蒲黄	5	0	i00042	中药材。甘，平；用于外伤出血，经闭通经，胸腹刺痛，跌扑肿痛。	280 	140 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10314	0	(100033,10)*(100035,10)	0	0	0
100165	黄莲	5	0	i00043	这是一味中药。有清热燥湿，泻火解毒之功效。古有云哑巴吃黄连，有苦说不出。	180 	90 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10315	0	(100033,10)*(100035,10)	0	0	0
100166	附子	5	0	i00044	中药材之一。引发散药开腠理以逐在表之风寒，引温暖药达下焦以祛在里之寒湿。	300 	150 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10316	0	(100033,10)*(100035,10)	0	0	0
100167	金银花	5	0	i00045	中药材。清热解毒；暑季用以代茶，能治温热痧痘、血痢等。	320 	160 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10317	0	(100033,10)*(100035,10)	0	0	0
100168	山豆根	5	0	i00046	中药材。甘所以和毒，寒所以除热，凡毒必热必辛，得清寒之气，甘苦之味，则诸毒自解，故为解毒清热之上药。	360 	180 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10318	0	(100033,10)*(100035,10)	0	0	0
100169	刘寄奴草	5	0	i00047	中药材。味苦，性温。入心、脾经。功能：破血通经、敛疮消肿。	640 	320 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10319	0	(100028,20)*(100035,20)*(100096,20)*(100033,10)	0	0	0
100170	仙鹤草	5	0	i00048	中药材之一。传说其治劳伤吐血有神奇功效。	800 	400 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10320	0	(100028,20)*(100035,20)*(100096,20)*(100033,10)	0	0	0
100171	茯苓	5	0	i00049	中药材之一。能利窍去湿，利窍则开心益智，导浊生津；去湿则逐水燥脾。	380 	190 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10321	0	(100033,10)*(100035,10)	0	0	0
100172	茯神	5	0	i00050	这是一味中药。性味甘、淡平。有渗湿、健脾、宁心等功效。	360 	180 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10322	0	(100033,10)*(100035,10)	0	0	0
100173	柏子仁	5	0	i00051	中药材之一。味甘，性平；养心安神，润肠，止汗。	380 	190 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10323	0	(100033,10)*(100035,10)	0	0	0
100174	肉桂	5	0	i00052	中药材之一。大燥，补肾生火。以岭南桂州出产者为佳。	360 	180 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10324	0	(100033,10)*(100035,10)	0	0	0
100175	杜仲	5	0	i00053	中草药。其味甘，性温。有补益肝肾、强筋壮骨、调理冲任、固经安胎的功效。	380 	190 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10325	0	(100033,10)*(100035,10)	0	0	0
100176	五加皮	5	0	i00054	这是一味中药。有祛风湿，补益肝肾，强筋壮骨，利水消肿的作用。	280 	140 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10326	0	(100033,10)*(100035,10)	0	0	0
100177	肥皂荚	5	0	i00055	中药材之一。疗无名肿毒，有奇功。	240 	120 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10327	0	(100033,10)*(100035,10)	0	0	0
100178	血竭	5	0	i00056	中药材之一。和血，敛疮。专除血痛，散瘀生新，为和血之圣药。	400 	200 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10328	0	(100033,10)*(100035,10)	0	0	0
100179	牛黄	5	0	i00057	中药材。清心，豁痰，开窍，凉肝，息风，解毒。	560 	280 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10329	0	(100033,10)*(100035,10)	0	0	0
100180	犀角	5	0	i00058	中药材之一。品质以乌而光润者胜，角尖尤胜。	2400 	1200 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10330	0	(100033,10)*(100035,10)	0	0	0
100181	羚羊角	5	0	i00059	中药材之一。功用为清肝，袪风舒筋，泻热，散血，降火，解诸毒。	240 	120 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10331	0	(100033,10)*(100035,10)	0	0	0
100182	鹿茸	2	0	i00060	中药材之一。能大补阳虚。生精补髓，养血助阳，强筋健骨。	400 	200 	0	999	1	1	0	1	5	4	200097	0	0	0	0	0	0	0	0	0	10332	0	(100033,10)*(100035,10)	0	0	0
100183	麝香	5	0	i00061	中药材之一。功用为开经络，通诸窍，透肌骨，暖水藏。	2000 	1000 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10333	0	(100033,10)*(100035,10)	0	0	0
100184	燕窝	2	0	i00062	这是一味中药，又称圣药，具有滋阴、润燥和补中益气等功效，作为药食两用的高档滋补品，深受百姓喜爱。	640 	320 	0	999	1	1	0	1	6	10	200098	0	0	0	0	0	0	0	0	0	10334	0	(100033,10)*(100035,10)	0	0	0
100185	鳖甲	5	0	i00063	这是一味中药。具有滋阴潜阳，退热除蒸。多用于阴虚发热，骨蒸劳热。	600 	300 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10335	0	(100033,10)*(100035,10)	0	0	0
100186	冬虫夏草	5	0	i00064	这是一味中药。为平补肺肾之佳品，功能补肾益肺、止血化痰、止咳平喘，尤为劳嗽痰血多用。	800 	400 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10336	0	(100028,30)*(100035,30)*(100096,30)*(100033,10)	0	0	0
100187	甘草	5	0	i00065	这是一味中药。气微，味甜而特殊。功能主治清热解毒、祛痰止咳、脘腹等。	80 	40 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10337	0	(100033,10)*(100035,10)	0	0	0
100201	草鱼	5	0	i00066	是最常见的溪流鱼类，因食草为生而出名。	400 	200 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10202	0	0	0	0	0
100202	青鱼	5	0	i00067	大型鱼类，体表呈墨色，常在湍急的流水下或远离水面的水下，生长速度相当快。	600 	300 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10203	0	0	0	0	0
100203	鲤鱼	5	0	i00068	在鱼类中表现活泼，经常跳出水面，用鱼跃龙门来形容最合适不过。	500 	250 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10205	0	0	0	0	0
100204	虹鲤	2	0	i00069	此鱼在阳光照射下，光芒四射极为耀眼，是鲤鱼中非常罕见的品种。	1600 	800 	0	999	1	1	0	1	5	20	200097	1	6	10	200098	0	0	0	0	0	10204	0	(100021,20)*(100061,20)*(100062,20)	0	0	0
100205	神鱼	2	0	i00070	坊间传闻中的神鱼，鱼身色彩斑斓，鱼肉鲜美无比。	4000 	1400 	0	999	1	1	0	1	5	15	200097	1	6	20	200098	0	0	0	0	0	10207	0	(100021,30)*(100061,20)*(100062,30)	0	0	0
100206	鲫鱼	5	0	i00071	一种杂食性的鱼，饵料喜食蚯蚓。	500 	250 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100207	怪鲶鱼	2	0	i00072	鱼类之中的贵族，其肉质鲜美滑嫩还带点甜味，同时对水质要求非常高，所以十分稀有。	10000 	2000 	0	999	1	1	0	1	5	50	200097	1	6	30	200098	0	0	0	0	0	10206	0	0	0	0	0
100208	鲢鱼	5	0	i00526	栖息于江河、水库及湖泊的上层水域，性急躁，善跳跃。属杂食性，以浮游藻类及有机碎屑为食。	700 	350 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10210	0	0	0	0	0
100209	鳙鱼	5	0	i00527	鳙鱼具有洄游习性，平时多生活在有一定流速的水中。	700 	350 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10211	0	0	0	0	0
100210	鳜鱼	5	0	i00529	一般生活在水草茂盛的静水或缓流中，冬季往往游到深水越冬。	700 	350 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10208	0	0	0	0	0
100211	螃蟹	5	0	i00445	多数生长于海中，但也有生活于淡水或陆地上，不少人使用其食材来制作可口的料理。	400 	100 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100251	青江菜	5	0	i00073	是食材之一。	30 	15 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(100043,20)*(100056,-20)	0	0	0
100252	大白菜	5	0	i00074	是食材之一。	40 	20 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(100043,20)*(100056,-20)	0	0	0
100253	麻婆豆腐	2	0	i00075	四川著名佳肴。	90 	50 	0	999	1	1	0	1	5	5	200097	0	0	0	0	0	0	0	0	0	0	0	(100021,20)*(100098,20)*(100135,20)	0	0	0
100254	粽子	2	0	i00076	此物以竹叶包入米饭和馅料制作。可以恢复体力。	90 	50 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100255	龙粽	2	0	i00077	用各色食材所做的粽子，能恢复大量体力。	90 	50 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(100021,20)*(100065,20)*(100066,20)	0	0	0
100256	特制腊肠	2	0	i00078	为年老所特制的腊肠。	60 	20 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(100021,30)*(100065,30)*(100066,30)	0	0	0
100257	鸡肉	5	0	i00079	是食材之一。	80 	40 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10103	0	(100065,15)*(100066,15)	0	0	0
100258	山猪肉	5	0	i00080	是食材之一。	120 	60 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10105	0	(100065,15)*(100066,15)	0	0	0
100259	蛇肉	5	0	i00081	是食材之一。	160 	80 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10107	0	(100065,15)*(100066,15)	0	0	0
100260	雁子肉	5	0	i00082	是食材之一。	100 	50 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10106	0	(100065,15)*(100066,15)	0	0	0
100261	熊掌	5	0	i00083	是珍贵食材之一。	600 	300 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10108	0	(100021,30)*(100065,30)*(100066,30)	0	0	0
100262	虎尾	5	0	i00084	是珍贵食材之一。	800 	400 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10109	0	0	0	0	0
100263	貂肉	5	0	i00085	是珍贵食材之一。	260 	130 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10110	0	(100065,15)*(100066,15)	0	0	0
100264	兀鹰肉	5	0	i00086	是珍贵食材之一。	300 	150 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10111	0	(100065,15)*(100066,15)	0	0	0
100265	蛇胆	2	7	i00087	一种具有滋补作用的食材，能提升内力。	240 	120 	0	999	1	1	0	1	6	5	200098	0	0	0	0	0	0	0	0	0	10107	0	(100065,-20)*(100066,-20)	0	0	0
100266	熊胆	2	0	i00088	珍贵补品，可强化气血、内力。	2400 	1200 	0	999	1	1	0	1	5	15	200097	1	6	15	200098	0	0	0	0	0	10114	0	(100065,-20)*(100066,-20)	0	0	0
100267	虎鞭	2	0	i00089	珍贵补品，可强化气血。	1600 	800 	0	999	1	1	0	1	5	10	200097	0	0	0	0	0	0	0	0	0	10109	0	(100036,20)*(100037,20)*(100043,20)*(100065,20)*(100066,20)*(100072,20)*(100075,20)*(100078,20)*(100081,20)*(100085,20)*(100089,20)*(100091,20)*(100092,20)*(100094,20)*(100096,20)*(100098,20)*(100134,20)*(100135,20)	0	0	0
100269	熊皮	5	0	i00091	珍贵的熊皮，厚实浓密、有着极好的保暖效果。	1200 	600 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10108	0	(100056,15)	0	0	0
100270	银虎皮	5	0	i00092	雪色的毛绒，光泽艳丽，野性之余又有一种优雅的感觉，极其珍贵。	2600 	1300 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10112	0	(100056,30)	0	0	0
100271	虎皮	5	0	i00093	珍贵的虎皮，代表着自然野性的魅力。	1400 	700 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10109	0	(100056,20)	0	0	0
100272	貂皮	5	0	i00094	珍贵的貂皮，轻柔结实、毛绒丰厚。	700 	350 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10110	0	(100056,20)	0	0	0
100278	兔肉	5	0	i00464	是一般常见的野兔肉。	60 	30 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10102	0	(100065,15)*(100066,15)	0	0	0
100279	兔皮	5	0	i00465	毛绒绒的野兔皮，保暖舒适。	480 	240 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10102	0	0	0	0	0
100280	干粮	2	0	i00473	食物之一	10 	7 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100281	银雪貂皮	5	0	i00094	毛色有如冰针一般透亮，触感轻盈柔软，保暖效果很好，极为珍贵稀有，价值不斐。	7200 	3600 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10117	0	(100056,20)	0	0	0
100282	巨兔肉	5	0	i00464	巨兔的后腿肉，油花丰富且分布均匀，肉质鲜嫩有弹性，没有野兔的骚味，是让许多老饕为之疯狂的梦幻逸品。	2800 	1400 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10116	0	(100065,40)*(100066,40)	0	0	0
100283	兔儿草	5	0	i00708	藏于兔王口腔中的黏稠的草团，由兔毛和唾液及草药揉合而成。食用后有净化效果，可作为生生造化丹的药引。	1 	1 	0	999	1	2	0	18	0	10	0	0	0	0	0	0	0	0	0	0	10410	0	(100019,-10)*(100021,-40)*(100035,60)*(100055,-40)*(100056,-40)*(100057,-40)*(100058,-40)*(100059,-40)*(100060,-40)*(100061,-40)*(100062,-40)*(100082,-40)*(100008,-10)*(100015,-10)*(100016,-10)*(100017,-10)*(100026,-10)*(100027,-10)*(100028,-10)*(100029,-10)*(100030,-10)*(100031,-10)*(100033,-10)*(100036,-10)*(100037,-10)*(100043,-10)*(100054,-10)*(100065,-10)*(100066,-10)*(100072,-10)*(100075,-10)*(100078,-10)*(100081,-10)*(100085,-10)*(100089,-10)*(100091,-10)*(100092,-10)*(100094,-10)*(100096,-10)*(100098,-10)*(100134,-10)*(100135,-10)*(100297,-10)*(100299,-10)*(100419,10)	0	0	1
100284	银雪狼皮	5	0	i00465	毛色有如冰针一般透亮，触感轻盈柔软，皮毛丰厚，保暖效果极佳，珍贵稀有，价值不斐。	12000 	6000 	0	999	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10102	0	0	0	0	1
100301	川青	2	0	i00100	[5E0B08]【右键点击使用】[-]<br>以日光曝晒干燥，质量不如炒青及烘青。巴蜀饮茶文化渊远流长，秦灭巴蜀后，茗饮文化始传出天下。	300 	100 	0	0	1	1	0	5	8	1	200047	1	5	2	200097	0	0	0	0	0	11702	0	(100015,20)*(100017,20)*(100036,20)*(100056,20)*(100085,20)*(100314,20)*(100134,20)*(990031,10)	0	0	0 
