#iID	iType	iCondition	iArg1	iArg2	iDevelopType	iArg3	sImage	sBackground	sMusic	sEndAdd	iPhy	iSaveQuestID
2111002	0	0	0	0	8	1	0	060402HIP	10153	0	0	0
3010001	0	0	0	0	0	3010001	0	060402HIP	10153	3010003	0	0
3010002	0	0	0	0	0	3010002	0	060431HIP	10153	0	0	0
3010003	0	0	0	0	0	3010003	0	060431HIP	10153	0	0	0
3012001	0	0	0	0	0	3012001	0	060405HIP	10153	3012002	0	0
3012002	0	0	0	0	0	3012002	0	060402HIP	10153	0	0	0
3013001	4	7	83	95	0	3013001	DevelopBtn_52	060405HIP	10153	3013002	0	1
3013002	0	0	0	0	0	3013002	0	060402HIP	10153	3014001	0	0
3014001	0	0	0	0	0	3014001	0	060405HIP	10153	3014002	0	0
3014002	0	0	0	0	0	3014002	0	060400HIP	10153	3014003	0	0
3014003	0	0	0	0	0	3014003	0	060405HIP	10153	3014004	0	0
3014004	0	0	0	0	0	3014004	0	060402HIP	10153	0	0	0
3016001	4	7,9	83,3013001	95,0	0	3016001	DevelopBtn_52	060405HIP	10153	3016002	0	1
3016002	0	0	0	0	0	3016002	0	060402HIP	10153	3016003	0	0
3016003	0	0	0	0	0	3016003	0	060405HIP	10153	0	0	0
3023001	4	7,9	83,3016001	95,0	0	3023001	DevelopBtn_52	060400HIP	10153	3023002	0	1
3023002	0	0	0	0	0	3023002	0	060400HIP	10153	3023003	0	0
3023003	0	0	0	0	0	3023003	0	060405HIP	10153	3024001	0	0
3024001	0	0	0	0	0	3024001	0	060405HIP	10153	3024002	0	0
3024002	0	0	0	0	0	3024002	0	060405HIP	10153	0	0	0
3032001	0	0	0	0	0	3032001	0	060402HIP	10153	3032099	0	0
3032099	3	9,9	7900090,6002123	0,0	5	3032098	0	060402HIP	10153	3032008	0	1
3032098	0	0	0	0	0	3032098	0	060402HIP	10153	0	0	0
3032002	0	0	0	0	0	3032002	0	060439HIP	10153	3032003	0	1
3032003	0	0	0	0	0	3032003	0	060402HIP	10153	3032004	0	0
3032004	0	0	0	0	0	3032004	0	060447HIP	10153	3032005	0	0
3032005	0	0	0	0	0	3032005	0	060439HIP	10153	3032006	0	0
3032006	0	0	0	0	0	3032006	0	060447HIP	10153	3032009	0	0
3032008	0	0	0	0	0	3032008	0	060402HIP	10153	0	0	1
3032009	0	0	0	0	0	3032009	0	060447HIP	10153	3032007	0	1
3032007	0	0	0	0	0	3032007	0	060402HIP	10153	3032010	0	0
3032010	3	5,4	8,4	60,70	5	3032012	0	060402HIP	10153	3032013	0	0
3032012	0	0	0	0	0	3032012	0	060402HIP	10153	0	0	0
3032013	0	0	0	0	0	3032013	0	060402HIP	10153	0	0	0
3041001	0	0	0	0	0	3041001	0	060400HIP	10153	0	0	0
3052001	0	0	0	0	0	3052001	0	060405HIP	10153	3052002	0	0
3052002	0	0	0	0	0	3052002	0	060423HIP	10153	3052004	0	0
3052003	0	0	0	0	3	200004	0	060423HIP	10153	0	0	0
3052004	0	0	0	0	0	3052004	0	060423HIP	10153	0	0	0
3061001	0	0	0	0	0	3061001	0	060402HIP	10153	0	0	0
3061002	0	0	0	0	0	3061002	0	060402HIP	10153	0	0	0
3061004	0	0	0	0	0	3061004	0	060402HIP	10153	3061005	0	0
3061008	0	0	0	0	0	3061008	0	060405HIP	10153	0	0	0
3061009	0	0	0	0	0	3061009	0	060405HIP	10153	0	0	0
3061010	0	0	0	0	0	3061010	0	060405HIP	10153	0	0	0
3061011	0	0	0	0	0	3061011	0	060405HIP	10153	0	0	0
3061012	0	0	0	0	0	3061011	0	060405HIP	10153	0	0	0
3061013	0	0	0	0	3	200001	0	060405HIP	10153	0	0	0
3061014	0	10	1	0	0	3061014	0	060405HIP	10153	0	0	0
3061015	0	10	0	0	0	3061015	0	060405HIP	10153	0	0	0
3061017	0	0	0	0	0	3061017	0	060405HIP	10153	0	0	0
3061018	0	10	0	0	0	3061018	0	060405HIP	10153	0	0	0
3061019	0	10	1	0	0	3061019	0	060405HIP	10153	0	0	0
4056001	0	0	0	0	0	4056001	0	060402HIP	10153	4056002	0	0
4056002	0	0	0	0	0	4056002	0	060423HIP	10153	4056003	0	0
4056003	0	0	0	0	3	210017	0	060423HIP	10153	0	0	0
4056004	0	0	0	0	0	4056004	0	060423HIP	20001	4056005	0	0
4056005	0	0	0	0	0	4056005	0	060402HIP	20001	0	0	0
3061021	0	0	0	0	3	200002	0	060405HIP	10153	0	0	0
3063001	0	0	0	0	0	3063001	0	060402HIP	10153	3063002	0	0
3063002	0	0	0	0	0	3063002	0	060423HIP	20001	3063003	0	1
3063003	0	0	0	0	0	3063003	0	060402HIP	20001	0	0	0
3071001	0	0	0	0	0	3071001	0	060402HIP	20001	3071006	0	1
3071002	0	0	0	0	0	3071002	0	060405HIP	20001	3071005	0	0
3071005	0	0	0	0	8	15	0	060405HIP	20001	0	0	0
3071003	0	0	0	0	0	3071003	0	060431HIP	20001	3071010	0	0
3071004	0	0	0	0	0	3071004	0	060402HIP	20001	0	0	0
3071006	3	9	7920029	0	5	3071007	0	060400HIP	10153	3071002	0	0
3071007	0	0	0	0	0	3071007	0	060405HIP	20001	0	0	0
3071008	0	0	0	0	0	3071008	0	060405HIP	20001	3071005	0	1
3071009	0	0	0	0	0	3071009	0	060405HIP	20001	3071005	0	1
3071010	3	9	7920029	0	5	3071013	0	060400HIP	10153	3071004	0	0
3071011	0	0	0	0	0	3071011	0	060402HIP	20001	0	0	1
3071012	3	9	3071009	0	5	3071014	0	060402HIP	20001	3071011	0	0
3071013	0	0	0	0	0	3071013	0	060402HIP	20001	3071012	0	1
3071014	0	0	0	0	0	3071014	0	060402HIP	20001	0	0	1
3083001	0	0	0	0	0	3083001	0	060431HIP	10153	0	0	0
3101001	0	0	0	0	0	3101001	0	060405HIP	10153	0	0	0
3101011	0	9	2115012	0	0	3101011	0	060405HIP	10153	0	0	0
3104001	0	5	5	40	0	3104001	0	060402HIP	10153	0	0	0
3121001	0	0	0	0	0	3121001	0	060400HIP	10153	3121002	0	0
3121002	0	0	0	0	0	3121002	0	060402HIP	10153	3121099	0	0
3121099	0	0	0	0	0	3121099	0	060405HIP	10153	3121003	0	0
3121003	0	0	0	0	3	200057	0	060405HIP	10153	0	0	0
3121004	0	0	0	0	0	3121004	0	060405HIP	10153	0	0	1
3121005	0	0	0	0	0	3121005	0	060405HIP	10153	3121098	0	1
3121098	0	0	0	0	0	3121098	0	060400HIP	10153	0	0	0
3121011	0	2	100017	80	0	3121011	0	060400HIP	10153	3121012	0	1
3121012	0	0	0	0	0	3121012	0	060402HIP	10153	0	0	0
3125001	0	9	3121004	0	0	3125001	0	060400HIP	10153	3125002	0	1
3125002	0	0	0	0	8	7	0	060400HIP	0	0	0	0
3125003	0	0	0	0	0	3125003	0	060400HIP	10153	3125004	0	0
3125004	3	9	3121011	0	5	3125005	0	060400HIP	10153	3125006	0	0
3125005	0	0	0	0	0	3125005	0	060400HIP	10153	3125002	0	1
3125006	0	0	0	0	0	3125006	0	060400HIP	10153	0	0	0
4000001	0	0	0	0	0	4000001	0	060400HIP	M900100	0	0	0
4000002	0	0	0	0	0	4000002	0	060400HIP	M900100	4000006	0	1
4000003	0	0	0	0	0	4000003	0	060400HIP	M900100	4000006	0	1
4000004	0	0	0	0	0	4000004	0	060400HIP	M900100	4000006	0	1
4000005	0	0	0	0	0	4000005	0	060400HIP	M900100	4000006	0	1
4000006	0	0	0	0	0	4000006	0	060402HIP	M900100	4000007	0	1
4000007	3	9	4000002	0	5	4000011	0	060402HIP	M900100	4000008	0	1
4000008	3	9	4000003	0	5	4000012	0	060402HIP	M900100	4000009	0	1
4000009	3	9	4000004	0	5	4000013	0	060402HIP	M900100	4000010	0	1
4000010	3	9	4000005	0	5	4000014	0	060402HIP	M900100	0	0	1
4000011	0	0	0	0	0	4000011	0	060402HIP	M900100	0	0	0
4000012	0	0	0	0	0	4000012	0	060402HIP	M900100	0	0	0
4000013	0	0	0	0	0	4000013	0	060402HIP	M900100	0	0	0
4000014	0	0	0	0	0	4000014	0	060402HIP	M900100	0	0	0
4000015	0	0	0	0	0	4000015	0	060402HIP	M900100	0	0	0
4011001	0	0	0	0	0	4011001	0	060400HIP	10153	4011002	0	0
4011002	0	0	0	0	0	4011002	0	060402HIP	10153	0	0	0
4011011	0	0	0	0	0	4011011	0	060400HIP	10153	4011016	0	0
4011016	3	9	3121005	0	5	4011001	0	060400HIP	10153	4011017	0	0
4011017	0	0	0	0	0	4011017	0	060400HIP	10153	4011013	0	0
4011013	3	13	10034001	0	5	4011014	0	060400HIP	10153	4011015	0	0
4011014	0	0	0	0	0	4011014	0	060400HIP	10153	0	0	0
4011015	0	0	0	0	0	4011015	0	060400HIP	10153	0	0	0
4011012	0	13	10034002	0	0	4011012	0	060402HIP	10153	6002132	0	0
4023001	0	2	100015	50	0	4023001	0	060402HIP	10153	4023003	0	0
4023002	0	0	0	0	0	4023002	0	060402HIP	10153	0	0	0
4023003	0	0	0	0	8	9	0	060402HIP	10053	0	0	0
4023004	0	13	10009001	0	0	4023004	0	060402HIP	10053	0	0	0
4033001	0	0	0	0	0	4033001	0	060402HIP	10153	4033002	0	0
4033002	0	0	0	0	8	5	0	060402HIP	10053	0	0	0
4033003	0	13	10018001	0	0	4033003	0	060402HIP	10053	0	0	0
4033004	0	0	0	0	0	4033004	0	060402HIP	10053	0	0	0
4041001	0	0	0	0	0	4041001	0	060400HIP	10153	4041002	0	0
4041002	0	0	0	0	0	4041002	0	060402HIP	10153	4041003	0	0
4041003	0	0	0	0	0	4041003	0	060402HIP	10153	0	0	0
4041007	0	0	0	0	0	4041007	0	060402HIP	10153	4041004	0	1
4041004	0	0	0	0	8	4	0	060402HIP	10053	0	0	1
4041005	0	13	900192001	0	0	4041005	0	060402HIP	10153	0	0	1
4041011	3	9	4041007	0	5	4041006	0	060402HIP	10153	4041010	0	0
4041006	0	0	0	0	0	4041006	0	060402HIP	10153	0	0	0
4041010	0	0	0	0	0	4041010	0	060402HIP	10153	0	0	0
4050001	0	9	9009896	0	0	4050001	0	060402HIP	10153	4050002	0	1
4050090	0	0	0	0	0	4050090	0	060402HIP	10153	4050091	0	0
4050091	3	9	9009899	0	5	4050092	0	060402HIP	10153	4050093	0	0
4050092	0	0	0	0	0	4050092	0	060402HIP	10153	4050002	0	1
4050093	3	2	100058	30	5	4050094	0	060402HIP	10153	4050005	0	1
4050094	0	0	0	0	0	4050094	0	060402HIP	10153	4050002	0	1
4050005	0	0	0	0	0	4050005	0	060402HIP	10153	0	0	1
4050002	0	0	0	0	8	12	0	060402HIP	10053	0	0	1
4050003	0	13	10018001	0	0	4050003	0	060402HIP	10053	0	0	1
4050004	0	0	0	0	0	4050004	0	060402HIP	10053	0	0	1
4063001	0	0	0	0	0	4063001	0	060402HIP	10153	4063002	0	0
4063002	0	0	0	0	8	14	0	060402HIP	10053	0	0	0
4083001	0	0	0	0	0	4083001	0	060431HIP	10153	0	0	0
4083002	0	0	0	0	0	4083002	0	060431HIP	10153	4083006	0	0
4083003	0	0	0	0	0	4083003	0	060431HIP	10153	4083006	0	0
4083004	0	0	0	0	0	4083004	0	060431HIP	10153	4083006	0	0
4083005	0	0	0	0	0	4083005	0	060431HIP	10153	4083006	0	0
4083006	0	0	0	0	0	4083006	0	060431HIP	10153	0	0	0
5014001	0	9	2115016	0	0	5014001	0	060431HIP	10153	5014003	0	0
5014003	0	0	0	0	3	210016	0	060431HIP	10153	0	0	0
5014004	0	0	0	0	0	5014004	0	060431HIP	10153	5014006	0	0
5014005	0	0	0	0	0	5014005	0	060431HIP	10153	5014006	0	0
5014006	0	0	0	0	0	5014006	0	060431HIP	10153	0	0	0
5014007	0	0	0	0	0	5014007	0	060431HIP	10153	5014006	0	0
5014002	0	0	0	0	0	5014002	0	060431HIP	10153	0	0	0
5083001	0	0	0	0	0	5083001	0	060431HIP	10153	0	0	0
5083002	0	0	0	0	0	5083002	0	060431HIP	10153	0	0	0
5083003	0	0	0	0	0	5083003	0	060431HIP	10153	0	0	0
5083004	0	0	0	0	0	5083004	0	060431HIP	10153	0	0	0
5083005	0	0	0	0	0	5083005	0	060431HIP	10153	0	0	0
5101001	0	0	0	0	0	5101001	0	060405HIP	10153	5101002	0	0
5101002	0	0	0	0	8	2	0	060402HIP	10053	0	0	1
5101005	0	0	0	0	0	5101005	0	060400HIP	10153	0	0	0
5103001	0	0	0	0	0	5103001	0	060405HIP	10153	0	0	0
6014001	0	0	0	0	0	6014001	0	060402HIP	20002	6014002	0	0
6014002	0	0	0	0	0	6014002	0	060405HIP	20002	0	0	0
6014003	0	0	0	0	0	6014003	0	060405HIP	20002	6014033	0	0
6014012	3	2,9,13,14,14,14	100016,2115016,10016003,7800041,7910062,7910085	70,0,0,0,0,0	5	6014004	0	060405HIP	20002	6014013	0	0
6014004	0	0	0	0	0	6014004	0	060405HIP	20002	9200001	0	0
6014013	0	0	0	0	0	6014013	0	060405HIP	20002	6014003	0	0
6014011	0	0	0	0	0	6014011	0	060402HIP	20002	6014002	0	0
6014030	0	0	0	0	0	6014030	0	060402HIP	M001000	6014031	0	1
6014034	0	0	0	0	0	6014034	0	060402HIP	M001000	6014032	0	1
6014033	3	9	6002117	0	5	6014034	0	060402HIP	M001000	6014030	0	0
6014031	0	0	0	0	8	26	0	060402HIP	M001000	0	0	0
6014032	0	0	0	0	8	27	0	060402HIP	M001000	0	0	0
7000021	0	0	0	0	0	7000021	0	060434HIP	M000300	0	0	0
7000041	0	0	0	0	0	7000041	0	060434HIP	M000300	0	0	0
7000061	0	0	0	0	0	7000061	0	060434HIP	M000300	0	0	1
7000067	0	0	0	0	0	7000067	0	060434HIP	M000300	0	0	1
7000068	0	0	0	0	0	7000068	0	060434HIP	M000300	0	0	0
7000081	0	0	0	0	0	7000081	0	060434HIP	M000300	0	0	0
7000101	0	0	0	0	0	7000101	0	060434HIP	M000300	0	0	0
7000121	0	0	0	0	0	7000121	0	060434HIP	M000300	0	0	0
7000141	0	0	0	0	0	7000141	0	060434HIP	M000300	0	0	1
7000147	0	0	0	0	0	7000147	0	060434HIP	M000300	0	0	1
7000148	0	0	0	0	0	7000148	0	060434HIP	M000300	0	0	0
7000161	0	0	0	0	0	7000161	0	060434HIP	M000300	0	0	0
7000166	0	0	0	0	0	7000166	0	060434HIP	M000300	0	0	1
7000167	0	0	0	0	0	7000167	0	060434HIP	M000300	0	0	0
7000181	0	0	0	0	0	7000181	0	060434HIP	M000300	0	0	1
7000187	0	0	0	0	0	7000187	0	060434HIP	M000300	0	0	1
7000188	0	0	0	0	0	7000188	0	060434HIP	M000300	0	0	0
7000361	0	0	0	0	0	7000361	0	060434HIP	M000300	0	0	0
7000301	7	9,8	7000061,5	0,5	0	7000301	DevelopBtn_55	060434HIP	M000300	0	0	1
7000311	7	9,8	7000141,1	0,1	0	7000311	DevelopBtn_55	060434HIP	M000300	0	0	1
7000321	7	9,8	7000181,3	0,3	0	7000321	DevelopBtn_55	060434HIP	M000300	0	0	1
7100001	0	0	0	0	0	7100001	0	060426HIP	10153	0	0	0
7100011	0	0	0	0	0	7100011	0	060426HIP	10153	0	0	0
7100021	0	0	0	0	0	7100021	0	060426HIP	10153	0	0	0
7100031	0	0	0	0	0	7100031	0	060426HIP	10153	0	0	0
7100041	0	0	0	0	0	7100041	0	060426HIP	10153	0	0	0
7100051	0	0	0	0	0	7100051	0	060426HIP	10153	0	0	0
7100061	0	0	0	0	0	7100061	0	060426HIP	10153	0	0	0
7100071	0	0	0	0	0	7100071	0	060426HIP	10153	0	0	0
7100081	0	0	0	0	0	7100081	0	060426HIP	10153	0	0	0
7100091	0	0	0	0	0	7100091	0	060426HIP	10153	0	0	0
7100101	0	0	0	0	0	7100101	0	060426HIP	10153	0	0	0
7100111	0	0	0	0	0	7100111	0	060426HIP	10153	0	0	0
7100121	0	0	0	0	0	7100121	0	060426HIP	10153	0	0	0
7100151	0	0	0	0	0	7100151	0	060426HIP	10153	0	0	1
7100161	0	0	0	0	0	7100161	0	060426HIP	10153	0	0	0
7100171	0	0	0	0	0	7100171	0	060426HIP	10153	0	0	1
7100201	0	0	0	0	0	7100201	0	060426HIP	10153	0	0	0
7100202	0	0	0	0	0	7100202	0	060426HIP	10153	0	0	0
7100203	0	0	0	0	0	7100203	0	060426HIP	10153	7100151	0	0
7100211	0	0	0	0	0	7100211	0	060426HIP	10153	0	0	0
7100212	0	0	0	0	0	7100212	0	060426HIP	10153	0	0	0
7100221	0	0	0	0	0	7100221	0	060426HIP	10153	0	0	0
7100222	0	0	0	0	0	7100222	0	060426HIP	10153	0	0	0
7100231	0	0	0	0	0	7100231	0	060426HIP	10153	0	0	0
7100232	0	0	0	0	0	7100232	0	060426HIP	10153	0	0	0
7100241	0	0	0	0	0	7100241	0	060426HIP	10153	0	0	0
7100242	0	0	0	0	0	7100242	0	060426HIP	10153	0	0	0
7100243	0	0	0	0	0	7100243	0	060426HIP	10153	7100161	0	0
7100251	0	0	0	0	0	7100251	0	060426HIP	10153	0	0	0
7100252	0	0	0	0	0	7100252	0	060426HIP	10153	0	0	0
7100261	0	0	0	0	0	7100261	0	060426HIP	10153	0	0	0
7100262	0	0	0	0	0	7100262	0	060426HIP	10153	0	0	0
7100271	0	0	0	0	0	7100271	0	060426HIP	10153	0	0	0
7100272	0	0	0	0	0	7100272	0	060426HIP	10153	0	0	0
7100281	0	0	0	0	0	7100281	0	060426HIP	10153	0	0	0
7100282	0	0	0	0	0	7100282	0	060426HIP	10153	0	0	0
7100291	0	0	0	0	0	7100291	0	060426HIP	10153	0	0	0
7100292	0	0	0	0	0	7100292	0	060426HIP	10153	0	0	0
7100301	0	0	0	0	0	7100301	0	060426HIP	10153	0	0	0
7100302	0	0	0	0	0	7100302	0	060426HIP	10153	0	0	0
7100311	0	0	0	0	0	7100311	0	060426HIP	10153	0	0	0
7100312	0	0	0	0	0	7100312	0	060426HIP	10153	0	0	0
7100401	0	6	1	40	0	7100401	0	060426HIP	10153		0	0
7100411	0	6	1	60	0	7100411	0	060426HIP	10153		0	0
7100421	0	6	1	80	0	7100421	0	060426HIP	10153	0	0	0
7100425	0	0	0	0	0	7100425	0	060426HIP	10153	0	0	0
7400001	0	0	0	0	0	7400001	0	060426HIP	10153	7400002	0	0
7400002	0	0	0	0	0	7400002	0	060426HIP	10153	7400201	0	0
7400003	0	0	0	0	0	7400003	0	060426HIP	10153	0	0	1
7400004	0	0	0	0	0	7400004	0	060426HIP	10153	0	0	0
7400005	0	0	0	0	0	7400005	0	060426HIP	10153	7400201	0	0
7400011	0	0	0	0	0	7400011	0	060426HIP	10153	7400211	0	0
7400012	0	0	0	0	0	7400012	0	060426HIP	10153	0	0	1
7400013	0	0	0	0	0	7400013	0	060426HIP	10153	0	0	0
7400021	0	0	0	0	0	7400021	0	060426HIP	10153	7400221	0	0
7400022	0	0	0	0	0	7400022	0	060426HIP	10153	0	0	1
7400023	0	0	0	0	0	7400023	0	060426HIP	10153	0	0	0
7400031	0	0	0	0	0	7400031	0	060426HIP	10153	7400251	0	0
7400032	0	0	0	0	0	7400032	0	060426HIP	10153	0	0	1
7400033	0	0	0	0	0	7400033	0	060426HIP	10153	0	0	0
7400041	0	0	0	0	0	7400041	0	060426HIP	10153	7400261	0	0
7400042	0	0	0	0	0	7400042	0	060426HIP	10153	0	0	1
7400043	0	0	0	0	0	7400043	0	060426HIP	10153	0	0	0
7400051	0	0	0	0	0	7400051	0	060426HIP	10153	7400271	0	0
7400052	0	0	0	0	0	7400052	0	060426HIP	10153	0	0	1
7400053	0	0	0	0	0	7400053	0	060426HIP	10153	0	0	0
7400061	0	0	0	0	0	7400061	0	060426HIP	10153	7400301	0	0
7400062	0	0	0	0	0	7400062	0	060426HIP	10153	0	0	1
7400063	0	0	0	0	0	7400063	0	060426HIP	10153	0	0	0
7400071	0	0	0	0	0	7400071	0	060426HIP	10153	7400311	0	0
7400072	0	0	0	0	0	7400072	0	060426HIP	10153	0	0	1
7400073	0	0	0	0	0	7400073	0	060426HIP	10153	0	0	0
7400081	0	0	0	0	0	7400081	0	060426HIP	10153	7400321	0	0
7400082	0	0	0	0	0	7400082	0	060426HIP	10153	0	0	1
7400083	0	0	0	0	0	7400083	0	060426HIP	10153	0	0	0
7400091	0	0	0	0	0	7400091	0	060426HIP	10153	7400331	0	0
7400092	0	0	0	0	0	7400092	0	060426HIP	10153	0	0	1
7400093	0	0	0	0	0	7400093	0	060426HIP	10153	0	0	0
7400101	0	0	0	0	0	7400101	0	060426HIP	10153	7400341	0	0
7400102	0	0	0	0	0	7400102	0	060426HIP	10153	7400341	0	0
7400103	0	0	0	0	0	7400103	0	060426HIP	10153	7400341	0	0
7400201	0	0	7400003	7400004	1	0	0	0	0	0	0	0
7400211	0	0	7400012	7400013	1	1	0	0	0	0	0	0
7400221	0	0	7400022	7400023	1	2	0	0	0	0	0	0
7400251	0	0	7400032	7400033	1	3	0	0	0	0	0	0
7400261	0	0	7400042	7400043	1	4	0	0	0	0	0	0
7400271	0	0	7400052	7400053	1	5	0	0	0	0	0	0
7400301	0	0	7400062	7400063	1	6	0	0	0	0	0	0
7400311	0	0	7400072	7400073	1	7	0	0	0	0	0	0
7400321	0	0	7400082	7400083	1	8	0	0	0	0	0	0
7400331	0	0	7400092	7400093	1	9	0	0	0	0	0	0
7400341	0	0	7400102	7400103	1	9	0	0	0	0	0	0
7700001	0	0	0	0	0	7700001	0	060426HIP	10153	7700101	0	1
7700101	0	0	7700201	7700301	9	1	0	0	0	0	0	0
7700002	0	0	0	0	0	7700002	0	060426HIP	10153	7700101	0	0
7700201	0	0	0	0	0	7700201	0	060426HIP	10153	0	0	0
7700301	0	0	0	0	0	7700301	0	060426HIP	10153	0	0	0
7700401	7	2,9	100026,7700001	100,0	0	7700401	0	060426HIP	10153	0	0	1
9990001	0	0	0	0	99	Bird	0	DM99999	0	0	0	0
8200001	0	0	0	0	0	8200001	DevelopBtn_52	060405HIP	10153	0	0	0
8200011	0	0	0	0	0	8200011	DevelopBtn_49	060427HIP	10153	0	0	0
8200016	0	0	0	0	0	8200016	DevelopBtn_49	060427HIP	10153	0	0	0
8200021	0	0	0	0	0	8200021	DevelopBtn_48	060423HIP	10153	0	0	0
8200026	0	0	0	0	0	8200026	DevelopBtn_48	060423HIP	10153	0	0	0
