#iID	xUse	sString
100162	通用字符串	第二年
100163	通用字符串	第三年
100164	通用字符串	第四年
100165	通用字符串	第五年
100166	通用字符串	第六年
100167	友好度文字显示	素昧平生
100168	友好度文字显示	点头之交
100169	友好度文字显示	泛泛之交
100170	友好度文字显示	道义之交
100171	友好度文字显示	君子之交
100172	友好度文字显示	莫逆之交
100173	友好度文字显示	生死之交
100181	友好度文字显示	尚未获得
100191	通用字符串	商店
100201	游戏选单字符串	初入武林
100202	游戏选单字符串	再战江湖
100203	游戏选单字符串	归隐山林
100204	游戏选单字符串	丰功伟业
100205	游戏选单字符串	往事如烟
100206	游戏选单字符串	姓跟名各自最多两个字.全名最多四个字
100207	游戏选单字符串	按下空格键以随机选择属性数值
100208	游戏选单字符串	天赋
100209	游戏选单字符串	请选择角色
100210	游戏选单字符串	创建角色
100211	游戏选单字符串	东方
100212	游戏选单字符串	未明
100213	游戏选单字符串	选择游戏存盘
100214	游戏选单字符串	游戏进度
100215	游戏选单字符串	自动存盘
100216	游戏选单字符串	已达成
100217	游戏选单字符串	离开
100218	游戏选单字符串	吱喳呱吱
100219	游戏选单字符串	初出茅庐
100220	游戏选单字符串	炉火纯青
100221	游戏选单字符串	一代宗师
100222	游戏选单字符串	难度选择
100223	游戏选单字符串	加载进度
100224	游戏选单字符串	人物状态
100225	游戏选单字符串	回主选单
100226	游戏选单字符串	继续游戏
100227	游戏选单字符串	系统设定
100228	游戏选单字符串	储存进度
100229	游戏选单字符串	垂直同步
100230	游戏选单字符串	开启
100231	游戏选单字符串	色调映像
100232	游戏选单字符串	贴图质量
100233	游戏选单字符串	低
100234	游戏选单字符串	中
100235	游戏选单字符串	高
100236	游戏选单字符串	环境光遮蔽
100237	游戏选单字符串	贴图质量
100238	游戏选单字符串	全屏幕
100239	游戏选单字符串	音效音量
100240	游戏选单字符串	阴影
100241	游戏选单字符串	影子距离
100242	游戏选单字符串	影子质量
100243	游戏选单字符串	分辨率
100244	游戏选单字符串	对象数量
100245	游戏选单字符串	音乐音量
100246	游戏选单字符串	快速选择
100247	游戏选单字符串	自定义
100248	游戏选单字符串	反锯齿
100249	通用字符串	一月
100250	通用字符串	二月
100251	通用字符串	三月
100252	通用字符串	四月
100253	通用字符串	五月
100254	通用字符串	六月
100255	通用字符串	七月
100256	通用字符串	八月
100257	通用字符串	九月
100258	通用字符串	十月
100259	通用字符串	十一月
100260	通用字符串	十二月
100301	驿站字符串	送礼
100302	驿站字符串	寄信
100303	驿站字符串	点选此处
100304	驿站字符串	选择礼物
100305	驿站字符串	由左列选择侠客
100306	驿站字符串	送信可增加好感度十送对礼物可增加好感
100401	商店界面	买
100402	商店界面	卖
100403	商店界面	数量
100404	商店界面	剩余数量
100405	商店接口	名称/价格
100406	商店界面	钱
100407	商店界面	总计
100408	商店界面	持有
100501	状态界面	︻娱　乐︼
100502	状态界面	︻不分类︼
100503	状态界面	︻装　备︼
100504	状态界面	︻食　物︼
100505	状态界面	︻杂　货︼
100506	状态界面	︻材　料︼
100507	状态界面	︻挖 矿︼
100508	状态界面	︻打 猎︼
100509	状态界面	︻钓 鱼︼
100510	状态界面	︻采 药︼
100511	状态界面	︻炼 丹︼
100512	状态界面	︻打 铁︼
100513	状态界面	︻鉴 定︼
100514	状态界面	︻厨 艺︼
100515	状态界面	︻乐 理︼
100516	状态界面	︻棋 艺︼
100517	状态界面	︻毒 术︼
100518	状态界面	︻医 术︼
100519	状态界面	︻绘 画︼
100520	状态界面	︻书 法︼
100521	状态界面	︻酒 艺︼
100522	状态界面	︻花 卉︼
100523	状态界面	︻茶 道︼
100524	状态界面	︻心 法︼
100525	状态界面	︻拳 掌︼
100526	状态界面	︻指 爪︼
100527	状态界面	︻腿 法︼
100528	状态界面	︻剑 法︼
100529	状态界面	︻刀 法︼
100530	状态界面	︻棍 法︼
100531	状态界面	︻短 柄︼
100532	状态界面	︻暗 器︼
100533	状态界面	︻琴 功︼
100534	状态界面	︻双 武︼
110001	实战TIP	影响伤害
110002	武学TIP	影响练功获得经验及伤害
110003	道德TIP	人格善恶值
110004	名声TIP	江湖名声
110005	悟性TIP	影响练功获得经验
110006	眼功TIP	影响爆击率
110007	耳功TIP	影响闪避率
110008	软功TIP	影响反击率
110009	硬功TIP	影响减伤
110010	轻功TIP	影响移动格数
110011	拳掌	拳掌类功夫学习条件
110012	指爪	指爪类功夫学习条件
110013	腿法	腿法类功夫学习条件
110014	剑法	剑法类功夫学习条件
110015	刀法	刀法类功夫学习条件
110016	棍法	棍法类功夫学习条件
110017	短柄	短柄类功夫学习条件
110018	软索	软索类功夫学习条件
110019	暗器	暗器类功夫学习条件
110020	琴功	琴功类功夫学习条件
120001	眼功	影响爆击率
120002	耳功	影响闪避率
120003	软功	影响反击率
120004	硬功	增加防御力
120005	轻功	影响战斗时移动格数
120006	内功	修炼高深心法的条件
120007	攻击力	增加伤害
120008	防御力	减少受到的伤害
120009	时间	此项已有描述
120011	竹简	可查看人物属性
120012	功体名	（应该显示目前功体的作用，由程序判读）
120013	功体	点击可装备功体
120014	武器	右键点击可装备武器
120015	护甲	右键点击可装备护甲
120016	饰品	右键点击可装备饰品
120017	技艺书	点击可切换成技艺书
120018	武学书	点击可切换成武学书
120019	上一页	上一页
120020	下一页	下一页
120021	心情	人物当前心情状态
120022	名字	名字
120023	称号	目前新获取的江湖称号
120024	体力	体力剩余值
120025	属性 (竹简)	可查看人物属性
120026	系统 (齿轮)	游戏系统设定
120027	打杂	提升同门人物的友好度
120028	基本功	提升内力、气血与五大基础能力
120029	招式	提升武功套路等级
120030	技能	进行小游戏以获得材料或产出道具
120031	艺能	触发琴棋书画等艺能类任务
120032	休息	恢复体力并使心情好转
120033	驿站	写信或送礼物给朋友
120034	闲逛	四处散步触发随机事件
120035	眼功	提升爆击率
120036	耳功	提升闪避率
120037	软功	提升基本攻击力与反击率
120038	硬功	提升基本防御力与减伤率
120039	轻功	提升战斗时的移动格数
120040	内功	提升气血与内力上限
120041	返回	回到上一页
120042	攻击力	攻击力
130001	门派名称	游侠
130002	门派名称	天龙教
130003	门派名称	逍遥谷
130004	门派名称	武当派
130005	门派名称	少林寺
130006	门派名称	修罗宫
130007	门派名称	兽王庄
130008	门派名称	霹雳堂
130009	门派名称	毒龙教
130010	门派名称	野球门
130011	门派名称	天意城
130012	门派名称	朝廷
130013	门派名称	天剑门
130014	门派名称	长虹镖局
130015	门派名称	唐门
130016	门派名称	绝刀门
130017	门派名称	八卦门
130018	门派名称	百草门
130019	门派名称	铸剑山庄
130020	门派名称	丐帮
130021	门派名称	东厂
130022	门派名称	天山派
130023	门派名称	青城派
130024	门派名称	华山派
130025	门派名称	海鲨帮
130026	门派名称	东瀛
130027	门派名称	金风镖局
130028	门派名称	黑风寨
130029	门派名称	大轮寺
130030	门派名称	忘忧谷
140001	成就系统字符串	武林通鉴
140002	成就系统字符串	侠客风云
140003	成就系统字符串	江湖历练
150001	时辰字符串	子时
150002	时辰字符串	丑时
150003	时辰字符串	寅时
150004	时辰字符串	卯时
150005	时辰字符串	辰时
150006	时辰字符串	己时
150007	时辰字符串	午时
150008	时辰字符串	未时
150009	时辰字符串	申时
150010	时辰字符串	酉时
150011	时辰字符串	戌时
150012	时辰字符串	亥时
160001	替代字符串	武林至尊
160002	替代字符串	宝刀屠龙
160003	替代字符串	侠客风云
160004	替代字符串	谁与争锋
160005	替代字符串	准备好了就让我们来大展身手
200001	提示讯息	还得要休息1回合！
200003	提示讯息	你的体力增加了！
200004	提示讯息	游戏结束，请点左键离开！
200005	提示讯息	{0}对你好感增加了{1}点！
200006	提示讯息	打杂已开放！
200007	提示讯息	基本功已开放！
200008	提示讯息	武艺已开放！
200009	提示讯息	技能已开放！
200010	提示讯息	艺能已开放！
200011	提示讯息	你的实战增加了{0}点！
200012	提示讯息	你的武学增加了{0}点！
200013	提示讯息	你的道德增加了{0}点！
200014	提示讯息	你的名声增加了{0}点！
200015	提示讯息	你的悟性增加了{0}点！
200016	提示讯息	你的眼功增加了{0}点经验！
200017	提示讯息	你的耳功增加了{0}点经验！
200018	提示讯息	你的软功增加了{0}点经验！
200019	提示讯息	你的硬功增加了{0}点经验！
200020	提示讯息	你的轻功增加了{0}点经验！
200021	提示讯息	你的内功增加了{0}点经验！
200022	提示讯息	你的拳掌增加了{0}点经验！
200023	提示讯息	你的指爪增加了{0}点经验！
200024	提示讯息	你的腿法增加了{0}点经验！
200025	提示讯息	你的剑法增加了{0}点经验！
200026	提示讯息	你的刀法增加了{0}点经验！
200027	提示讯息	你的棍法增加了{0}点经验！
200028	提示讯息	你的短柄增加了{0}点经验！
200029	提示讯息	你的琴功增加了{0}点经验！
200030	提示讯息	你的暗器增加了{0}点经验！
200031	提示讯息	你的花卉艺能熟练增加了{0}点！
200032	提示讯息	你的挖矿技能熟练增加了{0}点！
200033	提示讯息	你的打猎技能熟练增加了{0}点！
200034	提示讯息	你的钓鱼技能熟练增加了{0}点！
200035	提示讯息	你的采药技能熟练增加了{0}点！
200036	提示讯息	你的炼丹技能熟练增加了{0}点！
200037	提示讯息	你的打铁技能熟练增加了{0}点！
200038	提示讯息	你的鉴定技能熟练增加了{0}点！
200039	提示讯息	你的捉毒技能熟练增加了{0}点！
200040	提示讯息	你的乐理艺能熟练增加了{0}点！
200041	提示讯息	你的棋艺艺能熟练增加了{0}点！
200042	提示讯息	你的毒术艺能熟练增加了{0}点！
200043	提示讯息	你的医术艺能熟练增加了{0}点！
200044	提示讯息	你的绘画艺能熟练增加了{0}点！
200045	提示讯息	你的书法艺能熟练增加了{0}点！
200046	提示讯息	你的厨艺技能熟练增加了{0}点！
200047	提示讯息	你的茶道艺能熟练增加了{0}点！
200048	提示讯息	所需体力不足！
200049	提示讯息	尚需冷却时间
200050	提示讯息	所需道具不足！
200051	提示讯息	[FFFF00]点「休息」按钮可以回复体力！[-]
200052	提示讯息	所有人的好感度增加了{0}点！
200053	提示讯息	你的体力减少了！
200054	提示讯息	获得{0}
200055	提示讯息	你的道德减少了{0}点！
200056	提示讯息	你的名声减少了{0}点！
200057	提示讯息	你的悟性减少了{0}点！
200058	提示讯息	你的眼功减少了{0}点经验！
200059	提示讯息	你的耳功减少了{0}点经验！
200060	提示讯息	你的软功减少了{0}点经验！
200061	提示讯息	你的硬功减少了{0}点经验！
200062	提示讯息	你的轻功减少了{0}点经验！
200064	提示讯息	{0}对你好感减少了！
200065	提示讯息	所有人对你的好感度减少了！
200066	提示讯息	[FFFF00]再来接做点什么呢…[-]
200067	提示讯息	获得{0}钱！
200068	提示讯息	减少{0}钱！
200069	提示讯息	获得新的技艺书内容！
200070	提示讯息	失去了{0}！
200071	提示讯息	你的乐理艺能熟练减少了{0}点！
200072	提示讯息	你的棋艺艺能熟练减少了{0}点！
200073	提示讯息	你的毒术艺能熟练减少了{0}点！
200074	提示讯息	你的医术艺能熟练减少了{0}点！
200075	提示讯息	你的绘画艺能熟练减少了{0}点！
200076	提示讯息	你的书法艺能熟练减少了{0}点！
200077	提示讯息	你的厨艺技能熟练减少了{0}点！
200078	提示讯息	你的茶道艺能熟练减少了{0}点！
200081	提示讯息	金钱不足！
200082	提示讯息	你的内功熟练增加{0}点！
200083	提示讯息	习得新的心法！
200084	提示讯息	获得新的技艺书内容！
200085	提示讯息	体力消耗：
200086	提示讯息	你的酒艺艺能熟练增加了{0}点！
200087	提示讯息	你的体力增加了{0}点！
200088	提示讯息	你的体力减少了{0}点！
200089	提示讯息	你的攻击力增加了{0}点！
200090	提示讯息	你的防御力增加了{0}点！
200091	提示讯息	开启了新经历！
200092	提示讯息	你的鉴定技能不足！
200093	提示讯息	你使用了{0}
200094	提示讯息	你装备了{0}
200095	提示讯息	使用时机错误
200096	提示讯息	你答对了{0}题！
200097	提示讯息	你的气血提升了{0}点！
200098	提示讯息	你的内力提升了{0}点！
200099	提示讯息	太好了，心情变好了～
200100	提示讯息	唉，心情变糟了～
200101	提示讯息	气血内力所有属性提升！
200102	提示讯息	气血内力所有属性下降！
200103	提示讯息	你的套路熟练增加{0}点！
200104	提示讯息	心法等级已到达十重！
200105	提示讯息	你的双武增加了{0}点经验！
210001	提示讯息	打到正确的会拿到矿石，打到错误的会倒扣时间。
210002	提示讯息	技能已经修练完成！
210011	提示讯息	熟练度不足！
210012	提示讯息	材料不足！
210013	提示讯息	恭喜获得新称号！
210014	提示讯息	请确定是否覆盖存档？
210015	提示讯息	所需的工具不足！
210016	提示讯息	该地点似乎没有甚么特殊事件！
210017	提示讯息	解锁失败
210018	提示讯息	解锁成功
210019	提示讯息	{0}加入队伍
210020	提示讯息	条件不足，无法使用
210021	提示讯息	确定是否离开游戏？
210022	提示讯息	你的武功排名在百名之外，请继续加油
210023	提示讯息	你的武功排名是第{0}名，排名在你前面的是{1}
210024	提示讯息	你已经是武功天下第一
210025	提示讯息	队伍成员已满，无法加入！
210026	提示讯息	{0}离开队伍
210027	提示讯息	说服怪医的同伴又多了一人
210028	提示讯息	成功点燃烟火通知任天翔
210029	提示讯息	你的钱财被洗掠一空
260001	战斗用提示讯息	{0}获得了{1}状态
260002	战斗用提示讯息	{0}解除了{1}状态
260003	战斗用提示讯息	恢复了{0}点气血
260004	战斗用提示讯息	恢复了{0}点内力
260005	战斗用提示讯息	{0}败阵！
260006	战斗用提示讯息	{0}加入战局，成为我方强援！
260007	战斗用提示讯息	{0}加入战局，成为我方大敌！
260008	战斗用提示讯息	{0} 对 {1} 使出 {2} , {3} 保护 {1} , {3} 受到 {4} 伤害
260009	战斗用提示讯息	{0} 对 {1} 使出 {2} , {3} 保护 {1} , {3} 受到 {4} 爆击伤害
260010	战斗用提示讯息	{0} 得到了 {1} 反弹伤害
261001	战斗用界面 UnitInfo	气血值
261002	战斗用界面 UnitInfo	内力值
261003	战斗用界面 UnitInfo	伤害加成
261004	战斗用界面 UnitInfo	命中率
261005	战斗用界面 UnitInfo	暴击率
261006	战斗用界面 UnitInfo	攻击
261007	战斗用界面 UnitInfo	防御
261008	战斗用界面 UnitInfo	防御力
261009	战斗用界面 UnitInfo	闪避率
261010	战斗用界面 UnitInfo	防御暴击
261011	战斗用界面 UnitInfo	反击率
261012	战斗用界面 UnitInfo	其它
261013	战斗用接口 UnitInfo	移动距离
261014	战斗用界面 UnitInfo	防御反击
261015	战斗用界面 UnitInfo	功体
262000	战斗用界面 UnitInfo	伤害免役
262001	战斗用界面 UnitInfo	专注
262002	战斗用界面 UnitInfo	聚气
262003	战斗用接口 UnitInfo	最大伤害
262004	战斗用界面 UnitInfo	全力防御
262005	战斗用界面 UnitInfo	必定反击
262006	战斗用界面 UnitInfo	必定闪避
262007	战斗用界面 UnitInfo	必定爆击
262008	战斗用界面 UnitInfo	必定命中
262009	战斗用接口 UnitInfo	无限距离移动
262010	战斗用界面 UnitInfo	易筋经
262011	战斗用接口 UnitInfo	无限移动次数
262012	战斗用界面 UnitInfo	无限攻击次数
262013	战斗用界面 UnitInfo	加倍爆击机率
262014	战斗用界面 UnitInfo	左右互搏
262015	战斗用界面 UnitInfo	伤害反弹
262016	战斗用界面 UnitInfo	内力盾
262017	战斗用界面 UnitInfo	吸气血
262018	战斗用界面 UnitInfo	吸内力
262019	战斗用接口 UnitInfo	距离
262020	战斗用界面 UnitInfo	去除
262021	战斗用界面 UnitInfo	牵制
262022	战斗用界面 UnitInfo	轻功
262023	战斗用界面 UnitInfo	连杀
262024	战斗用界面 UnitInfo	敌方无法爆击
262025	战斗用界面 UnitInfo	敌方无法反击
262026	战斗用接口 UnitInfo	保护
262027	战斗用界面 UnitInfo	击退
262028	战斗用界面 UnitInfo	拉近敌人
262029	战斗用界面 UnitInfo	无限反击次数
263000	战斗用界面 UnitInfo	伤害免役
263001	战斗用界面 UnitInfo	专注
263002	战斗用界面 UnitInfo	聚气
263003	战斗用接口 UnitInfo	最大伤害
263004	战斗用界面 UnitInfo	全力防御
263005	战斗用界面 UnitInfo	无法反击
263006	战斗用界面 UnitInfo	无法闪避
263007	战斗用界面 UnitInfo	无法爆击
263008	战斗用界面 UnitInfo	无法命中
263009	战斗用接口 UnitInfo	无限距离移动
263010	战斗用界面 UnitInfo	易筋经
263011	战斗用接口 UnitInfo	无限移动次数
263012	战斗用界面 UnitInfo	无限攻击次数
263013	战斗用界面 UnitInfo	加倍爆击机率
263014	战斗用界面 UnitInfo	左右互搏
263015	战斗用界面 UnitInfo	伤害反弹
263016	战斗用界面 UnitInfo	内力盾
263017	战斗用界面 UnitInfo	吸气血
263018	战斗用界面 UnitInfo	吸内力
263019	战斗用接口 UnitInfo	距离
263020	战斗用界面 UnitInfo	去除
263021	战斗用界面 UnitInfo	牵制
263022	战斗用界面 UnitInfo	轻功
263023	战斗用界面 UnitInfo	连杀
263024	战斗用界面 UnitInfo	必定被爆击
263025	战斗用界面 UnitInfo	必定被反击
263026	战斗用接口 UnitInfo	保护
263027	战斗用界面 UnitInfo	击退
263028	战斗用界面 UnitInfo	拉近敌人
263029	战斗用界面 UnitInfo	无限反击次数
263030	战斗用接口 UnitInfo	敌方目标
263031	战斗用接口 UnitInfo	友方目标
263032	战斗用接口 UnitInfo	双方目标
263033	战斗用界面 UnitInfo	空格
263034	战斗用接口 UnitInfo	所有目标与空格
263035	战斗用接口 UnitInfo	[FF3030]单体技[-]<br>距离{0}格内单一{1}
263036	战斗用接口 UnitInfo	[FF3030]范围技[-]<br>距离{0}格 溅射{1}格范围内 的 {2}
263037	战斗用界面 UnitInfo	[FF3030]范围技[-]<br>自身范围{0}格内的{1}
263038	战斗用界面 UnitInfo	[FF3030]直线[-]<br>直线{0}格范围内的{1}
263039	战斗用界面 UnitInfo	[FF3030]扇形[-]<br>扇形{0}格范围内的{1}
263040	战斗用界面 UnitInfo	[FF3030]大扇形[-]<br>扇形{0}格范围内的{1}
263041	战斗用界面 UnitInfo	无
263042	战斗用界面 UnitInfo	内力
263043	战斗用界面 UnitInfo	气血提升{0}点
263044	战斗用界面 UnitInfo	内力提升{0}点
263045	战斗用界面 UnitInfo	攻击力提升{0}点
263046	战斗用界面 UnitInfo	防御力提升{0}点
263051	战斗用界面 UnitInfo	角色已结束本回合
263052	战斗用接口 UnitInfo	招式已使用
263053	战斗用界面 UnitInfo	内力不足
263054	战斗用界面 UnitInfo	招式回复中
263055	战斗用界面 UnitInfo	被击晕中
263056	战斗用界面 UnitInfo	招式失效
263057	战斗用界面 UnitInfo	角色已结束本回合
263058	战斗用界面 UnitInfo	招式未习得
263059	战斗用界面 UnitInfo	无法攻击
263060	战斗用界面 UnitInfo	招式范围内无目标
263061	战斗用界面 UnitInfo	{0} 策略点
263062	战斗用界面 UnitInfo	[FF0000]{0}[-] 策略点
263063	战斗用界面 UnitInfo	策略点：{0}
263064	战斗用界面 UnitInfo	招式
270001	问答系统	正确答案是：
270002	问答系统	少侠答对了！
300001	打猎小游戏-UI显示文字	开始游戏
300002	打猎小游戏-UI显示文字	打猎技能：
300004	打猎小游戏-UI显示文字	弓箭威力：
300005	打猎小游戏-UI显示文字	尚余箭枝
300006	打猎小游戏-UI显示文字	野兔：{0}只
300007	打猎小游戏-UI显示文字	野鸡：{0}只
300008	打猎小游戏-UI显示文字	山鹿：{0}只
300009	打猎小游戏-UI显示文字	山猪：{0}只
300010	打猎小游戏-UI显示文字	野雁：{0}只
300011	打猎小游戏-UI显示文字	蟒蛇：{0}只
300012	打猎小游戏-UI显示文字	黑熊：{0}只
300013	打猎小游戏-UI显示文字	老虎：{0}只
300014	打猎小游戏-UI显示文字	雪貂：{0}只
300015	打猎小游戏-UI显示文字	兀鹰：{0}只
300016	打猎小游戏-UI显示文字	白虎：{0}只
300017	打猎小游戏-UI显示文字	白熊：{0}只
300018	打猎小游戏-UI显示文字	犀牛：{0}只
300019	打猎小游戏-提示讯息	体力会随时间消耗，当体力耗尽时，即为打猎结束！<br>受野兽攻击时也会耗损体力！
300020	打猎小游戏-提示讯息	重新选择弓
300022	打猎小游戏-提示讯息	攻击！
300023	打猎小游戏-提示讯息	你的箭支已用尽！
300024	打猎小游戏-提示讯息	请选择要使用的弓
300025	打猎小游戏-提示讯息	返回
300026	打猎小游戏-提示讯息	箭支
300027	打猎小游戏-提示讯息	分数
300028	打猎小游戏-提示讯息	打猎提升
300029	打猎小游戏-提示讯息	轻功经验提升
300051	拼图小游戏-UI显示文字	确定
300052	拼图小游戏-UI显示文字	退出
300053	拼图小游戏-UI显示文字	请使用鼠标左键来选择需移动的拼图
300054	拼图小游戏-UI显示文字	开始作答
300055	拼图小游戏-UI显示文字	游戏成功
300056	拼图小游戏-UI显示文字	游戏失败
300101	花卉小游戏-对话文字	浇水
300102	花卉小游戏-对话文字	除虫
300103	花卉小游戏-对话文字	施肥
300104	花卉小游戏-对话文字	唱歌
300106	花卉小游戏-对话文字	请选择要照顾的花卉：
300111	花卉小游戏-对话文字	牡丹花
300112	花卉小游戏-对话文字	菊花
300113	花卉小游戏-对话文字	山茶花
300114	花卉小游戏-对话文字	兰花
300115	花卉小游戏-对话文字	火凤凰
300116	花卉小游戏-对话文字	醉芙蓉
300121	花卉小游戏-对话文字	该从哪边开始好呢？
300122	花卉小游戏-对话文字	呵呵，看起来似乎好多了，对么？
300123	花卉小游戏-对话文字	啊！怎么越弄越糟糕了！
300124	花卉小游戏-对话文字	花卉提升
300125	花卉小游戏-对话文字	{0}提升
300126	花卉小游戏-对话文字	少侠身上没有任何花卉唷！
300127	花卉小游戏-对话文字	花卉照顾次数
300350	钓鱼小游戏	一、可用右键左右调整放杆位置。<br>二、选择好抛竿位置后，点抛竿，即可将钓线抛出，依照力道大小决定放杆远近。<br>三、等待鱼儿上钩后，需要左键控制钓线拉放，太快拉起会使鱼儿松脱。
300351	钓鱼小游戏	啊！钓到了！
300352	钓鱼小游戏	使用钓组：
300358	钓鱼小游戏	使用
300359	钓鱼小游戏	抛竿
300360	钓鱼小游戏	更换鱼饵
300363	钓鱼小游戏	使用鱼饵：
300371	钓鱼小游戏	选择使用的钓竿
300372	钓鱼小游戏	选择使用的鱼饵
300373	钓鱼小游戏	钓到{0}了！
300374	钓鱼小游戏	啊！鱼线断了！
300375	钓鱼小游戏	更换
300376	钓鱼小游戏	不同区域栖息着不同鱼种请再随意处按下左键抛竿进入捕捉画面后请观察鱼游动速度用左键拉线。
300377	钓鱼小游戏	钓鱼提升
300378	钓鱼小游戏	软功提升
300401	挖矿小游戏	挖矿技能：
300402	挖矿小游戏	铁矿
300403	挖矿小游戏	铜矿
300404	挖矿小游戏	黑晶矿
300405	挖矿小游戏	白晶矿
300406	挖矿小游戏	黄晶矿
300407	挖矿小游戏	红晶矿
300408	挖矿小游戏	蓝晶矿
300409	挖矿小游戏	绝龙骨
300410	挖矿小游戏	钛金属
300411	挖矿小游戏	箱子
300412	挖矿小游戏	一、不能攻击小地鼠，攻击到会扣除时间<br>二、需优先攻击毒蛇，否则被毒蛇攻击到会扣除时间
300413	挖矿小游戏	硬功提升
300414	挖矿小游戏	挖矿提升
300451	厨艺小游戏	太咸啦！
300452	厨艺小游戏	味道太重了啊～
300453	厨艺小游戏	好辣啊啊啊啊啊啊！！！
300454	厨艺小游戏	盐巴
300455	厨艺小游戏	海草粉
300456	厨艺小游戏	辣椒
300457	厨艺小游戏	空
300458	厨艺小游戏	确认各料理所需调味料数量后，用鼠标左键选勺子，在选调味料并放入料理；勺子间可互相盛装来做增减，选的勺子为空的状态时，可直接选新的勺子，在勺子接口上点鼠标右键可取消选择，在调味料接口按鼠标左键可放回勺子内的调味料。[FF0000]注意，要对照料理所需的数量放入，若超过则需整道料理重新制作。[-]
300459	厨艺小游戏	时间
300460	厨艺小游戏	勺子可互倒
300461	厨艺小游戏	开始
300462	厨艺小游戏	调味料
300463	厨艺小游戏	勺子
300464	厨艺小游戏	料理
300465	厨艺小游戏	厨艺提升
300466	厨艺小游戏	悟性提升
300467	厨艺小游戏	料理
300468	厨艺小游戏	料理
300601	打铁小游戏	请选择要锻造的装备
300602	打铁小游戏	在有效的移动次数内，利用箭头移动来将图标组合成九块相同颜色，即为成功。
300603	打铁小游戏	游戏说明：
