#iID	s3DModel	sMaxImage	sHalfImage	iFriendly	sNpcName	sIntroduction	iBattleClass	iStarClass	iGenderType	iMartialType	sTitle
100018	Xyg_Xuanmin	B100018	100018	0	玄冥子	曾经也是逍遥谷传人之一的无瑕子师弟，在无瑕子和萧潇之间有一段不为人知的纠葛。后叛离逍遥谷转投天龙教，为人阴险，善利用人性弱点作恶。习得百年前失传的「化功大法」，并善于用毒。	1	0	0	1	辣手毒心
100019	Xyg_Hu	B100019	100019	1	老胡	身世不详的逍遥谷老仆。有祖传冷月宝刀一把，在刀法造诣上极为深厚。擅长兵器铸造，平日负责谷内日常事务。。	1	0	0	2	逍遥忠仆
100020	Xyg_Xiao	0	0	0	萧潇	身世不详。与无瑕子，玄冥子之间，有着不为人知的纠葛。	1	0	1	21	白发魔女
100021	Xyg_wanglong	B100021	100021	1	王蓉	塞外好汉王虎之女，逍遥谷的小师妹。天资灵慧聪颖，娇美顽皮。精于厨艺，口才极好。	1	0	1	2	俏江南
100022	Etc_54jie	B100022	100022	0	贾云长	绰号「日月大刀」，以五岳四龙的名号闯荡江湖，是其成员之一。	1	0	0	0	日月大刀
100023	Etc_54lei	B100023	100023	0	雷震天	绰号「轰天槌」，以五岳四龙的名号闯荡江湖，是其成员之一。	1	0	0	0	轰天槌
100024	Etc_54zhao	B100024	100024	0	赵惊风	绰号「快捷一阵风」，以五岳四龙的名号闯荡江湖，是其成员之一。	1	0	0	0	快捷一阵风
100025	Etc_54sai	B100025	100025	0	赛飞鸿	五岳四龙之一，浑号「万夫莫敌」。	1	0	0	0	万夫莫敌
100026	Wyg_Wine	B100026	100026	1	醉仙	忘忧七贤之一，嗜酒如命，每逢酒中知己便不醉无休。忘忧谷内武功最高者，身负醉拳与醉棍的绝学，却绝不在人前显露。惟有能在划拳上赢得他心服口服，才有缘得见。	0	0	0	29	忘忧七贤
100027	Wyg_Chess	B100027	100027	1	橘叟	忘忧七贤之一，最擅棋艺。更能以棋子为暗器，施展「满天流星」「满天花雨」的绝技。	0	0	0	29	忘忧七贤
100028	Wyg_Doctor	B100028	100028	1	神医	忘忧七贤之一，沈湘芸之父，悬壶济世的名医，忘忧七贤中在江湖走动最多的一人。	0	0	0	29	忘忧七贤
100029	Wyg_Music	B100029	100029	1	仙音	忘忧七贤之一，精于音律。传说她所弹奏的乐曲有如天籁之音，能控制人的喜怒哀乐。	0	0	1	29	忘忧七贤
100030	Wyg_Book	B100030	100030	1	书生	忘忧七贤之一，落笔如神，行草隶篆皆有所长，能尽摹天下名帖。少年时也曾是江湖游侠，与丐帮长老李浩相交莫逆。	1	0	0	29	忘忧七贤
100031	Wyg_Paint	B100031	100031	1	丹青	忘忧七贤之一，画坛怪才，从天龙八部图中自创拳法「天龙八部功」。	1	0	0	29	忘忧七贤
100032	Wyg_Flower	B100032	100032	0	花翁	居住于洛阳城，热爱园艺的男子，自从见到任清璇以后，就为她的气质与美貌深深着迷，相信自己见到了传说中的「姚黄仙子」。看似平凡，其实是一位深藏不露的武林高人，懂得失传已久的「百花错拳」。	0	0	0	29	忘忧七贤
100033	Wyg_Poison	B100033	100033	1	沈澜	怪医之女，个性怪癖，最喜欢钻研毒术，隐居在谷外的大森林中。	1	0	1	0	怪医少女
100034	SwordHoly	B100034	100034	0	剑圣	被世人称为剑圣，真名已无人知晓。少年之时便已名震江湖，其剑法之精妙无人可及。因厌倦江湖纷争，于十年前隐居剑庐之中。	1	0	0	0	花仙
100035	Wyg_sheng	B100035	100035	1	沈湘芸	娴雅端秀，为忘忧谷神医之女。通灵体质，平素温和善良，有些小任性。但对厌恶的人事物毫不假以辞色。喜欢研究新的丹药，有收集伞的嗜好。	1	0	1	29	小医仙
100036	WD_Gushi	B100036	100036	1	古实	武当派古叶之子，为人正直憨厚。武功虽平平，不过生性不服输，苦干实练，有朝一日终可有所成，非常喜爱品茶。	1	0	0	3	以柔克刚
100037	WD_fang	B100037	100037	1	方云华	武当大弟子武学造诣乃当世众弟子之巅，其面容英俊，自称为风流剑客，除喜好女人，还爱好历代书法名家的作品	1	0	0	3	玉面侠剑
100038	WD_master	B100038	100038	0	卓人清	现任武当派掌门，武当派第二代首席大弟子。何秋娟的生父，曾与天山派掌门之妻易兰有过不为人知的交往。因方云华品性不端而担心武当派的未来，故有意将掌门之位传于为人淳厚的古实，却无意中埋下了武当派内乱的种子。	1	0	0	3	真武道人
100039	WD_wife	B100039	100039	0	卓夫人	卓人清之妻。	0	0	1	3	修真玉女
100040	WD_guya	B100040	100040	0	古叶	与卓人清、庄人骏并称武当三圣。于太极拳的造诣极高。	0	0	0	3	虚谷道人
100041	WD_older	B100041	100041	0	庄人骏	与卓人清、古叶并称武当三圣。于太极剑的造诣极高。	1	0	0	3	清音道人
100042	WD_pupil	B100042	100042	0	武当弟子	武当弟子	1	0	0	3	武当弟子
100043	SL_Xue	B100043	100043	1	虚真	此人法号虚字辈，却乃少林寺惠能大师之徒，亦为少林方丈之师弟，悟性高且佛缘深。究其佛缘，皆因五年之前被新娘逃婚，大喜之日他本羞愤欲死，幸得慧能大师开悟并传其降魔棍法。	1	0	0	4	伏虎罗汉
100044	SL_master01	B100044	100044	0	无因方丈	现任少林寺方丈。十年前曾携手武林正道击败天龙教，囚禁历苍天于少林寺。然而令其没想到的是，历苍天之后的继任者龙王，比其兄更为可怕，天龙教不仅没有没落，反而日益壮大。	1	0	0	4	少林三神僧
100045	SL_Wuse	B100045	100045	0	无色	少林般若堂首座，对本门七十二绝艺有着极深厚的浸淫，号称少林武痴。统管少林十八铜人。	1	0	0	4	少林三神僧
100046	SL_Wuhei	B100046	100046	0	无慧	少林罗汉堂首座。	1	0	0	4	少林三神僧
100047	SL_Wucheng	B100047	100047	0	无嗔	少林寺方丈无因之下的达摩堂首座第一高手，叛僧无戒的亲兄弟。因对无戒叛出少林之事一直耿耿于怀，所以誓要要将其捉回少林寺。	1	0	0	4	降龙罗汉
100048	SL_Wujie	B100048	100048	0	无戒	少林达摩堂武僧，盗取藏经阁至宝，成为少林叛徒。为逃避少林追杀，隐姓埋名躲在洛阳。常常出没于洛阳赌坊的地下拳市，靠打黑市拳赚钱挥霍。	1	0	0	4	不戒恶僧
100049	SL_Pupil	B100049	100049	0	少林门人	少林弟子	1	0	0	4	少林门人
100050	SL_Pupil02	B100049	100049	0	少林门人	少林弟子	1	0	0	4	少林门人
100051	Golden18_blade	B100050	100050	0	十八铜人	十八铜人	1	0	0	4	金身罗汉
100052	Golden18_staff	B100050	100050	0	十八铜人	十八铜人	1	0	0	4	金身罗汉
100053	Golden18_cuff	B100050	100050	0	十八铜人	十八铜人	1	0	0	4	金身罗汉
100054	XL_ren	B100054	100054	1	任清璇	因喜欢花，家中有各种珍品花卉，身上会带有花的清香。其心地纯洁，纯真温婉平日长居家中，很少出门不喜欢与人亲近。同时带有神秘的身世。	1	0	1	5	姚黄仙子
100055	Lier_zhao	B100055	100055	1	赵雅儿	小名紫衣，外表清纯美丽，看似柔弱婉约，其实是诈骗集团中人。因自幼长于满是骗徒的奸狡环境中，而养成多疑，敏感，善于伪装的性格。倾慕强大的男性，对于信任的人也会以真心相待。	1	0	1	0	江湖游侠
100056	Hunter_ziwen	B100056	100056	1	纪玟	及具个性，红色发色，端庄的容颜，作为兽王庄的四庄主，从小都是由叔父万青山培养，野外生存能力强，对于兽类动物的捕捉与驯服颇有技巧。在他八岁时就已杀死巨鳄，并将巨鳄皮制成皮鞭。	1	0	1	6	河东狮
100057	Pili_red	B100057	100057	1	秦红殇	霹雳堂护法，一心想重振霹雳堂威名。看似高傲强悍，实则内心也有柔情似水的一面。	1	0	1	7	霹雳火
100058	DL_blue	B100058	100058	1	蓝婷	貌美如花，性格单纯，为人耿直，对于江南丝绸爱不释手，作为毒龙教最年轻的教主，拥有令人捉摸不透的心思，擅长用毒，下手狠辣坚决。	1	0	1	8	毒龙教主
100059	Etc_shiyan	B100059	100059	1	史燕	身世不详，有「盜墓燕」的江湖绰号。自幼便是孤儿，个性独立而古灵精怪。见钱眼开，喜好金饰一类的财宝古玩。	1	0	1	0	盗墓燕
100060	Fist_chili	B100060	100060	1	齐丽	野拳门门主齐老之独生女，娇俏而生性乖巧，爱吃酸甜的零嘴。平时随着齐老在街头卖艺，无意习武，一心只想做个普通的姑娘。	1	0	1	9	江湖游侠
100061	killer_snow	B100061	100061	1	风吹雪	天意城杀手，代号为「花」。为四大杀手之一「士」的徒弟。忠于组织，外冷内热；容貌秀美，气质孤傲。平日作男性打扮行动。师父「士」因任务失败而死，此后便一直等待着为师父复仇的机会。	1	0	1	10	天意之花
100062	killer_snow2	B100062	100062	1	风吹雪	谈吐优雅，风度翩翩的奇男子，拥有一张比女人还美的面孔。深谙酒道，喜酒具聊若指掌。	1	0	1	0	多情公子
100063	killer_black	B100063	100063	0	花	神秘的黑衣杀手，没有人知道其真实身分。	1	0	1	0	神秘杀手
100064	Fist_master	B100064	100064	0	齐老	野拳门门主，这世间唯一掌握野球拳精髓之人，却也是野拳门由盛而衰的直接见证。身患奇症而不能长时间习武，然而家境贫寒又请不起大夫，只得在洛阳定居，与女儿齐丽靠卖艺为生。	0	0	0	9	野拳门主
100065	Guanfu_Gan	B100065	100065	1	史刚	这位名捕名震中原，官至三品，更是获得皇帝亲自御赐「铁面无私」令牌，盗匪闻之撒腿就跑，多年前更是单枪匹马挑了土鼠寨上下二十几个土匪。据说这位大人颇为喜爱陶瓷艺品。	1	0	0	11	铁面无私
100066	Guanfu_shiyi	B100066	100066	1	史义	江湖好汉，十分豪爽。特别爱找宝藏，经常跟人说自己的祖上是九纹龙史进。	1	0	0	0	九头龙
100067	DL_yellow	B100067	100067	0	黄娟	毒龙教二教主，认为自己比教主蓝婷更有领导才能，千方百计想要坐上掌教之位。格言是「只有我，才能带领毒龙教走向辉煌！」	1	0	1	8	蛇蝎美人
100068	DL_pupil	B100068	100068	0	毒龙教众	毒龙教弟子	1	0	0	8	毒龙教众
100069	DL_pupil2	B100069	100069	0	毒龙教众	毒龙教弟子	1	0	0	0	毒龙教众
100070	Pili_pupil	B100070	100070	0	霹雳帮众	霹雳帮众	1	0	0	7	霹雳帮众
100071	Sword_master	B100071	100071	0	西门玄	天剑门门主，性情刚烈，从不服输，年轻时便不断于各路高人比试以期提高其武学造诣。中年时随已逐渐收敛，但遇到上门挑战之人依然来之不拒。与长虹镖局总镖头关长虹、河洛大侠江天雄并称为洛阳三杰。	1	0	0	12	一剑擎天
100072	Sword_Feng	B100072	100072	1	西门峰	此子做人狠辣，性格暴躁，自大，喜欢收藏古玩。在江湖中人称西门狂风，因其是天剑门门主西门玄的儿子又使用狂风剑法因此得名。主要战绩为打败了山东三刀使其手断筋。	1	0	0	12	狂风快剑
100073	Sword_pupil	B100073	100073	0	天剑门人	天剑门弟子	1	0	0	12	天剑门人
100074	Jiang_Tian	B100074	100074	0	江天雄	为人外表正直，因行侠仗义为善一方而被称为河洛大侠。和天剑门门主西门玄、长虹镖局总镖头关长虹并称为洛阳三杰。	1	0	0	10	河洛大侠
100075	Jiang_Yu	B100075	100075	1	江瑜	为人恭敬礼貌，心思缜密。常与白马寺住持灵相禅师探究佛学，在佛学拥有不小的造诣。更是受其父亲河洛大侠江天雄之真传，小小年纪天罡拳就出神入化。	1	0	0	10	小神童
100076	Jiang_pupil	0	0	0	江府家丁	江府家丁	0	0	0	0	江府家丁
100077	Biao_master	B100077	100077	0	关长虹	长虹镖局总镖头，据传为三国名将关羽的后人，在祖传刀法上造诣极高，刀法刚猛无匹。与天剑门门主西门玄、河洛大侠江天雄并称为洛阳三杰。	1	0	0	13	云龙无际
100078	Biao_Wei	B100078	100078	1	关伟	深得父亲关长虹之真传，一手青龙刀法在洛阳城闯出了不小的名声，为家中长虹镖局护镖时劫匪都不敢来。同时对小时候的玩伴齐丽颇有好感，在笔墨方面也有点成就。	1	0	0	13	碧海刀
100079	Biao_pupil	B100079	100079	0	长虹镖师	长虹镖局的镖师	1	0	0	13	长虹镖师
100080	TM_master	B100080	100080	0	唐飞	城府极深，无论何时脸上都挂着令人无法捉摸笑容的唐门现任门主。与中原各大门派历来不合。	1	0	0	14	笑里藏刀
100081	TM_Guannan	B100081	100081	1	唐冠南	为人阴险，武艺阴毒，虽然平日爱玩乐并有着公子哥的行径，但是杀人不眨眼。现任唐门掌门人唐飞之子，十分疼爱妹妹唐中慧。	1	0	0	14	万里毒行
100082	TM_Chunhei	B100082	100082	1	唐中慧	唐冠南之妹，唐家的掌上明珠。浸染于日益阴损毒辣的唐门之中，却是出淤泥而不染。性格善解人意。	1	0	1	14	紫飞刀
100083	TM_pupil	B100083	100083	0	唐门门人	唐门弟子	1	0	0	14	唐门门人
100084	Blade_master	B100084	100084	0	夏侯城	从不与人比试。除了其门下弟子之外，外人很难见识到其真正武学的绝刀门门主。。	1	0	0	15	绝命一刀
100085	Blade_Fei	B100085	100085	1	夏侯非	此人正直，但性格急躁，在茶道方面有所感悟，心中对青梅竹马的年芙蓉有情愫，在成为绝刀门少门主时，就得到其父夏侯城的真传，并且绝刀门「十三绝刀」已大成，并自创回旋刀法，一直以破解天剑七式为目标。	1	0	0	15	阴阳刀
100086	Blade_pupil	B100086	100086	0	绝刀门人	绝刀门弟子	1	0	0	15	绝刀门人
100087	Killer_Yeh	B100087	100087	0	叶孤	来自崆峒派，以崆峒拳法立足江湖，不喜话语，不喜与人相处，受其父影响，对古董颇有研究。	0	0	0	0	江湖游侠
100088	BG_master	B100088	100088	0	商鹤鸣	集武当太极所长而自创出八卦刀法和八卦掌法的八卦门创始人。因其招式太过迅猛凶险，和道家的修身养性之风截然不同，而被正道中人所不齿。但商鹤鸣却不以为耻，反而自诩为「当世第一武学大家」。	1	0	0	16	银髯金刀
100089	BG_sheng02	B100089	100089	1	商仲仁	此人乃商鹤鸣之子使得一手出神入化的八卦刀，招招进攻要害，江湖人送称号九转连环刀。善于算计，略奸恶，志向是把八卦门发扬光大。为了掩盖其恶性，用收藏名家字帖的方式来混淆视听。	1	0	0	16	九转连环刀
100090	BG_pupil	B100090	100090	0	八卦门人	八卦门弟子	1	0	0	16	八卦门人
100091	TS_Yang	B100091	100091	1	杨云	雍容的酒之君子，与傅剑寒为知交，两人不打不相识。与傅剑寒对酒的见解大异其趣。	1	0	0	0	江湖游侠
100092	Etc_fu	B100092	100092	1	傅剑寒	无门无派的游侠。生性潇洒，交游广阔。好饮酒，酒量无底。擅使剑，剑法多变。与杨云为莫逆之交。	1	0	0	0	江湖游侠
100093	Weapon_master	B100093	100093	0	任浩然	对剑器的鉴赏造诣极高的铸剑山庄庄主。但由于武学造诣不高，因此无力维持任家在江湖上的地位。在天龙教和武林正道的立场上摇摆不定，只打算屈从强者。	1	0	0	18	铸剑庄主
100094	Weapon_nan	B100094	100094	1	任剑南	此人因喜玩古画，音律，云游，不喜铸剑，武功更是平平无奇。身份是铸剑山庄的少庄主，所持武器白晶剑乃江湖必争之物。	1	0	0	18	白晶剑客
100095	Weapon_pupil	B100095	100095	0	护剑使	铸剑山庄弟子	1	0	0	18	护剑使
100096	BC_Gong	B100096	100096	1	巩光杰	百草门掌门人，擅长采集药草，制作丹药。一心想将百草门经营成横贯天下的商业门派。商人性格，以利为先。喜交友，对朋友极有义气且大方，但对合不来的人十分刻薄冷漠。传言此人喜欢古董，但不知道特别喜欢那一种类。	1	0	0	17	神农再世
100097	BC_pupil	B100097	100097	0	百草门人	百草门弟子	1	0	0	17	百草门人
100098	Gb_Xiaoyao	B100098	100098	1	萧遥	从小被继父所赶，后入丐帮大忠堂，具有较高悟性，喜欢读书，平时对古代历史与小说有所钻研，喜欢天下美味，更是在身上锻炼出了一身死皮赖脸的功夫。	1	0	0	19	见人伸手
100099	Gb_master	B100099	100099	0	柯降龙	身怀神龙腿法、降龙十八掌等绝学的前任丐帮帮主。为人行侠仗义，江湖上声望很高。平生最喜叫花鸡。	1	0	0	19	飞天神龙
100100	Gb_Lihou	B100100	100100	0	李浩	丐帮大义堂堂主，掌杭州分舵。只要得知忠臣遭人陷害，便决心不惜一切代价，也要将其救出。	1	0	0	19	大力神丐
100101	Gb_older	B100101	100101	0	丐帮长老	丐帮长老，没有人知道他的名字	1	0	0	19	九袋长老
100102	Gb_pupil01	B100102	100102	0	丐帮帮众	丐帮八袋以下的帮众	1	0	0	19	丐帮帮众
100103	Gb_pupil02	B100102	100102	0	丐帮帮众	丐帮八袋以下的帮众	1	0	0	19	丐帮帮众
100104	killer_poison	B100104	100104	0	毒	天意城的杀手，本名不详。因长期修练毒功而使全身肌肤都呈现十分恐布的紫灰色，乍看之下有如鬼怪。毒术十分高强，不在玄冥子与摩乎罗迦之下。	1	0	0	10	天意之毒
100105	killer_sex	B100105	100105	0	浪	天意城的杀手，本名不详。是个妖娇美艳的女子，有着足以令任何男人心动的美妙躯体。生性浪荡，擅长以色诱术杀敌。然而她的身上似乎有一些小秘密？	1	0	0	10	天意之浪
100106	killer_crazy	B100106	100106	0	狂	天意城的杀手，本名不详。是个十足的疯子，杀人的手段十分残忍，往往要将目标用乱拳活活打死。下手明目张胆，猖狂之极。	1	0	0	10	天意之狂
100107	Robber_big	B100107	100107	0	焦大	黑风寨恶贼，五短身材，略驼背，但轻功了得。以杀伤力惊人，尺余长的一副铁爪为武器。	1	0	0	27	焦氏双恶
100108	Robber_small	B100108	100108	0	焦小	黑风寨恶贼，焦大之弟。和其兄不同的是身材魁梧高大，善以蛮力取胜。武器为一副沉重的铁手套。	1	0	0	27	焦氏双恶
100109	Robber_black	B100109	100109	0	黑无常	与白无常并称黑风双煞，是黑风寨二寨主。以十分古怪诡异的锁链作为武器，外貌与穿着都不似活人，大半夜出现在路上，足以将人活活吓死。	1	0	0	27	黑风双煞
100110	Robber_white	B100110	100110	0	白无常	与黑无常并称黑风双煞，是黑风寨大寨主。手持血红色的双刀，出手诡谲难测，能出奇不意的割下敌人头颅。面色惨白，比死人还要难看，令人一见就怕。	1	0	0	27	黑风双煞
100111	Robber_Heifon	B100111	100111	0	黑风寨众	黑风寨帮众，欺善怕恶的小人	1	0	0	27	黑风寨众
100112	Lier_tiger	B100112	100112	0	郝虎	黑风寨恶人，焦小的二弟子，手使一柄大环刀，但武功稀松平常。头脑简单，反应迟钝，却喜欢耍小聪明。	1	0	0	27	龙兄虎弟
100113	Lier_dragon	B100113	100113	0	巴龙	黑风寨恶人，焦小的大弟子。出身蒙古草原，体型健硕，性格火爆冲动，是郝虎的结拜大哥。	1	0	0	27	龙兄虎弟
100114	Etc_general	B100114	100114	0	戚将军	当今朝廷硕果仅存的忠臣良将，忠君爱国，树功甚伟。一心想找出东厂勾结外寇之证据。	1	0	0	11	忠字当头
100115	East_chen	B100115	100115	0	陈公公	原名陈崇英。东厂头目，手段阴狠，武功造诣不明。是当今朝中最令忠臣义士切齿痛恨的一人。借囚禁戚将军的机会，打算诱出与朝廷作对的江湖人，并将他们一网打尽。	1	0	0	20	东厂不败
100116	East_killer	B100116	100116	0	东厂杀手	东厂杀手，为了任务连自己老妈都能杀	1	0	0	20	东厂杀手
100117	Guanfu_pupil	B100117	100117	0	衙门官兵	衙门官兵，是个尽忠职守的好人	0	0	0	11	六扇门人
100118	TS_master	B100118	100118	0	何未峰	天山派掌门，性格敦厚，为人迟钝，对夫人易兰言听计从。始终不知道何秋娟并非自己的亲生女儿，将其爱如掌上明珠。	1	0	0	21	天山青剑
100119	TS_Yilan	B100119	100119	0	易兰	天山掌门何未峰之妻。因年少时与武当卓人清的一段孽缘，珠胎暗结，却又因门户之别而无法成婚。无奈嫁给比自己老二十岁的何未峰，从此对世间男人恨之入骨。	1	0	1	21	雪中兰
100120	TS_Juan	B100120	100120	0	何秋娟	在她成长的过程不断地被灌输天下的男人都不是好东西这句话，造成了她对男人的警戒之心非常强，对于轻浮男子更刀下不留情，擅长刺绣，嫉恶如仇，敢恨不懂爱的姑娘。	1	0	1	21	雪岭娇侠
100121	TS_pupil	B100121	100121	0	天山门人	天山派弟子	1	0	1	21	天山门人
100122	CC_purple	B100122	100122	0	紫阳子	青城派长老，身负紫阳神功，实力在青城派堪居前三。性格狠辣，野心勃勃。	1	0	0	22	紫青双剑
100123	CC_green	B100123	100123	0	青霞子	以青霞剑法闻名的青城派长老之一，虽然为人正直，但是却因性情敦厚而缺少防人之心。据传其武功造诣早已超越现任青城派掌门。	1	0	0	22	紫青双剑
100124	CC_pupil	B100124	100124	0	青城门人	青城派弟子	1	0	0	22	青城门人
100125	WS_Cao	B100125	100125	0	曹萼华	花容月貌，个性胆怯，武功较弱，因是华山掌门曹岱的女儿，有众多护花使者为其挺身而出以搏欢心。同时华山派中人就从小对其关心倍至，但使其对江湖险恶认识不清。	1	0	1	23	冰心侠女
100126	TL_eat	B100126	100126	0	吃	贪嘴好吃，每到一处必尝遍当地美食，但从不付账的天龙教四凶徒之首。又被称为「南猖」。	1	0	0	1	南猖
100127	TL_drink	B100127	100127	0	喝	性情暴躁粗鲁，膂力惊人。嗜酒如命的天龙教四凶徒之一，被称为江湖四恶，又被称为「北 盜」。千杯不醉，善与人以酒赌命，然则从无败绩。而因此死在其拳下的江湖中人不计其数。	1	0	0	1	北盗
100128	TL_sex	B100128	100128	0	嫖	天龙教四凶徒之一，并称江湖四恶，又有「东淫」的称号。为人好色，轻功奇佳。常常出入民家，不知祸害过多少良家女子。名言是：「女人说不要，那就是要！」	1	0	0	1	东淫
100129	TL_gamble	B100129	100129	0	赌	嗜赌如命。精于各种赌术和千术，从未失手的天龙教四凶徒之一，被称为江湖四恶，又被称为「西贱」。虽在四大凶徒中排名最后，却是四人中的智囊军师。	1	0	0	1	西贱
100130	TL_pupil	B100130	100130	0	天龙教众	天龙教众，谁也不知道他们在想什么。	1	0	0	1	天龙教众
100131	Xiuluo_01	0	0	0	销魂	修罗宫弟子	1	0	1	5	销魂蚀骨
100132	Xiuluo_02	0	0	0	罗煞	修罗宫弟子	1	0	1	5	玉面罗煞
100133	Xiuluo_03	B100133	100133	0	修罗宫人	修罗宫弟子	1	0	1	5	修罗无情
100134	Etc_hsu1	B100134	100134	1	徐子易	江湖有一人，号称无事不知，不管是在武学上的造诣，还是茶上的造诣都极其高深，见其出手的武林中人更是寥寥无几，江湖琐事，英雄事迹，无一能逃过他法眼，所有事都有所记录。	1	0	0	0	江湖百晓生
100135	Etc_hsu2	B100135	100135	1	徐子骐	徐子易之弟，喜游历，志于撰写徐氏游记。喜欢收集各地文物、土产。	1	0	0	0	十全少年
100136	Chouba	B100136	100136	0	仇霸	马贼团陕北十三雁的首领，曾经是江湖中小有名气的侠客，有一个美丽的妻子。然而妻子却被地方恶官觊觎美色，逼奸而亡。仇霸血刃了仇人，却也因此踏上被官府通缉的不归路。	1	0	0	0	独眼秃鹰
100137	Etc_oldmonk	B100137	100137	0	灵相	白马寺住持，精通佛法，传闻其武功亦足以冠绝一方。	0	0	0	0	江湖游侠
100138	Etc_monk	0	0	0	小沙弥	小和尚	0	0	0	0	江湖游侠
100139	W_master	B100139	100139	0	利空法王	青海第一高手，身具无上「龙象般若功」，力若千钧，可以一拳击毙一头猛象。与东厂有所勾结，协议只要寻得藏宝图，事成便会封为朝廷藩王。	1	0	0	28	吐蕃国师
